TEAM,YEAR,IS_CHAMP,WIN%,PTS,FGM,FTA,DREB,NETRTG,PIE,REB%,FGA_RANK,3PM_RANK,3PA_RANK,FTM_RANK,FT%_RANK,OREB_RANK,BLKA_RANK,PF_RANK
Houston Rockets,2007,0,0.671,96.7,36.6,22.5,32.4,4.8,53.5,51.9,14,10,7,27,25,9,18,25
Phoenix Suns,2007,0,0.671,110.1,41.4,24.1,32.7,5.0,55.6,48.1,9,4,5,13,4,30,29,23
Utah Jazz,2007,0,0.659,106.2,40.0,28.0,29.4,7.2,55.6,52.1,18,26,26,4,16,13,7,1
Orlando Magic,2007,0,0.634,104.5,37.3,27.9,32.6,5.6,52.9,50.1,26,1,2,9,27,28,24,18
Dallas Mavericks,2007,0,0.622,100.4,36.9,25.3,32.2,4.8,53.6,51.4,24,19,19,7,1,21,21,8
Denver Nuggets,2007,0,0.61,110.7,40.3,30.7,32.9,3.4,52.9,49.4,2,13,11,1,19,15,14,14
Golden State Warriors,2007,0,0.585,111.0,41.5,24.9,30.4,1.9,49.6,48.1,1,2,1,14,18,5,11,4
Cleveland Cavaliers,2007,0,0.549,96.4,35.8,25.1,31.3,-0.6,49.0,51.8,15,14,13,21,28,1,16,15
Washington Wizards,2007,0,0.524,98.8,36.4,24.3,29.3,-0.3,48.8,50.3,16,11,9,12,5,7,22,26
Portland Trail Blazers,2007,0,0.5,95.4,35.8,22.5,29.7,-0.8,49.5,49.5,23,15,17,24,14,18,30,22
Toronto Raptors,2007,0,0.5,100.2,38.4,20.2,30.4,3.3,51.9,48.9,13,12,14,28,2,26,26,27
Philadelphia 76ers,2007,0,0.488,96.6,37.3,26.1,28.9,0.5,50.0,51.5,17,30,29,19,30,2,8,24
Sacramento Kings,2007,0,0.463,102.5,37.1,27.7,30.0,-2.4,48.3,49.3,19,17,20,2,3,24,4,7
Atlanta Hawks,2007,0,0.451,98.2,36.3,27.2,29.9,-1.8,49.8,50.6,21,27,28,5,7,8,9,20
Indiana Pacers,2007,0,0.439,104.0,37.8,24.9,32.1,-1.2,48.5,48.7,4,3,3,11,12,19,10,2
New Jersey Nets,2007,0,0.415,95.8,34.8,27.3,30.7,-5.4,47.5,50.2,25,18,18,10,20,16,23,6
Chicago Bulls,2007,0,0.402,97.3,36.4,24.7,30.2,-3.1,48.0,50.0,5,23,24,15,17,4,2,9
Charlotte Bobcats,2007,0,0.39,97.1,36.1,25.8,29.8,-4.5,46.9,48.3,22,16,16,20,29,20,1,10
Milwaukee Bucks,2007,0,0.317,97.0,36.9,24.1,28.8,-7.2,45.2,50.6,11,24,23,22,22,3,12,12
Los Angeles Clippers,2007,0,0.28,93.8,34.4,26.6,30.4,-7.5,46.1,48.4,27,28,27,6,6,25,17,13
New York Knicks,2007,0,0.28,96.9,36.2,25.5,30.0,-6.8,44.0,50.2,10,20,15,16,23,6,6,11
Memphis Grizzlies,2007,0,0.268,100.7,37.3,25.6,31.3,-6.3,45.1,48.9,12,7,4,17,26,22,13,28
Minnesota Timberwolves,2007,0,0.268,95.6,37.5,20.6,29.6,-7.3,43.5,50.1,7,25,25,30,21,11,3,3
Seattle SuperSonics,2007,0,0.244,97.5,38.1,22.8,32.8,-8.6,45.0,50.2,3,29,30,23,9,12,5,19
Miami Heat,2007,0,0.183,91.4,34.2,23.2,28.6,-9.4,44.5,47.0,29,21,21,25,24,29,25,21
Cleveland Cavaliers,2008,0,0.805,100.3,36.9,24.5,31.4,9.6,55.9,51.2,24,3,5,18,21,18,25,20
Los Angeles Lakers,2008,1,0.793,106.9,40.3,25.5,31.5,7.9,54.7,51.4,4,14,15,10,14,3,16,14
Boston Celtics,2008,0,0.756,100.9,37.5,25.3,31.5,7.9,56.2,52.4,28,18,21,12,17,20,18,3
Orlando Magic,2008,0,0.72,101.0,35.7,27.5,33.3,7.1,54.5,50.2,26,1,2,11,30,27,29,21
Denver Nuggets,2008,0,0.659,104.3,37.3,30.3,30.6,3.4,52.9,50.3,22,15,17,1,20,15,3,5
Portland Trail Blazers,2008,0,0.659,99.4,36.8,24.2,28.8,6.0,53.1,52.8,23,8,12,20,18,1,28,18
San Antonio Spurs,2008,0,0.659,97.0,37.1,20.0,32.2,4.2,52.3,50.2,18,6,10,30,19,30,22,29
Houston Rockets,2008,0,0.646,98.4,36.1,23.2,32.5,4.2,53.0,51.7,21,7,6,15,5,22,7,30
Dallas Mavericks,2008,0,0.61,101.7,38.1,22.6,31.6,2.0,52.2,50.4,6,12,7,21,2,13,26,27
New Orleans Hornets,2008,0,0.598,95.8,35.5,22.4,29.9,1.8,51.5,49.6,27,13,14,25,3,28,30,22
Utah Jazz,2008,0,0.585,103.6,38.3,28.7,29.5,2.7,53.5,50.5,16,26,26,3,13,11,10,8
Atlanta Hawks,2008,0,0.573,98.1,36.0,25.4,29.4,1.7,50.7,49.0,25,9,8,16,28,21,23,26
Phoenix Suns,2008,0,0.561,109.4,41.1,27.5,30.7,2.0,52.5,50.3,11,16,19,5,26,16,21,16
Miami Heat,2008,0,0.524,98.3,37.0,22.8,29.4,0.3,50.5,48.4,15,10,9,27,23,26,27,15
Chicago Bulls,2008,0,0.5,102.2,38.1,25.0,30.3,-0.3,49.9,49.8,5,22,23,7,7,7,4,13
Philadelphia 76ers,2008,0,0.5,97.4,36.5,27.0,28.5,0.2,50.3,50.8,19,29,29,6,25,2,15,24
Detroit Pistons,2008,0,0.476,94.2,36.4,22.5,29.9,-0.6,49.6,50.8,17,28,28,28,24,9,24,12
Indiana Pacers,2008,0,0.439,105.1,39.3,23.0,32.5,-1.0,48.9,49.8,2,4,4,19,4,12,5,4
Charlotte Bobcats,2008,0,0.427,93.6,35.0,24.0,28.9,-1.3,49.5,50.4,30,23,22,26,27,19,1,11
Milwaukee Bucks,2008,0,0.415,99.3,36.7,25.2,28.9,-1.1,48.5,49.6,8,21,20,9,11,5,20,1
New Jersey Nets,2008,0,0.415,98.1,35.7,24.1,29.5,-2.7,47.4,49.3,20,5,3,14,12,23,17,7
Toronto Raptors,2008,0,0.402,99.0,37.2,22.7,30.6,-3.0,49.2,49.3,13,24,24,17,1,29,19,28
New York Knicks,2008,0,0.39,105.2,38.5,23.2,31.0,-2.5,46.7,48.0,1,2,1,23,10,14,8,19
Golden State Warriors,2008,0,0.354,108.6,39.4,29.2,30.4,-3.7,47.8,47.3,3,17,18,2,8,10,12,6
Memphis Grizzlies,2008,0,0.293,93.9,34.9,25.3,28.5,-6.0,45.7,49.5,29,25,27,13,22,24,6,10
Minnesota Timberwolves,2008,0,0.293,97.8,36.4,23.9,29.8,-5.0,45.3,51.1,7,19,13,22,15,6,2,9
Oklahoma City Thunder,2008,0,0.28,97.0,36.6,25.2,30.5,-6.2,46.4,50.8,9,30,30,8,9,4,13,23
Los Angeles Clippers,2008,0,0.232,95.1,36.0,22.4,29.0,-9.2,44.1,47.9,10,20,16,29,29,17,14,25
Washington Wizards,2008,0,0.232,96.1,36.5,23.8,28.4,-8.1,44.8,49.5,14,27,25,24,16,8,9,17
Sacramento Kings,2008,0,0.207,100.6,36.5,25.7,28.9,-9.0,44.0,47.7,12,11,11,4,6,25,11,2
Cleveland Cavaliers,2009,0,0.744,102.1,37.8,26.6,32.8,6.8,55.2,51.9,28,8,8,12,30,27,28,27
Orlando Magic,2009,0,0.72,102.8,36.6,26.5,33.4,7.9,55.1,51.2,27,1,1,10,29,25,30,23
Los Angeles Lakers,2009,1,0.695,101.7,38.3,24.2,32.5,4.9,52.9,51.2,7,13,10,17,12,3,21,28
Dallas Mavericks,2009,0,0.671,102.0,38.3,22.8,31.5,2.8,53.4,49.3,14,10,13,16,1,23,26,30
Phoenix Suns,2009,0,0.659,110.2,40.7,25.8,31.9,4.8,53.6,50.3,13,3,6,5,11,14,18,12
Atlanta Hawks,2009,0,0.646,101.7,38.8,23.3,29.9,4.9,52.3,50.2,12,14,15,20,15,5,22,24
Denver Nuggets,2009,0,0.646,106.5,38.1,30.6,30.5,4.4,52.4,49.8,17,12,12,1,9,17,7,3
Utah Jazz,2009,0,0.646,104.2,39.4,27.2,31.6,5.7,55.0,52.0,23,23,25,3,23,20,5,2
Boston Celtics,2009,0,0.61,99.2,37.1,25.5,29.9,3.7,54.0,49.3,30,16,16,14,21,30,16,9
Oklahoma City Thunder,2009,0,0.61,101.5,37.4,27.0,31.8,3.5,53.2,51.1,20,25,23,2,2,9,17,11
Portland Trail Blazers,2009,0,0.61,98.1,36.3,24.8,29.1,3.5,52.5,51.0,26,17,19,9,3,15,27,13
San Antonio Spurs,2009,0,0.61,101.4,38.4,24.0,32.0,5.4,53.2,51.5,18,11,11,19,24,18,9,18
Miami Heat,2009,0,0.573,96.5,36.4,23.5,31.1,2.4,52.2,50.0,25,18,17,21,19,19,25,14
Milwaukee Bucks,2009,0,0.561,97.7,37.2,20.4,31.2,2.1,49.5,50.1,2,5,5,30,17,6,10,6
Charlotte Bobcats,2009,0,0.537,95.3,34.9,26.6,30.4,1.9,51.8,51.0,29,22,22,4,20,21,2,26
Houston Rockets,2009,0,0.512,102.4,37.7,24.7,30.1,0.0,48.9,49.8,3,6,4,15,10,7,1,15
Chicago Bulls,2009,0,0.5,97.5,37.6,23.9,33.1,-1.6,50.0,50.9,10,29,29,18,18,12,8,20
Memphis Grizzlies,2009,0,0.488,102.5,39.3,26.9,30.4,-1.5,48.6,52.3,8,30,30,7,25,1,3,19
Toronto Raptors,2009,0,0.488,104.1,39.0,25.8,30.6,-2.0,48.9,49.5,19,15,18,8,13,26,23,7
New Orleans Hornets,2009,0,0.451,100.2,38.8,20.3,29.9,-2.4,48.4,48.6,9,9,9,29,7,22,19,25
Indiana Pacers,2009,0,0.39,100.8,36.8,24.6,31.9,-3.0,47.6,47.3,11,4,3,13,8,28,13,4
Los Angeles Clippers,2009,0,0.354,95.7,36.6,22.8,30.5,-6.8,46.5,50.0,21,19,14,28,26,13,24,29
New York Knicks,2009,0,0.354,102.1,38.1,21.5,30.2,-4.0,47.4,47.6,6,2,2,26,4,24,20,21
Detroit Pistons,2009,0,0.329,94.0,35.9,24.4,27.3,-5.9,44.8,51.0,22,27,26,22,27,2,15,8
Philadelphia 76ers,2009,0,0.329,97.7,37.6,22.0,29.5,-4.1,47.8,49.8,15,21,21,27,16,11,29,17
Golden State Warriors,2009,0,0.317,108.8,40.6,25.4,29.2,-3.3,47.0,45.3,1,7,7,6,5,29,14,1
Washington Wizards,2009,0,0.317,96.2,36.7,23.1,30.0,-5.3,46.2,50.1,16,24,24,23,14,8,11,10
Sacramento Kings,2009,0,0.305,100.0,38.3,24.0,30.7,-4.7,46.7,50.4,5,20,20,25,28,4,4,5
Minnesota Timberwolves,2009,0,0.183,98.2,37.9,23.5,31.2,-9.8,43.2,50.1,4,26,28,24,22,10,6,16
New Jersey Nets,2009,0,0.146,92.4,34.3,24.6,28.8,-9.6,42.9,47.8,24,28,27,11,6,16,12,22
Chicago Bulls,2010,0,0.756,98.6,37.1,24.5,32.4,7.8,55.5,52.8,22,15,17,14,26,6,5,20
San Antonio Spurs,2010,0,0.744,103.7,38.4,24.2,31.7,6.1,53.8,50.0,16,4,7,11,14,23,16,28
Miami Heat,2010,0,0.707,102.1,37.0,27.9,32.5,7.8,55.6,51.4,29,11,15,3,12,26,30,17
Dallas Mavericks,2010,1,0.695,100.2,37.4,22.6,31.9,4.4,53.8,50.4,24,8,5,24,8,28,29,27
Los Angeles Lakers,2010,0,0.695,101.5,38.1,24.1,31.9,6.3,54.1,51.3,11,12,14,10,6,4,20,29
Boston Celtics,2010,0,0.683,96.5,36.9,23.1,31.0,5.7,55.8,49.7,30,26,28,20,10,30,21,15
Oklahoma City Thunder,2010,0,0.671,104.8,37.4,29.3,31.8,3.9,52.9,50.7,17,18,19,1,1,15,23,3
Orlando Magic,2010,0,0.634,99.2,36.0,25.6,32.7,5.6,53.4,51.8,26,1,1,21,30,17,28,21
Denver Nuggets,2010,0,0.61,107.5,38.4,29.6,32.3,4.9,52.4,50.6,18,7,8,2,15,27,2,12
Portland Trail Blazers,2010,0,0.585,96.3,36.0,22.4,27.2,1.6,51.6,49.9,19,13,12,18,3,5,27,26
Memphis Grizzlies,2010,0,0.561,99.9,39.0,24.2,29.2,2.5,51.8,50.5,8,30,30,17,23,7,1,14
New Orleans Hornets,2010,0,0.561,94.9,35.9,23.1,30.1,1.0,50.7,50.3,27,22,25,22,16,24,14,13
Atlanta Hawks,2010,0,0.537,95.0,36.2,21.1,30.0,-0.7,49.3,49.4,25,17,16,29,7,29,26,30
Houston Rockets,2010,0,0.524,105.9,38.7,25.4,31.1,2.3,51.5,50.1,3,6,4,5,4,8,9,22
New York Knicks,2010,0,0.512,106.5,38.3,25.5,30.1,1.0,50.4,47.3,6,2,2,4,2,21,22,10
Philadelphia 76ers,2010,0,0.5,99.0,38.1,22.6,31.4,1.5,51.0,49.7,10,23,24,25,11,19,17,25
Phoenix Suns,2010,0,0.488,105.0,39.3,23.6,30.2,-0.8,49.4,48.0,7,3,3,19,18,25,24,18
Utah Jazz,2010,0,0.476,99.4,37.4,25.1,28.5,-1.8,50.0,49.6,20,24,22,6,9,16,11,1
Indiana Pacers,2010,0,0.451,99.8,36.6,24.8,32.4,-0.9,49.2,50.1,9,10,9,7,5,13,6,9
Golden State Warriors,2010,0,0.439,103.4,39.6,20.7,28.9,-2.3,47.2,47.6,1,5,6,30,17,10,25,5
Milwaukee Bucks,2010,0,0.427,91.9,34.3,22.9,30.2,-0.8,48.8,49.2,23,19,18,26,20,18,15,16
Charlotte Bobcats,2010,0,0.415,93.3,35.0,24.4,29.8,-4.2,48.0,50.2,28,27,26,13,21,22,3,23
Los Angeles Clippers,2010,0,0.39,98.6,36.8,26.7,30.5,-3.2,48.3,51.1,21,14,11,8,29,11,13,11
Detroit Pistons,2010,0,0.366,97.0,37.3,22.6,27.3,-3.7,46.4,49.1,13,20,23,28,27,12,18,24
New Jersey Nets,2010,0,0.293,94.2,35.6,22.9,29.8,-6.8,45.2,49.7,15,21,20,27,19,14,19,6
Sacramento Kings,2010,0,0.293,99.4,38.2,24.2,30.8,-5.5,46.2,51.2,4,25,21,23,28,2,7,7
Washington Wizards,2010,0,0.28,97.3,37.2,24.4,29.0,-7.8,44.5,48.8,5,28,27,15,24,3,12,2
Toronto Raptors,2010,0,0.268,99.1,38.3,24.1,28.6,-6.5,45.9,49.5,12,29,29,16,22,9,8,8
Cleveland Cavaliers,2010,0,0.232,95.5,35.2,25.3,29.9,-9.5,44.1,48.5,14,16,13,9,25,20,4,19
Minnesota Timberwolves,2010,0,0.207,101.1,37.7,24.1,31.2,-6.7,44.3,51.2,2,9,10,12,13,1,10,4
Chicago Bulls,2011,0,0.758,96.3,37.4,21.1,32.8,8.8,56.1,53.6,7,17,18,27,27,1,11,28
San Antonio Spurs,2011,0,0.758,103.7,39.6,21.6,32.6,7.7,54.6,50.7,8,2,7,18,19,25,14,29
Oklahoma City Thunder,2011,0,0.712,103.1,37.3,26.4,32.7,6.3,54.2,50.9,25,9,12,1,1,19,17,8
Miami Heat,2011,1,0.697,98.5,37.1,24.2,31.2,6.4,55.3,50.4,26,20,23,6,7,24,28,17
Indiana Pacers,2011,0,0.636,97.7,35.7,26.1,31.4,3.3,52.1,51.1,16,19,22,2,3,6,4,3
Los Angeles Lakers,2011,0,0.621,97.3,36.8,24.1,34.1,1.3,52.4,53.2,21,21,19,8,16,8,22,30
Memphis Grizzlies,2011,0,0.621,95.0,36.7,22.8,29.5,2.2,51.4,50.8,12,27,28,10,13,5,9,12
Atlanta Hawks,2011,0,0.606,96.6,36.8,21.0,31.3,3.8,52.6,49.3,19,7,10,23,23,28,21,25
Los Angeles Clippers,2011,0,0.606,97.5,37.0,23.3,29.4,2.7,51.7,50.7,17,4,5,21,29,9,24,6
Boston Celtics,2011,0,0.591,91.8,35.5,19.8,31.1,2.6,53.5,47.8,30,22,24,24,5,30,23,13
Denver Nuggets,2011,0,0.576,104.1,39.0,26.7,31.9,3.2,52.7,51.5,15,15,13,3,25,16,1,14
Orlando Magic,2011,0,0.561,94.2,34.5,22.8,31.2,0.6,49.3,51.0,27,1,1,28,30,17,29,26
Dallas Mavericks,2011,0,0.545,95.8,36.3,20.2,32.7,1.1,51.0,49.3,14,8,4,22,9,27,30,23
New York Knicks,2011,0,0.545,97.8,35.8,24.8,30.5,3.2,52.0,50.3,20,5,2,7,22,15,13,7
Utah Jazz,2011,0,0.545,99.7,38.2,25.3,31.1,0.5,50.9,51.9,4,28,29,5,17,3,6,2
Philadelphia 76ers,2011,0,0.53,93.6,37.4,18.2,32.5,4.6,53.2,49.5,5,24,25,30,21,22,19,27
Houston Rockets,2011,0,0.515,98.1,37.7,19.7,30.5,0.2,49.7,49.9,3,10,11,25,4,12,12,9
Phoenix Suns,2011,0,0.5,98.4,37.8,21.2,30.8,-0.1,50.2,49.3,9,13,15,19,14,21,27,22
Milwaukee Bucks,2011,0,0.47,99.0,37.9,21.4,30.0,0.4,50.3,49.0,2,16,17,14,8,7,25,18
Portland Trail Blazers,2011,0,0.424,97.2,36.4,21.6,29.5,-0.9,49.4,49.3,13,11,8,11,2,18,20,20
Minnesota Timberwolves,2011,0,0.394,97.9,35.7,25.2,31.7,-2.2,48.3,50.2,11,12,6,4,10,10,7,24
Detroit Pistons,2011,0,0.379,90.9,34.7,22.1,28.5,-5.0,44.8,50.0,24,26,26,15,18,13,10,15
Golden State Warriors,2011,0,0.348,97.8,37.7,18.7,29.5,-3.4,47.2,46.0,10,3,9,29,11,29,15,4
Toronto Raptors,2011,0,0.348,90.7,34.4,21.4,31.4,-3.9,47.8,50.3,28,23,20,17,12,23,18,1
New Jersey Nets,2011,0,0.333,93.1,34.3,21.7,28.5,-6.3,44.8,48.9,22,6,3,13,6,11,16,19
Sacramento Kings,2011,0,0.333,98.8,37.7,23.2,29.5,-5.8,45.1,48.7,1,18,14,12,24,2,2,16
Cleveland Cavaliers,2011,0,0.318,93.0,34.3,24.9,29.5,-7.6,43.9,49.6,18,14,16,9,28,4,3,11
New Orleans Hornets,2011,0,0.318,89.6,34.8,21.2,30.2,-4.0,48.2,50.6,29,30,30,20,15,20,5,10
Washington Wizards,2011,0,0.303,93.6,36.6,21.0,29.9,-5.0,46.0,48.9,6,25,21,26,26,14,26,5
Charlotte Bobcats,2011,0,0.106,87.0,33.2,22.2,28.7,-15.0,41.1,47.4,23,29,27,16,20,26,8,21
Miami Heat,2012,1,0.805,102.9,38.4,23.0,30.4,8.2,56.4,48.5,30,3,6,12,16,28,30,23
Oklahoma City Thunder,2012,0,0.732,105.7,38.1,26.8,33.2,9.9,57.0,51.3,29,13,16,1,1,25,29,14
San Antonio Spurs,2012,0,0.707,103.0,39.1,21.0,33.2,6.7,55.1,49.3,19,7,7,15,3,29,15,30
Denver Nuggets,2012,0,0.695,106.1,40.7,26.2,31.7,5.1,53.8,51.3,2,20,19,6,28,1,2,10
Los Angeles Clippers,2012,0,0.683,101.1,38.5,23.0,30.2,6.9,54.8,51.2,24,10,9,17,27,15,26,6
Memphis Grizzlies,2012,0,0.683,93.4,36.1,21.3,29.8,4.5,53.1,52.0,17,30,30,16,9,3,12,15
New York Knicks,2012,0,0.659,100.0,36.5,21.1,29.7,4.5,51.2,49.4,15,1,1,21,13,18,28,16
Brooklyn Nets,2012,0,0.598,96.9,35.9,23.9,30.0,2.0,50.9,52.0,27,9,8,9,24,5,17,27
Indiana Pacers,2012,0,0.605,94.7,35.1,23.6,33.0,4.4,53.7,52.2,25,16,15,7,19,4,11,17
Golden State Warriors,2012,0,0.573,101.2,38.2,21.3,34.2,0.9,50.2,50.6,9,8,13,13,4,21,16,2
Chicago Bulls,2012,0,0.549,93.2,35.7,21.2,30.7,0.5,51.4,51.4,13,29,29,18,10,6,9,19
Houston Rockets,2012,0,0.549,106.0,38.1,25.5,32.3,3.5,51.0,50.9,10,2,2,3,17,17,5,13
Los Angeles Lakers,2012,0,0.549,102.2,37.1,27.9,33.3,1.1,51.3,51.0,21,4,3,2,30,13,18,29
Atlanta Hawks,2012,0,0.537,98.0,37.6,19.7,31.6,0.3,50.9,48.2,22,5,4,28,26,27,25,28
Utah Jazz,2012,0,0.524,98.0,37.1,23.0,30.0,-0.2,50.4,51.0,12,23,28,10,12,8,7,3
Boston Celtics,2012,0,0.506,96.5,37.0,21.0,31.3,-0.5,50.7,47.7,28,25,26,19,6,30,20,4
Dallas Mavericks,2012,0,0.5,101.1,38.8,20.4,32.6,-0.6,50.2,48.4,8,11,14,20,2,26,27,8
Milwaukee Bucks,2012,0,0.463,98.9,38.1,20.7,30.9,-1.7,48.8,49.1,1,14,11,26,22,2,22,21
Philadelphia 76ers,2012,0,0.415,93.2,37.3,16.8,30.4,-3.7,47.4,48.9,7,21,25,30,25,19,19,25
Toronto Raptors,2012,0,0.415,97.2,36.3,22.3,29.6,-1.4,48.4,49.0,18,15,12,8,5,24,21,1
Portland Trail Blazers,2012,0,0.402,97.5,36.7,20.5,30.2,-3.4,46.8,49.5,11,6,5,22,7,23,23,24
Minnesota Timberwolves,2012,0,0.378,95.7,35.9,24.9,30.2,-2.2,49.4,50.0,14,28,21,5,21,11,8,26
Detroit Pistons,2012,0,0.354,94.9,36.3,22.8,30.0,-4.5,46.7,50.6,23,22,24,23,29,9,10,18
Washington Wizards,2012,0,0.354,93.2,35.5,21.3,32.3,-2.3,48.1,49.1,16,18,20,24,23,22,24,11
Sacramento Kings,2012,0,0.341,100.2,37.6,22.8,29.1,-4.7,45.4,48.5,4,12,10,11,11,14,4,7
New Orleans Hornets,2012,0,0.329,94.1,36.0,20.0,29.6,-4.4,46.4,51.4,26,19,22,25,8,10,6,12
Phoenix Suns,2012,0,0.305,95.2,37.3,19.7,29.9,-6.7,45.8,49.1,3,26,23,27,20,12,14,9
Cleveland Cavaliers,2012,0,0.293,96.5,36.5,22.3,28.8,-5.0,45.0,50.0,5,17,17,14,14,7,3,5
Charlotte Bobcats,2012,0,0.256,93.4,34.4,25.1,29.1,-9.9,43.8,48.6,20,27,27,4,18,16,1,22
Orlando Magic,2012,0,0.244,94.1,37.7,16.6,31.9,-7.4,45.9,49.8,6,24,18,29,15,20,13,20
San Antonio Spurs,2013,1,0.756,105.4,40.6,20.0,34.0,8.1,55.5,50.3,12,12,16,27,4,26,16,29
Oklahoma City Thunder,2013,0,0.72,106.2,39.0,25.0,33.9,6.4,54.3,51.8,14,14,14,5,2,18,26,3
Los Angeles Clippers,2013,0,0.695,107.9,39.1,29.1,32.5,7.3,54.8,49.6,16,13,8,3,26,21,27,11
Indiana Pacers,2013,0,0.683,96.7,36.0,23.3,34.5,4.7,54.5,51.7,27,22,25,12,7,22,17,16
Houston Rockets,2013,0,0.659,107.7,38.0,31.1,34.1,4.6,53.4,51.3,26,1,1,1,28,15,4,17
Miami Heat,2013,0,0.659,102.2,38.3,23.0,29.2,5.1,53.9,47.6,30,15,15,15,14,30,30,23
Portland Trail Blazers,2013,0,0.659,106.7,39.1,23.5,34.0,4.2,52.4,51.7,3,2,3,7,1,2,25,24
Golden State Warriors,2013,0,0.622,104.3,39.5,21.1,34.4,4.9,52.8,50.8,6,3,6,25,18,17,21,9
Memphis Grizzlies,2013,0,0.61,96.1,38.1,20.3,30.8,1.7,51.8,52.1,22,30,30,30,23,9,11,26
Dallas Mavericks,2013,0,0.598,104.8,39.6,21.1,30.7,2.3,52.1,48.7,11,8,12,20,3,23,28,20
Chicago Bulls,2013,0,0.585,93.7,34.7,23.3,32.7,1.9,52.8,51.8,28,26,28,13,8,11,3,27
Phoenix Suns,2013,0,0.585,105.2,38.7,24.4,31.7,2.6,50.9,50.0,13,6,4,9,16,14,23,8
Toronto Raptors,2013,0,0.585,101.3,36.5,25.1,31.1,3.3,51.2,50.5,23,9,10,6,5,12,19,1
Brooklyn Nets,2013,0,0.537,98.5,35.7,24.4,29.4,-1.3,49.2,47.5,29,10,11,10,19,28,22,10
Washington Wizards,2013,0,0.537,100.7,38.7,20.9,31.4,1.3,50.4,49.8,9,16,19,29,25,19,24,18
Charlotte Bobcats,2013,0,0.524,96.9,36.3,24.4,33.2,-0.4,50.8,50.0,21,25,27,14,24,25,10,30
Minnesota Timberwolves,2013,0,0.488,106.9,38.9,28.1,32.2,2.6,51.9,50.8,1,17,17,2,9,3,5,28
Atlanta Hawks,2013,0,0.463,101.0,37.3,21.7,31.3,-0.7,50.2,48.5,24,4,2,17,6,29,20,25
New York Knicks,2013,0,0.451,98.6,36.9,20.4,29.7,-1.1,49.0,49.2,19,7,5,28,13,20,29,7
Denver Nuggets,2013,0,0.439,104.4,38.4,26.3,33.1,-2.2,48.1,50.5,5,11,9,8,27,4,6,2
New Orleans Pelicans,2013,0,0.415,99.7,37.8,23.6,30.3,-3.0,48.3,49.7,17,29,29,11,11,13,2,4
Cleveland Cavaliers,2013,0,0.402,98.2,37.0,22.7,32.1,-3.6,46.9,50.8,8,18,20,18,20,5,7,21
Detroit Pistons,2013,0,0.354,101.0,38.8,25.7,30.8,-3.7,46.4,51.1,4,27,22,16,30,1,13,19
Sacramento Kings,2013,0,0.341,100.5,36.9,27.3,32.4,-2.7,47.3,51.8,18,28,26,4,15,6,8,5
Los Angeles Lakers,2013,0,0.329,103.0,38.3,22.4,32.0,-6.0,46.0,45.9,7,5,7,19,17,27,15,22
Boston Celtics,2013,0,0.305,96.2,36.5,20.8,30.5,-4.6,46.1,50.5,10,19,18,24,10,7,18,12
Utah Jazz,2013,0,0.305,95.0,36.0,22.0,30.2,-7.6,45.1,49.7,25,24,23,23,21,16,14,14
Orlando Magic,2013,0,0.28,96.5,36.9,20.9,32.4,-5.7,46.6,49.0,15,21,21,26,12,24,9,15
Philadelphia 76ers,2013,0,0.232,99.5,37.9,23.4,31.2,-10.0,42.6,47.9,2,20,13,22,29,10,1,6
Milwaukee Bucks,2013,0,0.183,95.5,36.0,22.5,29.3,-8.3,44.9,49.0,20,23,24,21,22,8,12,13
Golden State Warriors,2014,1,0.817,110.0,41.6,20.8,34.3,9.9,56.9,49.8,3,2,4,23,9,21,28,18
Atlanta Hawks,2014,0,0.732,102.5,38.1,21.2,31.8,5.9,54.0,48.7,27,5,7,19,5,30,13,30
Houston Rockets,2014,0,0.683,103.9,37.0,26.0,32.0,3.4,50.9,49.6,12,1,1,5,27,6,9,4
Los Angeles Clippers,2014,0,0.683,106.7,39.4,25.2,33.1,6.9,54.0,49.7,13,3,5,7,28,28,30,7
Memphis Grizzlies,2014,0,0.671,98.3,37.8,22.8,32.1,3.5,53.0,50.3,23,29,29,10,7,22,11,22
San Antonio Spurs,2014,0,0.671,103.2,39.1,21.4,33.8,6.3,54.5,50.7,11,12,15,16,4,27,22,23
Cleveland Cavaliers,2014,0,0.646,103.1,37.7,23.6,31.9,4.8,51.4,51.3,24,4,2,9,17,11,20,26
Portland Trail Blazers,2014,0,0.622,102.8,38.7,19.4,35.1,4.3,52.2,51.0,5,6,3,27,1,15,29,27
Chicago Bulls,2014,0,0.61,100.8,36.6,25.2,34.0,3.0,52.9,51.6,18,15,16,3,3,7,6,28
Dallas Mavericks,2014,0,0.61,105.2,39.7,22.5,31.8,3.2,52.1,47.7,6,7,8,15,16,19,27,16
Toronto Raptors,2014,0,0.598,104.0,37.9,24.6,30.8,3.1,50.6,49.4,14,8,9,4,2,16,12,12
Washington Wizards,2014,0,0.561,98.5,38.3,21.4,34.2,0.6,52.5,51.4,20,26,27,25,21,20,24,14
New Orleans Pelicans,2014,0,0.549,99.4,37.9,21.8,32.0,0.8,50.8,51.1,19,19,23,20,18,10,3,25
Oklahoma City Thunder,2014,0,0.549,104.0,38.8,24.6,34.7,2.1,50.5,52.4,4,16,14,6,14,1,19,2
