,TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%,W_RANK,L_RANK,OFFRTG_RANK,DEFRTG_RANK,NETRTG_RANK,AST%_RANK,AST/TO_RANK,AST_RATIO_RANK,OREB%_RANK,DREB%_RANK,REB%_RANK,TOV%_RANK,EFG%_RANK,TS%_RANK,PACE_RANK,PIE_RANK,WIN%_RANK,PTS_RANK,FGM_RANK,FGA_RANK,FG%_RANK,3PM_RANK,3PA_RANK,3P%_RANK,FTM_RANK,FTA_RANK,FT%_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,+/-_RANK
0,Golden State Warriors,2014,82,67,15,0.817,48.1,110.0,41.6,87.0,47.8,10.8,27.0,39.8,16.0,20.8,76.8,10.4,34.3,44.7,27.4,14.5,9.3,6.0,3.6,19.9,18.8,10.1,65.9,1.9,19.7,100.4,70.3,54.0,9.9,110.4,27.3,99.28,56.9,"8,170",49.8,14.5,57.1,1,30,2,30,1,2,2,1,24,18,14,20,1,1,1,1,1,1,1,3,1,2,4,1,23,26,9,21,4,6,1,13,4,2,28,18,26,1
1,Atlanta Hawks,2014,82,60,22,0.732,48.1,102.5,38.1,81.7,46.6,10.0,26.2,38.0,16.5,21.2,77.8,8.7,31.8,40.6,25.7,14.2,9.1,4.6,4.9,17.8,19.6,5.4,67.6,1.81,19.5,102.3,69.7,52.7,5.9,108.2,26.4,94.66,54.0,"7,775",48.7,15.0,56.3,2,29,5,26,4,1,3,2,30,22,27,14,3,3,15,3,2,10,10,27,4,5,7,2,19,24,5,30,22,28,2,15,5,15,13,30,20,4
2,Houston Rockets,2014,82,56,26,0.683,48.3,103.9,37.0,83.3,44.4,11.4,32.7,34.8,18.6,26.0,71.5,11.7,32.0,43.7,22.2,16.7,9.5,5.0,5.3,22.0,21.1,3.4,60.0,1.33,16.5,102.6,68.6,51.2,3.4,106.0,30.5,97.36,50.9,"8,037",49.6,17.0,54.8,3,27,12,24,8,10,27,16,9,26,17,3,7,8,2,12,3,6,21,12,20,1,1,14,5,2,27,6,17,14,9,2,3,9,9,4,7,7
3,Los Angeles Clippers,2014,82,56,26,0.683,48.1,106.7,39.4,83.3,47.3,10.1,26.9,37.6,17.9,25.2,71.0,9.6,33.1,42.6,24.8,12.3,7.8,5.0,3.0,21.3,21.5,6.6,62.9,2.01,18.7,104.7,71.6,53.3,6.9,111.6,27.2,95.4,54.0,"7,844",49.7,12.9,56.5,4,28,1,15,2,3,1,3,25,8,15,29,2,2,11,4,4,2,3,13,2,3,5,3,7,4,28,28,10,20,3,29,13,10,30,7,3,2
4,Memphis Grizzlies,2014,82,55,27,0.671,48.5,98.3,37.8,82.5,45.8,5.2,15.2,33.9,17.6,22.8,77.3,10.4,32.1,42.6,21.7,13.3,8.5,4.2,5.2,19.1,20.3,3.2,57.4,1.62,16.9,101.2,71.6,48.9,3.5,104.8,28.8,92.82,53.0,"7,696",50.3,14.2,53.1,5,25,13,29,7,18,9,11,17,9,12,22,20,18,26,5,5,20,13,23,8,29,29,22,10,14,7,22,15,21,14,24,6,24,11,22,13,8
5,San Antonio Spurs,2014,82,55,27,0.671,48.7,103.2,39.1,83.6,46.8,8.3,22.5,36.7,16.7,21.4,78.0,9.8,33.8,43.6,24.4,14.0,8.0,5.4,4.4,19.1,19.7,6.2,62.3,1.75,18.4,101.4,73.0,51.7,6.3,107.6,27.2,94.45,54.5,"7,860",50.7,14.6,55.5,6,26,7,27,3,7,5,4,26,3,10,17,5,5,17,2,6,7,4,11,3,12,15,5,16,22,4,27,8,15,5,17,11,8,22,23,19,3
6,Cleveland Cavaliers,2014,82,53,29,0.646,48.2,103.1,37.7,82.2,45.8,10.1,27.5,36.7,17.7,23.6,75.1,11.1,31.9,43.0,22.1,14.3,7.4,4.1,4.5,18.4,20.5,4.5,58.7,1.55,17.1,105.3,71.1,52.0,4.8,110.1,31.1,93.23,51.4,"7,682",51.3,15.2,55.7,7,24,4,12,5,13,16,8,6,15,6,12,4,4,25,10,7,8,15,24,9,4,2,6,9,11,17,11,20,18,10,14,19,25,20,26,11,5
7,Portland Trail Blazers,2014,82,51,31,0.622,48.4,102.8,38.7,86.0,45.0,9.8,27.2,36.2,15.5,19.4,80.1,10.7,35.1,45.9,21.9,13.6,6.4,4.5,3.6,18.2,18.7,4.2,56.7,1.61,16.8,102.8,72.8,50.8,4.3,107.1,28.2,95.06,52.2,"7,868",51.0,14.2,54.4,8,23,8,22,6,20,10,12,21,5,9,23,8,9,12,8,8,9,8,5,17,6,3,8,27,28,1,15,1,2,12,22,27,18,29,27,28,6
8,Chicago Bulls,2014,82,50,32,0.61,48.5,100.8,36.6,82.9,44.2,7.9,22.3,35.3,19.7,25.2,78.3,11.7,34.0,45.7,21.7,14.0,6.3,5.8,5.4,18.2,21.2,3.0,59.3,1.56,16.6,103.3,70.9,48.9,3.0,106.3,31.2,93.8,52.9,"7,775",51.6,14.7,53.6,9,21,11,20,11,11,15,14,5,17,4,16,21,14,19,6,9,15,23,18,22,15,16,10,3,5,3,7,7,3,15,18,28,5,6,28,6,10
9,Dallas Mavericks,2014,82,50,32,0.61,48.5,105.2,39.7,85.8,46.3,8.9,25.4,35.2,16.9,22.5,75.2,10.5,31.8,42.3,22.5,13.0,8.1,4.5,3.8,20.0,22.1,2.9,56.7,1.74,17.0,104.9,68.1,51.5,3.2,108.2,26.9,96.4,52.1,"7,976",47.7,13.3,55.0,10,22,6,14,9,21,6,10,28,30,30,28,6,7,8,9,10,3,2,6,5,7,8,11,15,16,16,19,23,23,8,27,9,19,27,16,2,11
10,Toronto Raptors,2014,82,49,33,0.598,48.4,104.0,37.9,83.3,45.5,8.9,25.1,35.2,19.3,24.6,78.7,10.7,30.8,41.5,20.7,12.9,7.5,4.4,5.0,20.9,20.3,3.1,54.7,1.61,16.1,107.1,68.9,50.8,3.1,110.2,30.1,93.46,50.6,"7,736",49.4,13.7,55.3,11,20,3,5,10,28,11,22,11,24,19,27,9,6,23,15,11,4,11,14,12,8,9,12,4,6,2,16,27,26,22,28,18,23,12,12,14,9
11,Washington Wizards,2014,82,46,36,0.561,48.7,98.5,38.3,82.8,46.2,6.1,16.8,36.0,15.9,21.4,74.2,10.5,34.2,44.7,24.0,15.0,7.3,4.6,4.3,20.8,19.6,0.7,62.7,1.6,18.1,102.4,72.6,49.9,0.6,103.0,28.8,94.29,52.5,"7,844",51.4,15.7,53.4,12,19,22,25,14,5,13,5,18,6,5,8,13,16,18,7,12,17,9,20,6,26,27,9,25,23,21,20,5,7,6,7,20,16,24,14,21,14
12,New Orleans Pelicans,2014,82,45,37,0.549,48.2,99.4,37.9,82.9,45.7,7.1,19.3,37.0,16.4,21.8,75.1,11.5,32.0,43.5,22.0,13.3,6.7,6.2,5.8,18.7,18.7,0.8,58.1,1.66,17.1,106.3,71.2,50.1,0.8,107.1,30.9,92.29,50.8,"7,608",51.1,14.3,53.7,13,17,9,8,13,16,8,9,8,13,7,21,10,12,27,13,13,16,12,19,10,19,23,4,20,20,18,10,18,16,11,25,25,1,3,25,29,13
13,Oklahoma City Thunder,2014,82,45,37,0.549,48.4,104.0,38.8,86.8,44.7,7.7,22.7,33.9,18.6,24.6,75.4,12.8,34.7,47.5,20.5,14.7,7.3,5.5,4.6,22.3,20.4,2.2,52.8,1.4,15.3,104.6,73.0,49.2,2.1,106.7,31.8,96.61,50.5,"7,988",52.4,15.1,53.2,14,18,10,16,12,29,23,30,2,4,1,13,17,17,6,16,14,5,6,4,18,16,14,23,6,7,14,1,2,1,24,11,21,6,19,2,12,12
14,Milwaukee Bucks,2014,82,41,41,0.5,48.6,97.8,37.6,82.0,45.9,6.6,18.3,36.3,16.0,21.1,75.7,10.7,31.4,42.1,23.6,16.7,9.6,4.9,4.8,22.1,20.1,0.4,62.7,1.41,17.8,101.4,68.6,49.9,0.6,102.0,29.0,94.82,51.1,"7,867",49.1,17.5,53.6,15,16,25,28,15,6,22,7,13,27,21,2,14,15,14,11,15,22,16,25,7,23,26,7,24,25,12,17,25,24,7,3,1,11,14,3,17,15
15,Boston Celtics,2014,82,40,42,0.488,48.5,101.4,38.9,87.9,44.3,8.0,24.6,32.7,15.4,20.5,75.4,11.1,32.7,43.8,24.5,13.8,8.2,3.6,5.3,21.2,18.8,0.2,62.9,1.77,18.0,103.5,71.0,48.9,0.3,103.8,28.9,96.71,49.8,"8,007",49.5,14.2,52.3,16,15,19,19,16,4,4,6,15,16,18,24,22,22,5,18,16,13,5,1,21,13,13,27,28,27,15,12,11,13,4,20,8,30,10,9,27,17
16,Phoenix Suns,2014,82,39,43,0.476,48.5,102.4,38.8,85.8,45.2,8.5,25.0,34.1,16.4,21.5,76.0,10.9,32.2,43.2,20.2,15.1,8.5,4.7,4.1,21.3,20.3,-0.9,52.2,1.34,15.4,105.3,69.8,50.1,-1.1,104.2,28.1,97.2,49.1,"8,058",48.9,15.4,53.7,17,14,16,13,19,30,25,29,22,21,24,11,11,13,3,20,17,11,7,7,15,10,10,20,21,21,11,13,14,17,27,6,7,12,26,8,15,19
17,Brooklyn Nets,2014,82,38,44,0.463,48.6,98.0,37.4,83.0,45.1,6.6,19.9,33.1,16.6,22.2,74.8,10.3,32.0,42.4,20.9,13.8,7.0,4.1,4.5,19.3,20.0,-2.9,55.9,1.51,16.3,106.3,70.1,49.1,-3.0,103.4,27.8,93.69,48.0,"7,777",49.1,14.6,52.9,18,11,20,9,21,25,19,18,23,19,22,18,18,20,20,23,18,21,18,17,16,24,20,26,18,18,19,24,19,22,20,21,22,26,21,19,18,22
18,Indiana Pacers,2014,82,38,44,0.463,48.4,97.3,36.6,83.2,43.9,7.5,21.2,35.2,16.7,22.2,75.6,10.4,34.4,44.9,21.4,14.0,6.2,4.6,4.7,21.2,21.4,0.3,58.6,1.53,16.6,102.7,73.5,48.4,0.2,102.9,28.6,93.67,50.5,"7,753",51.1,14.8,52.3,19,12,23,23,17,14,17,15,19,2,8,15,23,23,22,17,19,24,24,15,23,17,18,13,17,19,13,23,3,4,18,19,29,17,17,10,4,16
19,Utah Jazz,2014,82,38,44,0.463,48.1,95.1,35.4,79.2,44.7,7.4,21.7,34.3,17.0,23.5,72.1,12.0,31.9,44.0,19.9,15.3,7.6,6.0,4.7,19.3,19.6,0.2,56.3,1.3,15.8,104.1,71.5,49.4,0.1,104.2,33.2,91.1,50.7,"7,486",52.4,16.8,53.1,20,13,17,17,18,23,28,25,1,11,2,4,15,19,30,14,20,26,27,29,19,18,17,19,13,13,26,4,21,11,29,5,16,3,18,20,22,18
20,Miami Heat,2014,82,37,45,0.451,48.1,94.7,35.2,77.2,45.6,6.8,20.2,33.5,17.5,23.7,74.1,9.1,30.0,39.1,19.8,14.8,7.8,4.5,4.4,20.0,20.9,-2.6,56.4,1.34,16.1,106.1,68.7,50.0,-3.0,103.2,28.4,91.49,49.2,"7,526",48.9,16.1,54.0,21,10,21,10,22,22,26,23,20,25,25,6,12,11,29,19,21,27,28,30,11,20,19,24,11,10,22,29,28,30,30,10,14,20,23,17,8,21
21,Charlotte Hornets,2014,82,33,49,0.402,48.5,94.2,35.5,84.5,42.0,6.1,19.1,31.8,17.0,22.8,74.8,10.0,34.1,44.1,20.2,11.9,6.1,5.5,5.4,18.2,20.8,-3.2,56.8,1.69,15.8,103.0,74.6,45.6,-3.4,99.6,27.0,93.45,48.2,"7,753",50.2,12.6,49.8,22,9,28,21,24,19,7,26,27,1,13,30,30,29,24,22,22,28,26,10,29,27,24,30,14,15,20,25,6,10,28,30,30,7,7,29,9,23
22,Detroit Pistons,2014,82,32,50,0.39,48.4,98.5,37.1,85.8,43.2,8.6,24.9,34.4,15.8,22.4,70.3,12.8,32.1,44.9,21.6,13.4,7.6,4.7,4.8,19.0,19.3,-1.0,58.2,1.61,16.4,105.4,71.2,48.2,-1.1,104.3,31.6,93.68,47.8,"7,741",50.5,14.2,51.5,23,8,15,11,20,15,12,17,3,14,11,25,24,26,21,24,23,18,20,8,27,9,11,17,26,17,29,2,16,5,16,23,17,13,15,24,24,20
23,Denver Nuggets,2014,82,30,52,0.366,48.5,101.5,37.8,87.3,43.3,8.0,24.8,32.5,17.8,24.3,73.4,12.3,32.4,44.7,21.8,14.2,7.8,4.5,6.1,23.0,20.7,-3.5,57.7,1.53,16.2,107.1,70.0,47.9,-3.3,103.9,30.3,96.87,46.5,"8,011",49.4,14.6,51.8,24,7,18,6,23,17,18,20,10,20,20,19,25,24,4,25,24,12,14,2,26,14,12,28,8,8,24,3,12,8,13,16,15,21,2,1,10,24
24,Sacramento Kings,2014,82,29,53,0.354,48.4,101.3,36.7,80.7,45.5,5.6,16.5,34.1,22.3,29.3,76.2,10.9,33.3,44.2,20.3,16.3,6.7,4.0,6.2,20.7,23.9,-3.7,55.4,1.25,15.5,108.2,71.5,49.0,-3.7,104.5,31.3,96.16,48.5,"7,952",51.9,16.8,54.2,25,6,14,4,25,26,29,27,4,12,3,5,19,10,9,21,25,14,22,28,13,28,28,21,1,1,10,14,9,9,26,4,26,27,1,15,1,25
25,Orlando Magic,2014,82,25,57,0.305,48.2,95.7,37.5,82.8,45.3,6.8,19.5,34.7,13.9,19.1,72.9,10.0,31.8,41.8,20.6,14.9,7.9,3.8,5.4,20.9,17.9,-5.7,55.0,1.39,16.2,106.8,71.6,49.4,-5.9,101.0,26.9,94.51,45.5,"7,773",49.1,15.7,52.4,26,5,27,7,26,27,24,21,29,10,23,9,16,21,16,26,26,25,17,21,14,21,22,15,30,30,25,26,24,25,23,9,12,29,8,13,30,26
26,Los Angeles Lakers,2014,82,21,61,0.256,48.6,98.5,37.2,85.6,43.5,6.5,18.9,34.4,17.5,23.6,74.1,11.6,32.3,43.9,20.9,13.2,7.0,4.5,4.8,21.2,19.4,-6.8,56.2,1.58,15.9,109.4,72.0,47.3,-7.1,102.3,29.0,95.03,45.0,"7,892",49.7,13.8,51.3,27,4,24,2,27,24,14,24,14,7,16,26,26,27,13,28,27,19,19,9,25,25,25,18,12,12,23,8,13,12,21,26,23,22,16,11,23,27
