,TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%,W_RANK,L_RANK,OFFRTG_RANK,DEFRTG_RANK,NETRTG_RANK,AST%_RANK,AST/TO_RANK,AST_RATIO_RANK,OREB%_RANK,DREB%_RANK,REB%_RANK,TOV%_RANK,EFG%_RANK,TS%_RANK,PACE_RANK,PIE_RANK,WIN%_RANK,PTS_RANK,FGM_RANK,FGA_RANK,FG%_RANK,3PM_RANK,3PA_RANK,3P%_RANK,FTM_RANK,FTA_RANK,FT%_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,+/-_RANK
0,Boston Celtics,2007,82,66,16,0.805,48.2,100.5,36.4,76.7,47.5,7.3,19.1,38.1,20.5,26.5,77.1,10.1,31.9,42.0,22.4,15.2,8.5,4.6,4.7,22.7,22.2,10.3,61.4,1.47,17.6,98.1,70.7,52.2,10.8,108.8,30.6,91.88,58.1,"7,575",51.8,16.4,56.9,1,30,11,30,1,6,18,8,12,9,3,2,5,5,19,1,1,11,19,30,4,8,12,5,8,9,8,23,9,12,8,4,5,18,15,5,8,1
1,Detroit Pistons,2007,82,59,23,0.72,48.1,97.5,36.6,79.9,45.8,5.9,16.2,36.6,18.4,24.0,76.7,11.9,29.5,41.4,22.3,11.7,7.1,5.8,3.9,20.6,19.7,7.4,61.1,1.92,17.8,101.5,70.0,49.5,8.3,109.8,32.7,88.54,55.2,"7,279",51.3,13.1,53.9,2,29,7,27,2,9,2,6,5,16,7,27,15,14,30,4,2,16,17,20,13,22,22,13,18,22,13,10,25,21,10,29,17,3,28,16,25,2
2,Los Angeles Lakers,2007,82,57,25,0.695,48.2,108.6,39.6,83.1,47.6,8.1,21.4,37.8,21.3,27.7,76.9,11.0,33.2,44.1,24.4,14.1,8.0,5.3,4.5,20.6,22.6,7.3,61.7,1.73,18.1,104.3,70.2,52.5,7.3,111.7,29.7,96.7,55.1,"7,974",50.7,14.5,57.0,3,28,3,26,3,5,6,4,19,14,8,21,4,4,6,5,3,4,5,6,3,5,6,6,3,4,10,17,1,4,4,20,6,5,19,17,5,3
3,New Orleans Hornets,2007,82,56,26,0.683,48.3,100.9,38.6,82.9,46.6,7.7,19.8,38.9,16.0,20.8,76.9,11.4,30.4,41.8,21.8,11.9,7.8,3.9,4.0,18.7,19.2,5.3,56.4,1.83,17.2,104.4,71.7,51.2,5.6,110.0,30.0,91.04,52.6,"7,517",50.6,13.0,54.8,4,26,6,25,5,20,4,9,16,2,9,29,6,10,26,11,4,9,6,8,8,6,8,3,29,28,11,14,14,16,13,28,8,28,27,29,28,6
4,San Antonio Spurs,2007,82,56,26,0.683,48.1,95.4,35.8,78.3,45.7,7.2,19.6,36.9,16.5,21.6,76.1,9.4,31.9,41.3,21.0,12.6,6.4,4.1,4.4,18.7,19.8,4.8,58.5,1.66,17.1,100.7,73.3,50.4,5.3,106.0,26.8,89.72,53.3,"7,377",50.3,14.0,54.3,5,27,14,28,7,15,9,10,27,1,12,25,10,12,28,8,5,27,25,28,14,9,10,11,26,27,15,27,10,23,20,26,24,24,20,30,24,8
5,Houston Rockets,2007,82,55,27,0.671,48.1,96.7,36.6,81.7,44.8,7.1,20.8,34.2,16.4,22.5,72.6,12.2,32.4,44.6,21.4,13.7,7.3,5.1,4.6,19.6,19.7,4.7,58.5,1.56,16.8,100.5,71.1,49.2,4.8,105.4,32.3,91.42,53.5,"7,525",51.9,15.0,52.8,6,24,17,29,9,16,13,14,8,5,2,19,16,20,21,7,6,22,18,14,20,10,7,26,27,25,25,9,6,1,15,22,14,8,18,25,26,9
6,Phoenix Suns,2007,82,55,27,0.671,48.2,110.1,41.4,82.7,50.0,8.5,21.5,39.3,18.9,24.1,78.3,8.8,32.7,41.5,26.7,14.4,6.5,6.3,3.8,19.9,21.1,5.0,64.5,1.85,19.7,107.0,67.4,55.1,5.0,112.0,25.3,97.72,55.6,"8,058",48.1,14.7,59.0,7,25,2,14,8,3,3,1,30,28,28,20,1,1,4,2,7,3,2,9,1,4,5,1,13,20,4,30,4,20,1,16,22,2,29,23,15,7
7,Utah Jazz,2007,82,54,28,0.659,48.1,106.2,40.0,80.4,49.7,5.0,13.4,37.2,21.3,28.0,75.9,11.5,29.4,40.9,26.4,14.6,8.7,4.3,5.1,24.0,23.1,6.9,66.0,1.8,19.6,104.9,71.0,52.8,7.2,112.1,32.7,94.64,55.6,"7,773",52.1,15.4,57.3,8,23,1,21,4,2,5,2,6,6,1,13,3,3,9,3,8,5,4,18,2,26,26,10,4,2,16,13,26,24,2,12,3,22,7,1,2,4
8,Orlando Magic,2007,82,52,30,0.634,48.2,104.5,37.3,78.6,47.4,9.8,25.3,38.6,20.1,27.9,72.1,9.4,32.6,42.0,20.8,14.3,6.3,4.1,4.2,20.6,23.1,5.5,55.8,1.45,16.4,104.9,70.9,53.7,5.6,110.4,27.4,94.02,52.9,"7,757",50.1,15.1,57.5,9,22,4,22,6,22,20,20,25,7,17,18,2,2,11,9,9,6,11,26,5,1,2,4,9,3,27,28,5,13,22,18,27,25,24,18,3,5
9,Dallas Mavericks,2007,82,51,31,0.622,48.1,100.4,36.9,79.5,46.4,6.0,17.1,35.2,20.6,25.3,81.4,10.8,32.2,43.0,21.0,12.6,6.0,4.9,4.4,21.8,21.2,4.5,56.9,1.66,16.7,104.7,71.6,50.2,4.8,109.5,30.0,91.38,53.6,"7,518",51.4,13.8,55.4,10,21,8,23,10,19,10,15,17,3,6,26,12,8,22,6,10,12,15,24,9,19,19,20,7,14,1,21,7,8,21,27,29,10,21,8,13,10
10,Denver Nuggets,2007,82,50,32,0.61,48.4,110.7,40.3,85.8,47.0,6.9,19.6,35.5,23.1,30.7,75.1,11.2,32.9,44.1,24.7,14.7,9.2,6.7,4.8,21.1,23.8,3.7,61.2,1.68,17.7,105.5,68.6,51.0,3.4,108.9,29.2,100.58,52.9,"8,330",49.4,14.4,55.7,11,20,9,19,11,8,8,7,21,24,21,22,9,6,1,10,11,2,3,2,6,13,11,19,1,1,19,15,2,5,3,9,1,1,14,14,1,11
11,Golden State Warriors,2007,82,48,34,0.585,48.2,111.0,41.5,90.3,45.9,9.3,26.6,34.8,18.8,24.9,75.2,12.7,30.4,43.2,22.4,13.2,9.1,4.6,5.0,22.9,21.2,2.2,53.9,1.69,16.3,108.5,67.2,51.1,1.9,110.4,30.1,99.96,49.6,"8,249",48.1,13.1,54.8,12,19,5,7,13,25,7,21,15,30,29,28,7,11,2,15,12,1,1,1,12,2,1,23,14,16,18,5,15,6,9,23,2,19,11,4,14,13
12,Cleveland Cavaliers,2007,82,45,37,0.549,48.4,96.4,35.8,81.7,43.9,6.7,18.8,35.8,18.0,25.1,71.7,13.3,31.3,44.6,20.0,14.0,7.1,5.2,4.7,20.9,20.3,-0.4,55.8,1.43,15.7,105.4,71.5,48.0,-0.6,104.8,33.4,91.06,49.0,"7,540",51.8,15.2,52.0,13,18,20,20,16,23,23,25,2,4,4,16,26,25,25,17,13,24,26,15,27,14,13,15,21,15,28,1,11,2,24,21,18,6,16,15,19,16
13,Washington Wizards,2007,82,43,39,0.524,48.5,98.8,36.4,81.6,44.6,7.0,19.7,35.6,19.0,24.3,78.2,12.3,29.3,41.6,19.6,13.2,7.7,4.8,4.4,19.6,20.2,-0.3,53.8,1.49,15.6,107.9,69.5,48.9,-0.3,107.6,32.0,90.85,48.8,"7,533",50.3,14.4,53.5,14,17,12,10,15,26,16,26,10,19,13,23,18,16,27,18,14,14,20,16,22,11,9,17,12,19,5,7,27,18,27,24,9,15,22,26,21,15
