TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%
Milwaukee Bucks,2022,82,58,24,0.707,48.4,116.9,42.7,90.4,47.3,14.8,40.3,36.8,16.6,22.4,74.3,11.1,37.5,48.6,25.8,14.6,6.4,4.9,3.9,18.0,19.0,3.6,60.4,1.76,18.1,110.9,74.5,55.5,3.4,114.3,28.4,101.45,52.3,"8,389",52.1,14.3,58.3
Boston Celtics,2022,82,57,25,0.695,48.7,117.9,42.2,88.8,47.5,16.0,42.6,37.7,17.5,21.6,81.2,9.7,35.6,45.3,26.7,13.4,6.4,5.2,3.9,18.8,19.1,6.5,63.2,2.0,19.1,110.6,74.6,56.6,6.7,117.3,25.5,99.15,53.4,"8,247",50.6,13.3,60.0
Philadelphia 76ers,2022,82,54,28,0.659,48.5,115.2,40.8,83.8,48.7,12.6,32.6,38.7,21.0,25.1,83.5,8.7,32.2,40.9,25.2,13.7,7.7,4.7,4.6,20.4,19.6,4.3,61.6,1.84,18.6,112.7,72.1,56.3,4.4,117.0,25.8,97.44,52.4,"8,072",49.6,13.9,60.8
Denver Nuggets,2022,82,53,29,0.646,48.2,115.8,43.6,86.4,50.4,11.8,31.2,37.9,16.8,22.4,75.1,10.1,32.9,43.0,28.9,14.5,7.5,4.5,4.2,18.6,19.5,3.3,66.3,1.99,20.5,113.5,72.7,57.3,3.3,116.8,28.9,98.74,52.5,"8,129",51.4,14.7,60.1
Cleveland Cavaliers,2022,82,51,31,0.622,48.5,112.3,41.6,85.2,48.8,11.6,31.6,36.7,17.5,22.5,78.0,9.7,31.4,41.1,24.9,13.3,7.1,4.7,4.4,19.0,20.4,5.4,60.0,1.87,18.6,109.9,71.5,55.6,5.6,115.5,27.3,96.27,53.1,"7,972",49.6,13.7,59.0
Memphis Grizzlies,2022,82,51,31,0.622,48.2,116.9,43.7,92.1,47.5,12.0,34.2,35.1,17.5,23.8,73.3,12.0,34.6,46.6,26.0,13.6,8.3,5.8,5.2,20.0,20.0,3.9,59.6,1.91,18.2,110.7,71.1,54.0,4.0,114.7,30.2,101.5,51.9,"8,360",50.7,13.3,57.0
Sacramento Kings,2022,82,48,34,0.585,48.4,120.7,43.6,88.2,49.4,13.8,37.3,36.9,19.8,25.1,79.0,9.5,32.9,42.5,27.3,13.5,7.0,3.4,4.2,19.7,20.9,2.6,62.6,2.02,19.3,116.0,73.1,57.2,2.6,118.6,26.5,100.99,51.1,"8,343",49.9,13.3,60.8
New York Knicks,2022,82,47,35,0.573,48.7,116.0,42.0,89.4,47.0,12.6,35.7,35.4,19.4,25.5,76.1,12.6,34.0,46.6,22.9,13.0,6.4,4.1,4.5,20.3,20.7,2.9,54.6,1.77,16.6,114.2,72.7,54.1,2.8,117.0,31.8,97.75,50.9,"8,134",52.1,13.1,57.7
Brooklyn Nets,2022,82,45,37,0.549,48.1,113.4,41.5,85.1,48.7,12.8,33.8,37.8,17.7,22.1,80.0,8.2,32.3,40.5,25.5,13.7,7.1,6.2,3.9,21.1,18.5,0.9,61.6,1.86,18.9,113.5,68.9,56.2,1.1,114.6,23.4,98.77,51.0,"8,111",47.2,13.9,59.8
Phoenix Suns,2022,82,45,37,0.549,48.2,113.6,42.1,90.1,46.7,12.2,32.6,37.4,17.2,21.7,79.3,11.8,32.4,44.2,27.3,13.5,7.1,5.3,4.0,21.2,19.9,2.1,64.7,2.01,19.3,112.3,71.4,53.5,2.2,114.5,30.7,98.83,51.4,"8,141",50.8,13.6,57.0
Golden State Warriors,2022,82,44,38,0.537,48.4,118.9,43.1,90.2,47.9,16.6,43.2,38.5,16.0,20.2,79.4,10.5,34.1,44.6,29.8,16.3,7.2,4.0,4.0,21.4,18.4,1.8,69.1,1.83,20.4,113.4,71.9,57.1,1.7,115.1,27.7,102.54,51.0,"8,472",50.2,15.8,60.0
LA Clippers,2022,82,44,38,0.537,48.4,113.6,41.1,86.1,47.7,12.7,33.3,38.1,18.7,23.9,78.1,9.8,33.4,43.2,23.9,14.2,7.1,4.4,4.2,19.5,19.6,0.5,58.1,1.68,17.5,113.6,73.1,55.1,0.5,114.0,27.3,98.84,49.8,"8,168",50.5,14.3,58.8
Miami Heat,2022,82,44,38,0.537,48.3,109.5,39.2,85.3,46.0,12.0,34.8,34.4,19.1,23.0,83.1,9.7,30.9,40.6,23.8,13.5,8.0,3.0,3.8,18.5,20.0,-0.3,60.8,1.77,17.8,112.8,73.3,53.0,-0.5,112.3,27.4,96.76,49.6,"7,991",49.8,13.8,57.4
Los Angeles Lakers,2022,82,43,39,0.524,48.5,117.2,42.9,89.0,48.2,10.8,31.2,34.6,20.6,26.6,77.5,10.0,35.7,45.7,25.3,14.1,6.4,4.6,5.1,17.9,21.5,0.6,58.9,1.8,17.9,113.2,72.7,54.2,0.7,113.9,26.9,101.92,51.1,"8,436",50.5,13.7,58.2
Minnesota Timberwolves,2022,82,42,40,0.512,48.4,115.8,42.9,87.4,49.0,12.2,33.3,36.5,17.9,23.7,75.5,9.1,32.8,41.9,26.2,15.3,8.0,5.4,4.1,21.6,20.2,0.0,61.0,1.71,18.6,113.1,70.3,56.0,0.2,113.3,25.8,101.55,50.3,"8,383",48.5,15.0,59.2
