,TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%,W_RANK,L_RANK,OFFRTG_RANK,DEFRTG_RANK,NETRTG_RANK,AST%_RANK,AST/TO_RANK,AST_RATIO_RANK,OREB%_RANK,DREB%_RANK,REB%_RANK,TOV%_RANK,EFG%_RANK,TS%_RANK,PACE_RANK,PIE_RANK,WIN%_RANK,PTS_RANK,FGM_RANK,FGA_RANK,FG%_RANK,3PM_RANK,3PA_RANK,3P%_RANK,FTM_RANK,FTA_RANK,FT%_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,+/-_RANK
0,Phoenix Suns,2021,82,64,18,0.78,48.1,114.8,43.7,90.1,48.5,11.6,31.9,36.4,15.9,19.9,79.7,9.8,35.5,45.3,27.4,12.9,8.6,4.4,4.0,19.9,18.9,7.5,62.7,2.12,19.5,106.8,72.8,54.9,7.5,114.2,26.4,100.26,54.8,"8,242",50.3,12.9,58.1,1,30,5,28,1,7,2,3,21,13,13,26,4,5,8,1,1,5,1,6,1,20,26,7,24,27,7,18,4,8,4,24,5,22,27,12,24,1
1,Memphis Grizzlies,2021,82,56,26,0.683,48.2,115.6,43.5,94.4,46.1,11.5,32.7,35.3,17.0,23.1,73.4,14.1,35.0,49.2,26.0,13.2,9.8,6.5,6.0,19.8,19.8,5.7,59.7,1.97,17.9,108.9,72.6,52.2,5.3,114.3,33.8,100.52,53.0,"8,295",52.6,13.0,55.3,2,29,3,25,5,19,5,15,1,15,1,23,23,24,4,4,2,2,2,1,18,23,23,16,14,7,28,1,8,1,6,22,1,1,1,14,14,4
2,Golden State Warriors,2021,82,53,29,0.646,48.1,111.0,40.5,86.4,46.9,14.3,39.4,36.4,15.6,20.3,76.9,9.8,35.7,45.5,27.1,14.9,8.8,4.5,3.9,21.0,18.0,5.5,66.9,1.82,19.5,106.6,73.6,55.2,5.5,112.1,26.9,98.74,53.6,"8,121",51.0,15.0,58.2,3,27,15,29,4,1,11,4,15,6,8,2,3,4,15,3,3,15,17,21,8,3,3,8,26,26,17,19,2,7,5,2,3,18,29,4,29,5
3,Miami Heat,2021,82,53,29,0.646,48.4,110.0,39.6,84.8,46.7,13.6,35.8,37.9,17.3,21.4,80.8,9.8,33.9,43.7,25.5,14.6,7.4,3.2,4.0,20.5,20.6,4.5,64.4,1.75,18.8,108.4,73.5,54.7,4.5,113.0,27.8,96.53,52.9,"7,987",51.0,14.9,58.4,4,28,11,27,6,5,19,6,10,7,9,3,5,3,28,5,4,17,22,28,13,6,14,1,12,18,5,20,17,22,8,3,15,30,28,6,3,6
4,Dallas Mavericks,2021,82,52,30,0.634,48.2,108.0,39.3,85.1,46.1,13.1,37.4,35.0,16.4,21.2,77.1,9.3,33.8,43.0,23.4,12.5,6.7,4.0,3.7,19.7,20.1,3.3,59.5,1.87,17.8,109.1,73.3,53.8,3.5,112.5,25.6,95.64,51.1,"7,871",49.6,13.0,57.2,5,26,14,24,7,20,9,17,23,10,16,24,13,13,30,12,5,24,25,27,19,10,7,19,20,22,16,24,19,24,25,27,29,26,30,15,9,8
5,Boston Celtics,2021,82,51,31,0.622,48.5,111.8,40.7,87.4,46.6,13.2,37.1,35.6,17.0,20.9,81.6,10.5,35.5,46.1,24.8,13.6,7.2,5.8,4.6,18.5,19.4,7.3,60.9,1.82,18.2,106.2,72.5,54.2,7.4,113.6,27.7,97.26,54.7,"8,068",50.9,13.9,57.8,6,23,8,30,2,14,12,10,11,16,10,17,9,9,24,2,6,12,13,17,15,8,9,14,15,24,2,11,5,4,14,18,18,2,16,26,19,2
6,Milwaukee Bucks,2021,82,51,31,0.622,48.2,115.5,41.8,89.4,46.8,14.1,38.4,36.6,17.8,22.9,77.6,10.2,36.5,46.7,23.9,13.4,7.6,4.0,4.4,18.2,19.7,3.4,57.2,1.78,17.3,111.1,74.7,54.6,3.2,114.3,26.9,100.59,51.6,"8,284",51.2,13.3,58.0,7,24,4,17,8,27,15,21,16,2,5,20,6,7,3,9,7,3,6,8,11,4,5,5,8,10,15,15,1,2,18,19,11,27,22,28,16,7
7,Philadelphia 76ers,2021,82,51,31,0.622,48.3,109.9,39.4,84.5,46.6,11.6,31.8,36.4,19.6,23.8,82.1,8.5,33.8,42.3,23.7,12.5,7.7,5.3,4.6,19.4,19.4,2.6,60.2,1.89,17.9,110.2,72.4,53.4,2.8,113.0,24.6,96.71,51.7,"7,975",49.0,12.9,57.8,8,25,12,19,9,15,8,16,30,18,20,27,16,10,26,7,8,18,23,30,16,21,27,9,1,3,1,30,20,28,20,28,9,6,17,19,20,9
8,Utah Jazz,2021,82,49,33,0.598,48.1,113.6,40.6,86.2,47.1,14.5,40.3,36.0,17.9,23.4,76.7,10.8,35.6,46.3,22.4,14.0,7.2,4.9,4.3,18.9,20.3,6.0,55.2,1.6,16.7,110.0,73.8,55.5,6.2,116.2,30.0,97.5,52.8,"8,014",52.5,14.3,58.9,9,22,1,21,3,29,27,27,5,5,2,9,2,2,23,6,9,7,14,24,6,2,2,11,6,4,20,9,3,3,27,15,19,10,23,20,6,3
9,Denver Nuggets,2021,82,48,34,0.585,48.3,112.7,41.7,86.3,48.3,12.7,35.9,35.3,16.7,21.0,79.5,9.2,34.9,44.1,27.8,14.5,7.2,3.7,4.8,20.0,19.9,2.3,66.7,1.92,20.0,111.5,75.2,55.6,2.3,113.8,26.8,98.41,51.6,"8,123",51.5,14.6,59.0,10,20,6,16,11,2,6,1,18,1,4,5,1,1,20,10,10,10,7,23,2,13,13,17,19,23,8,25,9,17,3,4,20,29,12,11,12,11
10,Toronto Raptors,2021,82,48,34,0.585,48.4,109.4,40.6,91.3,44.5,11.9,34.2,34.9,16.2,21.3,75.9,13.4,32.0,45.3,22.1,12.5,9.0,4.6,5.1,19.6,19.1,2.3,54.3,1.77,16.1,109.9,71.4,51.0,2.2,112.1,32.5,96.63,49.4,"8,000",50.8,12.8,54.3,11,21,16,22,12,30,17,30,2,22,11,28,27,27,27,21,11,20,15,4,25,19,19,20,23,21,23,2,29,9,29,29,2,16,6,18,23,12
11,Chicago Bulls,2021,82,46,36,0.561,48.1,111.6,41.7,86.9,48.0,10.6,28.8,36.9,17.5,21.5,81.3,8.7,33.7,42.3,23.9,12.8,7.1,4.1,5.0,18.8,18.2,-0.4,57.2,1.86,17.8,113.2,73.5,54.1,-0.5,112.7,24.9,98.76,49.6,"8,124",49.5,13.0,57.9,12,18,13,8,20,28,10,18,27,8,17,25,10,8,14,19,12,13,8,20,3,28,30,4,9,17,3,29,21,29,19,25,23,25,7,22,28,20
12,Minnesota Timberwolves,2021,82,46,36,0.561,48.2,115.9,41.6,91.0,45.7,14.8,41.3,35.8,18.0,23.1,77.8,11.2,32.9,44.2,25.7,14.3,8.8,5.6,4.8,21.8,20.9,2.6,61.7,1.79,18.1,111.0,70.6,53.9,2.7,113.8,28.4,101.47,50.4,"8,357",49.0,14.1,57.3,13,19,7,18,10,10,14,11,7,27,21,13,12,12,1,15,13,1,9,5,22,1,1,12,4,8,14,6,25,15,7,10,4,3,13,2,2,10
13,Brooklyn Nets,2021,82,44,38,0.537,48.2,112.9,42.0,88.4,47.5,11.5,31.7,36.1,17.5,21.7,80.5,10.3,34.1,44.4,25.3,14.1,7.1,5.5,4.9,20.4,19.7,0.8,60.2,1.8,18.3,112.3,70.4,54.0,0.9,113.2,28.1,99.4,51.2,"8,177",49.9,14.1,57.6,14,16,10,11,15,16,13,9,8,30,15,14,11,11,11,11,14,9,5,12,4,24,28,10,10,14,6,14,14,13,10,12,24,5,9,7,17,15
14,Cleveland Cavaliers,2021,82,44,38,0.537,48.1,107.8,39.7,84.6,46.9,11.6,32.8,35.5,16.8,22.1,76.0,10.2,34.0,44.2,25.2,14.4,7.1,4.2,4.6,17.5,20.0,2.1,63.4,1.75,18.7,108.9,72.4,53.8,2.1,111.0,27.7,96.83,51.7,"7,964",50.6,14.8,57.1,15,17,20,26,13,6,20,7,12,19,12,4,14,15,25,8,15,25,21,29,9,22,22,15,17,12,21,16,16,16,11,8,25,23,18,30,11,13
15,Atlanta Hawks,2021,82,43,39,0.524,48.1,113.9,41.5,88.3,47.0,12.9,34.4,37.4,18.1,22.3,81.2,10.0,33.9,44.0,24.6,11.9,7.2,4.2,4.5,18.7,20.3,1.6,59.3,2.08,18.1,113.7,73.1,54.3,1.6,115.4,26.9,98.67,50.9,"8,099",50.1,12.0,58.1,16,14,2,5,14,22,4,12,17,11,14,30,8,6,17,14,16,6,11,13,7,11,18,2,3,11,4,17,18,18,15,30,21,24,21,24,7,14
16,Charlotte Hornets,2021,82,43,39,0.524,48.5,115.3,42.8,91.4,46.8,13.9,38.2,36.5,15.8,21.4,74.0,10.8,33.7,44.6,28.1,13.3,8.6,4.9,4.6,19.9,19.6,0.4,65.6,2.12,19.6,113.1,70.6,54.4,0.5,113.6,27.0,100.52,50.4,"8,322",48.6,13.1,57.2,17,15,9,9,16,3,3,2,14,28,26,22,7,14,5,16,17,4,4,3,12,5,6,6,25,19,27,10,22,12,1,20,6,11,19,13,18,16
