TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%
Sacramento Kings,2001,82,61,21,0.744,48.2,104.6,39.8,85.4,46.7,5.2,14.1,36.7,19.7,26.3,75.1,12.4,33.0,45.3,23.9,13.8,9.0,4.6,4.7,19.0,0.1,7.6,60.0,1.74,17.7,99.7,69.0,49.7,8.1,107.9,30.6,96.74,55.2,"7,951",50.2,14.2,53.9
Los Angeles Lakers,2001,82,58,24,0.707,48.2,101.3,38.4,83.4,46.1,6.2,17.5,35.4,18.2,26.1,69.9,12.5,31.8,44.3,23.0,12.7,7.6,5.8,4.3,22.2,0.1,7.1,59.7,1.81,17.5,100.4,68.6,49.8,7.6,108.0,31.1,93.32,54.9,"7,691",50.1,13.5,53.4
San Antonio Spurs,2001,82,58,24,0.707,48.4,96.7,35.5,77.6,45.8,5.3,14.8,36.2,20.3,27.4,74.2,11.1,31.3,42.4,20.0,14.4,7.6,6.5,5.2,19.2,0.1,6.2,56.4,1.39,16.0,98.5,68.5,49.2,6.9,105.4,30.1,91.06,55.4,"7,528",50.1,15.7,53.9
Dallas Mavericks,2001,82,57,25,0.695,48.5,105.2,39.0,84.5,46.2,7.6,20.1,37.8,19.6,24.3,80.6,11.2,31.3,42.5,22.1,12.1,7.1,4.8,4.6,22.5,0.1,4.3,56.6,1.83,16.9,106.0,68.3,50.7,4.3,110.3,28.5,94.36,51.7,"7,823",48.7,12.7,55.3
New Jersey Nets,2001,82,52,30,0.634,48.4,96.2,37.1,83.1,44.6,4.9,14.6,33.8,17.1,23.3,73.5,12.7,30.7,43.3,24.3,14.5,8.7,6.0,5.4,21.1,0.1,4.2,65.4,1.67,18.2,98.1,68.3,47.6,4.3,102.4,32.2,93.2,53.7,"7,707",50.3,15.4,51.5
Detroit Pistons,2001,82,50,32,0.61,48.0,94.3,34.7,76.8,45.2,6.9,18.4,37.6,18.0,23.8,75.6,9.9,28.9,38.7,21.5,14.5,7.9,6.9,4.1,20.7,0.1,2.1,62.0,1.48,17.3,100.9,67.6,49.7,2.3,103.2,27.7,91.38,52.3,"7,495",48.1,15.9,54.0
Minnesota Timberwolves,2001,82,50,32,0.61,48.3,99.3,38.7,84.0,46.1,4.8,12.8,37.8,17.1,21.4,79.8,12.9,31.2,44.2,24.3,13.4,6.4,5.2,5.0,21.2,0.1,3.4,62.8,1.82,18.4,104.1,70.3,49.0,3.4,107.5,34.3,91.72,52.9,"7,578",52.4,14.5,53.2
Boston Celtics,2001,82,49,33,0.598,48.4,96.4,34.8,82.1,42.4,8.5,23.7,35.9,18.3,23.9,76.4,10.9,31.3,42.2,21.0,13.6,9.7,3.6,5.8,21.7,0.0,2.2,60.4,1.55,16.4,99.9,69.5,47.6,2.2,102.1,27.2,93.6,50.0,"7,738",48.1,14.4,52.0
Portland Trail Blazers,2001,82,49,33,0.598,48.4,96.6,36.6,81.4,45.0,5.7,16.1,35.4,17.7,23.2,76.3,13.2,29.8,43.0,23.5,14.3,8.6,4.5,5.0,19.7,0.1,3.0,64.1,1.64,18.0,102.6,70.3,48.5,3.3,105.9,34.5,90.55,51.8,"7,482",52.2,15.7,52.8
Seattle SuperSonics,2001,82,45,37,0.549,48.4,97.7,38.2,81.5,46.9,6.0,15.8,37.8,15.4,20.4,75.5,11.8,28.5,40.3,23.5,13.7,8.5,4.4,4.9,21.1,0.1,3.0,61.5,1.71,18.3,104.1,65.6,50.5,3.3,107.3,32.0,90.35,52.2,"7,468",49.0,15.1,54.0
Charlotte Hornets,2001,82,44,38,0.537,48.2,93.9,35.3,80.2,44.0,4.2,12.1,34.8,19.1,25.7,74.5,12.9,30.5,43.5,21.5,14.0,8.0,5.6,5.1,21.3,0.2,1.0,60.8,1.53,16.7,101.8,68.9,46.6,1.2,102.9,33.3,90.93,51.3,"7,480",51.1,15.4,51.3
Orlando Magic,2001,82,44,38,0.537,48.4,100.5,37.6,84.0,44.8,7.6,20.2,37.3,17.6,23.4,75.4,11.5,29.7,41.2,22.0,13.6,8.1,4.7,4.7,20.7,0.1,1.6,58.4,1.61,16.8,104.1,66.5,49.3,1.5,105.6,29.2,94.4,49.7,"7,805",47.7,14.3,53.3
Utah Jazz,2001,82,44,38,0.537,48.4,96.0,35.0,77.7,45.0,3.4,10.3,33.3,22.6,29.6,76.3,13.5,28.6,42.2,24.4,16.5,9.1,6.4,6.7,24.0,0.1,0.9,69.7,1.48,18.4,102.9,68.3,47.2,0.9,103.8,36.2,91.75,53.0,"7,582",52.1,17.8,52.9
Philadelphia 76ers,2001,82,43,39,0.524,48.1,91.0,34.2,78.5,43.6,2.6,8.7,29.9,20.0,25.7,77.9,13.3,30.9,44.2,20.0,15.3,8.6,4.4,5.6,20.1,0.2,1.6,58.4,1.3,15.8,98.7,70.2,45.2,1.8,100.5,34.1,90.32,52.0,"7,424",52.3,16.9,50.7
Indiana Pacers,2001,82,42,40,0.512,48.5,96.8,35.8,80.2,44.6,4.9,14.6,33.9,20.3,26.3,77.2,11.3,31.3,42.7,23.0,15.2,8.0,5.3,5.7,22.9,0.2,0.3,64.2,1.51,17.6,102.4,68.6,47.7,0.4,102.8,30.2,93.13,51.0,"7,721",49.9,16.2,52.7
Toronto Raptors,2001,82,42,40,0.512,48.2,91.4,35.6,82.0,43.4,4.7,13.5,34.9,15.5,20.9,73.9,13.6,28.5,42.1,21.7,14.3,8.4,5.6,4.8,21.6,0.1,-0.4,60.9,1.52,16.9,101.7,67.1,46.3,-0.6,101.1,34.3,90.02,49.6,"7,414",50.3,15.8,50.1
Milwaukee Bucks,2001,82,41,41,0.5,48.5,97.5,37.1,80.2,46.2,7.2,19.3,37.5,16.1,21.5,74.8,10.3,31.2,41.4,22.5,14.1,7.3,4.7,4.4,21.8,0.1,-0.2,60.7,1.6,17.7,105.6,67.9,50.7,-0.3,105.3,28.7,91.51,50.2,"7,591",49.1,15.2,54.4
Los Angeles Clippers,2001,82,39,43,0.476,48.3,95.7,36.2,81.3,44.5,5.0,14.0,35.6,18.3,24.7,73.9,13.2,30.2,43.4,20.9,14.8,6.2,6.6,5.4,19.8,0.1,-0.5,57.7,1.41,16.3,104.7,67.3,47.6,-0.4,104.3,34.9,91.21,49.5,"7,524",51.2,16.1,51.9
Washington Wizards,2001,82,37,45,0.451,48.1,92.8,35.8,81.3,44.1,3.7,9.6,38.8,17.4,22.8,76.5,12.9,29.2,42.0,20.9,13.0,7.0,4.3,5.0,21.5,0.1,-1.4,58.4,1.61,16.6,104.5,68.5,46.4,-1.6,102.9,32.8,89.93,48.6,"7,395",50.4,14.4,50.8
Miami Heat,2001,82,36,46,0.439,48.6,87.2,34.2,77.8,43.9,3.8,11.0,34.7,15.1,20.8,72.4,11.0,31.0,42.0,20.3,14.8,6.7,5.5,4.3,22.5,0.2,-1.5,59.4,1.37,16.5,99.0,71.0,46.3,-1.7,97.3,29.7,88.47,50.1,"7,346",50.5,16.6,50.1
Phoenix Suns,2001,82,36,46,0.439,48.4,95.1,37.8,84.6,44.7,4.4,13.4,32.7,15.2,19.9,76.7,13.1,29.6,42.7,22.4,14.7,8.1,4.9,5.8,21.8,0.1,-0.7,59.3,1.53,17.1,102.6,67.2,47.2,-0.7,101.8,32.7,92.74,48.6,"7,663",49.8,15.7,51.0
