TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%
Chicago Bulls,1996,82,69,13,0.841,48.1,103.1,40.0,84.4,47.3,6.4,17.1,37.3,16.8,22.5,74.7,15.1,30.0,45.1,26.1,13.5,8.7,4.0,3.5,19.7,0.2,10.8,65.4,1.93,19.4,100.7,67.0,51.1,11.8,112.4,37.4,91.5,58.6,"7,522",52.4,14.7,54.7
Utah Jazz,1996,82,64,18,0.78,48.4,103.1,38.2,75.8,50.4,4.1,11.0,37.0,22.7,29.5,76.9,10.8,29.4,40.2,26.8,15.4,9.1,5.1,4.5,24.1,0.2,8.8,70.2,1.75,20.4,102.6,68.7,53.1,9.8,112.4,32.8,91.1,59.0,"7,520",51.8,16.7,58.1
Miami Heat,1996,82,61,21,0.744,48.3,94.8,34.4,76.0,45.3,8.3,22.7,36.4,17.7,24.7,71.9,11.7,29.3,41.0,21.2,15.9,7.9,5.4,4.8,23.4,0.3,5.5,61.5,1.33,16.9,99.2,67.8,50.7,6.0,105.2,32.4,89.54,53.6,"7,393",50.4,17.7,54.6
Houston Rockets,1996,82,57,25,0.695,48.4,100.6,37.0,79.1,46.8,8.2,22.4,36.5,18.3,24.3,75.5,11.3,31.3,42.6,24.5,16.6,8.4,4.2,4.5,19.6,0.2,4.5,66.3,1.47,18.7,102.8,69.2,52.0,4.7,107.5,31.8,92.73,53.6,"7,674",51.4,17.8,56.0
New York Knicks,1996,82,57,25,0.695,48.4,95.4,35.1,75.9,46.3,5.7,15.8,36.3,19.3,25.8,74.8,11.9,30.7,42.5,22.1,17.8,7.7,4.6,3.6,24.8,0.2,3.1,62.8,1.24,17.2,99.5,70.0,50.1,3.4,102.9,32.3,91.84,53.7,"7,598",51.9,19.2,54.6
Seattle SuperSonics,1996,82,57,25,0.695,48.2,100.9,36.5,78.2,46.7,6.8,19.3,35.3,21.0,28.0,75.2,12.3,27.7,40.0,23.5,15.0,11.0,4.7,5.2,22.0,0.2,7.7,64.4,1.57,18.1,101.0,65.7,51.0,8.5,109.6,34.1,91.68,56.2,"7,549",50.0,16.3,55.7
Atlanta Hawks,1996,82,56,26,0.683,48.3,94.8,34.3,76.9,44.6,8.0,22.4,36.0,18.2,23.8,76.3,12.5,28.7,41.1,19.0,15.0,8.5,5.2,4.0,19.4,0.1,5.4,55.4,1.27,15.5,100.3,67.0,49.8,6.2,106.4,33.4,88.54,53.9,"7,304",50.5,16.8,54.2
Los Angeles Lakers,1996,82,56,26,0.683,48.6,100.0,36.8,81.0,45.4,6.7,18.3,36.7,19.7,28.4,69.2,13.3,29.4,42.8,22.5,14.9,9.0,7.0,4.7,22.2,0.1,4.3,61.1,1.51,17.0,102.3,65.8,49.6,4.2,106.4,34.3,92.61,53.0,"7,705",50.1,15.9,53.5
Charlotte Hornets,1996,82,54,28,0.659,48.3,98.9,36.4,77.3,47.1,7.2,16.9,42.8,18.8,24.2,77.7,11.1,28.0,39.1,24.6,14.7,7.3,4.3,4.1,20.8,0.2,1.9,67.6,1.68,19.2,107.1,66.1,51.8,2.1,109.1,31.6,90.04,52.8,"7,429",49.5,16.2,56.2
Detroit Pistons,1996,82,54,28,0.659,48.4,94.2,34.5,74.3,46.4,7.1,18.3,38.8,18.1,24.3,74.5,10.5,28.0,38.4,19.0,12.7,7.7,3.5,3.4,20.1,0.2,5.2,55.0,1.49,16.1,102.6,67.5,51.2,5.9,108.5,30.2,86.09,53.0,"7,120",49.2,14.6,55.4
Portland Trail Blazers,1996,82,49,33,0.598,48.4,99.0,36.6,78.8,46.4,6.1,17.1,35.8,19.7,27.6,71.3,12.9,30.4,43.3,20.8,16.5,7.8,5.3,5.2,23.5,0.2,4.2,57.0,1.26,16.1,102.1,69.1,50.3,4.2,106.3,35.8,92.17,52.7,"7,635",52.7,17.8,54.4
Orlando Magic,1996,82,45,37,0.549,48.4,94.1,34.6,79.2,43.7,6.9,20.3,34.1,18.0,24.1,74.6,13.1,27.1,40.1,20.6,15.2,8.5,4.4,5.1,20.0,0.1,-0.4,59.5,1.35,16.3,104.2,65.1,48.1,-0.5,103.8,33.6,89.88,48.6,"7,438",49.0,16.8,52.4
Washington Bullets,1996,82,44,38,0.537,48.4,99.4,39.1,81.4,48.0,4.0,12.2,33.1,17.1,24.1,70.7,12.3,29.5,41.8,23.4,15.7,8.7,4.9,4.1,22.1,0.2,1.6,59.9,1.49,17.7,103.7,67.6,50.5,1.5,105.2,32.6,93.52,52.5,"7,746",50.3,16.7,54.0
Cleveland Cavaliers,1996,82,42,40,0.512,48.4,87.5,33.0,72.8,45.3,5.9,15.7,37.6,15.6,21.6,72.3,11.1,26.3,37.4,20.9,14.5,8.0,3.8,4.3,23.0,0.2,1.8,63.4,1.44,17.5,100.8,68.1,49.3,1.9,102.7,32.2,84.31,51.2,"6,983",49.9,17.0,53.1
Minnesota Timberwolves,1996,82,40,42,0.488,48.2,96.1,35.8,78.5,45.6,4.5,13.3,33.9,20.0,26.6,75.1,11.7,28.1,39.7,22.9,15.2,7.5,6.8,5.4,22.2,0.2,-1.5,63.8,1.51,17.7,105.5,64.9,48.5,-1.7,103.9,32.3,92.04,50.1,"7,588",48.8,16.4,53.3
Phoenix Suns,1996,82,40,42,0.488,48.4,102.8,38.3,81.8,46.9,6.4,17.4,36.9,19.7,25.9,76.1,11.2,29.0,40.1,25.2,14.4,8.1,3.9,4.5,21.1,0.1,0.7,65.8,1.75,18.9,107.1,66.3,50.8,0.9,108.0,29.7,94.46,50.9,"7,808",48.2,15.1,55.2
Indiana Pacers,1996,82,39,43,0.476,48.6,95.4,34.8,76.3,45.6,5.2,13.8,38.1,20.6,28.5,72.2,12.5,29.1,41.7,21.3,16.3,7.1,4.8,5.1,24.1,0.3,1.0,61.4,1.31,16.8,102.9,66.8,49.0,1.3,104.2,33.8,90.44,50.4,"7,501",50.6,17.8,53.7
Los Angeles Clippers,1996,82,36,46,0.439,48.6,97.2,36.5,81.7,44.6,5.8,16.3,35.4,18.5,25.3,73.1,13.3,27.3,40.7,20.3,16.0,8.9,5.4,5.1,24.0,0.1,-2.4,55.6,1.27,15.6,106.2,65.4,48.2,-2.8,103.5,33.9,92.65,47.5,"7,703",49.2,17.0,52.4
