,TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%,W_RANK,L_RANK,OFFRTG_RANK,DEFRTG_RANK,NETRTG_RANK,AST%_RANK,AST/TO_RANK,AST_RATIO_RANK,OREB%_RANK,DREB%_RANK,REB%_RANK,TOV%_RANK,EFG%_RANK,TS%_RANK,PACE_RANK,PIE_RANK,WIN%_RANK,PTS_RANK,FGM_RANK,FGA_RANK,FG%_RANK,3PM_RANK,3PA_RANK,3P%_RANK,FTM_RANK,FTA_RANK,FT%_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,+/-_RANK
0,Houston Rockets,2017,82,65,17,0.793,48.2,112.4,38.7,84.2,46.0,15.3,42.3,36.2,19.6,25.1,78.1,9.0,34.5,43.5,21.5,13.8,8.5,4.8,4.4,19.5,20.4,8.5,55.7,1.56,16.4,105.7,75.0,55.1,8.4,114.1,25.4,98.02,53.1,"8,078",50.3,14.1,59.0,1,30,1,24,1,22,21,26,23,4,13,20,2,2,13,5,1,2,22,27,15,1,1,13,2,3,9,23,10,17,26,19,5,14,25,18,10,1
1,Toronto Raptors,2017,82,59,23,0.72,48.4,111.7,41.3,87.4,47.2,11.8,33.0,35.8,17.3,21.8,79.4,9.8,34.2,44.0,24.3,13.4,7.6,6.1,4.9,21.7,19.9,7.8,59.0,1.82,17.9,105.3,72.5,53.9,7.7,113.0,27.4,98.02,53.8,"8,104",50.2,13.5,57.5,2,29,2,26,2,11,3,6,11,20,15,27,5,4,14,3,2,3,3,6,6,4,3,18,9,13,4,14,11,13,6,24,17,2,11,4,16,2
2,Golden State Warriors,2017,82,58,24,0.707,48.1,113.5,42.8,85.1,50.3,11.3,28.9,39.1,16.6,20.3,81.5,8.4,35.1,43.5,29.3,15.4,8.0,7.5,3.7,19.6,18.5,6.0,68.5,1.9,20.9,106.8,71.2,56.9,5.9,112.8,24.3,100.35,55.4,"8,251",49.7,15.3,60.3,3,28,3,20,3,1,1,1,27,29,19,6,1,1,5,1,3,1,1,24,1,8,16,1,16,22,1,28,6,18,1,5,8,1,30,15,25,3
3,Boston Celtics,2017,82,55,27,0.671,48.3,104.0,38.3,85.1,45.0,11.5,30.4,37.7,16.0,20.7,77.1,9.4,35.1,44.5,22.5,14.0,7.4,4.5,4.4,19.7,19.2,3.6,58.6,1.6,17.0,103.2,73.9,51.8,3.6,106.8,26.3,96.75,51.9,"7,987",50.4,14.4,55.2,4,27,18,29,7,12,17,19,18,10,10,16,15,14,22,8,4,20,25,25,21,6,10,2,21,20,17,20,7,7,20,16,23,18,26,14,22,6
4,Philadelphia 76ers,2017,82,52,30,0.634,48.2,109.8,40.8,86.6,47.2,11.0,29.8,36.9,17.1,22.8,75.2,10.9,36.5,47.4,27.1,16.5,8.3,5.1,5.1,22.1,20.4,4.5,66.3,1.64,19.1,103.9,73.6,53.5,4.6,108.5,28.6,100.75,54.2,"8,299",52.0,16.3,56.8,5,26,11,28,4,2,15,2,5,11,1,1,7,8,4,2,5,7,5,12,7,10,12,8,11,10,23,3,1,1,2,1,7,8,8,2,11,4
5,Cleveland Cavaliers,2017,82,50,32,0.61,48.1,110.9,40.4,84.8,47.6,12.0,32.1,37.2,18.1,23.3,77.9,8.5,33.7,42.1,23.4,13.7,7.1,3.8,4.1,18.6,20.7,0.9,57.9,1.7,17.5,111.1,73.0,54.7,1.0,112.0,24.3,98.72,50.2,"8,114",49.2,13.9,58.4,6,25,5,2,14,20,8,9,28,16,24,22,3,3,9,16,6,5,10,26,4,3,5,6,6,8,10,27,16,23,11,21,24,28,28,26,6,14
6,Portland Trail Blazers,2017,82,49,33,0.598,48.2,105.6,39.3,87.0,45.2,10.3,28.1,36.6,16.7,20.9,80.0,10.2,35.3,45.5,19.5,13.5,7.0,5.2,5.1,19.5,19.1,2.6,49.6,1.44,15.0,105.7,74.6,51.1,2.7,108.4,27.9,97.11,51.0,"7,992",51.3,13.9,54.9,7,24,14,25,9,30,28,30,7,6,4,23,23,17,19,11,7,16,15,8,19,16,19,11,15,17,3,9,5,3,30,23,25,7,9,19,23,9
7,Indiana Pacers,2017,82,48,34,0.585,48.2,105.6,40.8,86.4,47.2,9.0,24.5,36.9,14.9,19.2,77.9,9.6,32.7,42.3,22.2,13.3,8.8,4.1,5.2,18.8,18.5,1.4,54.4,1.67,16.8,107.3,72.1,52.5,1.3,108.5,27.1,96.84,50.9,"7,977",49.6,13.6,55.7,8,20,12,18,12,28,14,22,13,23,20,26,11,13,21,12,8,17,6,14,8,25,26,9,24,26,11,16,25,22,23,26,2,25,6,24,26,12
8,New Orleans Pelicans,2017,82,48,34,0.585,48.7,111.7,42.7,88.3,48.3,10.2,28.2,36.2,16.1,20.9,77.2,8.7,35.6,44.3,26.8,14.9,8.0,5.9,4.2,19.1,20.4,1.3,62.7,1.79,19.0,107.4,72.6,54.1,1.1,108.5,24.0,101.48,52.5,"8,443",49.4,14.5,57.3,9,21,13,17,13,4,5,3,29,19,21,15,4,5,1,6,9,4,2,3,2,18,18,14,19,18,13,26,3,10,3,9,9,3,27,23,12,13
9,Oklahoma City Thunder,2017,82,48,34,0.585,48.4,107.9,39.9,88.1,45.3,10.7,30.4,35.4,17.3,24.2,71.6,12.5,32.6,45.1,21.3,14.0,9.1,5.0,4.6,20.2,21.3,3.4,53.5,1.53,15.8,106.4,72.5,51.4,3.7,110.1,32.0,97.34,50.8,"8,036",51.5,14.3,54.6,10,22,7,22,6,29,23,28,1,21,3,17,17,21,18,14,10,12,12,4,18,15,11,23,10,4,29,1,26,5,28,17,1,11,20,10,3,7
10,Utah Jazz,2017,82,48,34,0.585,48.2,104.1,38.3,82.9,46.2,10.8,29.6,36.6,16.8,21.5,77.9,9.0,34.2,43.3,22.4,14.7,8.6,5.1,4.6,19.6,20.5,4.3,58.6,1.53,17.1,103.0,75.6,52.7,4.4,107.4,25.6,96.58,53.2,"7,951",50.9,15.2,56.4,11,23,16,30,5,13,24,16,21,3,6,7,9,10,25,4,11,19,26,29,13,13,13,12,13,15,12,24,12,20,21,10,4,9,21,16,8,5
11,Minnesota Timberwolves,2017,82,47,35,0.573,48.3,109.5,41.0,86.1,47.6,8.0,22.5,35.7,19.4,24.1,80.4,10.3,31.6,42.0,22.7,12.5,8.4,4.2,4.7,18.2,20.9,2.2,55.3,1.82,17.0,110.2,72.0,52.3,2.3,112.5,28.9,96.75,51.8,"7,985",50.3,12.8,56.6,12,18,4,6,10,26,4,20,3,25,14,28,13,9,23,9,12,8,4,15,5,30,30,19,3,5,2,7,27,24,17,29,6,23,16,28,4,10
12,San Antonio Spurs,2017,82,47,35,0.573,48.1,102.7,39.0,85.4,45.7,8.5,24.1,35.2,16.1,20.9,77.2,10.4,33.9,44.2,22.8,13.1,7.7,5.6,3.9,17.2,19.7,2.9,58.3,1.73,17.3,104.1,74.1,50.7,3.0,107.1,27.7,95.7,52.5,"7,867",50.8,13.7,54.3,13,19,17,27,8,18,6,11,9,7,8,25,26,25,28,7,13,27,17,21,16,28,27,25,20,19,14,6,14,11,15,27,13,4,29,29,18,8
