,TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%,W_RANK,L_RANK,OFFRTG_RANK,DEFRTG_RANK,NETRTG_RANK,AST%_RANK,AST/TO_RANK,AST_RATIO_RANK,OREB%_RANK,DREB%_RANK,REB%_RANK,TOV%_RANK,EFG%_RANK,TS%_RANK,PACE_RANK,PIE_RANK,WIN%_RANK,PTS_RANK,FGM_RANK,FGA_RANK,FG%_RANK,3PM_RANK,3PA_RANK,3P%_RANK,FTM_RANK,FTA_RANK,FT%_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,+/-_RANK
0,Golden State Warriors,2016,82,67,15,0.817,48.2,115.9,43.1,87.1,49.5,12.0,31.2,38.3,17.8,22.6,78.8,9.4,35.0,44.4,30.4,14.8,9.6,6.8,3.8,19.3,19.4,11.6,70.5,2.06,21.2,103.4,70.9,56.3,11.4,114.8,27.2,100.37,57.9,"8,279",50.4,14.6,59.7,1,30,1,29,1,1,1,1,17,26,10,11,1,1,4,1,1,1,1,8,1,3,5,3,17,17,9,19,3,7,1,9,1,1,27,19,21,1
1,San Antonio Spurs,2016,82,61,21,0.744,48.3,105.3,39.3,83.7,46.9,9.2,23.5,39.1,17.6,22.0,79.7,10.0,33.9,43.9,23.8,13.4,8.0,5.9,4.1,18.3,19.8,7.2,60.6,1.77,18.1,102.9,73.0,52.4,7.4,110.3,28.2,94.86,55.1,"7,832",51.1,14.1,56.4,2,29,9,30,2,9,5,5,13,10,6,16,10,8,27,2,2,14,13,24,6,16,25,1,18,24,7,16,12,10,7,20,11,2,25,24,16,2
2,Houston Rockets,2016,82,55,27,0.671,48.2,115.3,40.3,87.2,46.2,14.4,40.3,35.7,20.3,26.5,76.6,10.9,33.5,44.4,25.2,15.1,8.2,4.3,5.0,19.9,20.4,5.8,62.6,1.67,18.1,108.4,71.7,54.5,5.7,114.1,28.1,100.55,51.6,"8,289",49.9,15.0,58.3,3,28,2,13,3,4,13,6,15,18,16,8,3,2,3,5,3,2,4,7,12,1,1,15,2,1,20,9,14,8,3,6,5,20,12,16,8,3
3,Boston Celtics,2016,82,53,29,0.646,48.2,108.0,38.6,85.1,45.4,12.0,33.4,35.9,18.7,23.2,80.7,9.1,32.9,42.0,25.2,13.3,7.5,4.1,5.2,20.6,20.3,2.6,65.3,1.9,18.8,108.0,70.5,52.5,2.6,110.6,25.9,97.21,51.4,"8,005",48.5,13.6,56.7,4,27,7,17,8,2,3,2,23,29,27,24,9,6,13,7,4,7,20,18,16,4,3,14,9,15,3,22,22,26,4,22,18,23,8,10,10,8
4,Cleveland Cavaliers,2016,82,51,31,0.622,48.5,110.3,39.9,84.9,47.0,13.0,33.9,38.4,17.5,23.3,74.8,9.3,34.4,43.7,22.7,13.7,6.6,4.0,4.3,18.1,20.6,3.2,56.7,1.66,17.1,109.7,72.2,54.7,3.1,112.8,26.4,96.74,51.0,"8,019",49.9,14.0,58.0,5,23,3,10,7,20,15,15,21,14,17,18,2,3,16,9,5,4,5,19,5,2,2,2,19,13,23,21,7,12,13,16,30,25,23,27,6,7
5,LA Clippers,2016,82,51,31,0.622,48.2,108.7,39.5,83.2,47.5,10.3,27.4,37.5,19.3,26.0,74.5,9.0,34.0,43.0,22.5,13.0,7.5,4.2,3.1,19.8,22.4,4.3,57.0,1.74,17.2,107.5,73.3,53.7,4.4,111.8,25.6,96.77,52.7,"7,968",50.1,13.3,57.4,6,24,5,19,4,19,8,13,25,6,13,25,4,4,15,4,6,6,9,26,2,9,11,6,6,3,26,23,11,21,15,24,19,21,30,17,1,4
6,Toronto Raptors,2016,82,51,31,0.622,48.2,106.9,39.2,84.4,46.4,8.8,24.3,36.3,19.7,24.7,79.6,10.6,32.6,43.3,18.5,12.7,8.3,4.9,4.8,20.8,20.3,4.2,47.2,1.46,14.5,107.1,71.7,51.7,4.3,111.4,29.1,95.41,51.6,"7,867",50.5,13.2,56.1,7,25,6,20,5,30,25,29,8,19,9,26,12,11,25,6,7,10,16,21,11,21,22,13,3,6,8,11,23,18,30,27,4,12,18,8,11,5
7,Utah Jazz,2016,82,51,31,0.622,48.2,100.7,37.0,79.5,46.6,9.6,26.0,37.2,17.1,22.9,74.7,9.4,33.8,43.2,20.1,13.6,6.7,5.0,3.8,18.8,20.2,3.9,54.4,1.48,16.2,104.7,74.3,52.6,4.3,109.0,27.0,92.09,53.4,"7,579",51.4,14.8,56.3,8,26,12,28,6,23,24,23,18,4,5,10,8,10,30,3,8,28,28,30,9,13,17,8,22,16,24,20,13,19,28,18,29,8,28,23,12,6
8,Washington Wizards,2016,82,49,33,0.598,48.4,109.2,41.3,87.0,47.5,9.2,24.8,37.2,17.3,22.1,78.4,10.3,32.6,42.9,23.9,14.2,8.5,4.1,4.6,21.3,19.8,1.8,57.7,1.68,17.6,108.8,71.6,52.8,1.7,110.4,28.6,97.94,51.1,"8,109",50.1,14.3,56.4,9,22,8,11,9,16,12,8,9,22,14,14,6,9,10,8,9,5,2,10,3,17,20,9,20,22,12,13,24,22,6,11,2,24,19,4,17,9
9,Oklahoma City Thunder,2016,82,47,35,0.573,48.3,106.6,39.5,87.4,45.2,8.4,25.8,32.7,19.2,25.8,74.5,12.2,34.4,46.6,21.0,15.0,7.9,5.0,5.5,20.9,20.7,0.8,53.2,1.4,15.5,107.1,74.2,50.0,0.8,107.9,32.3,98.18,49.9,"8,099",52.8,15.2,54.0,10,21,15,21,11,26,27,28,1,5,2,5,24,21,9,19,10,11,10,5,17,26,18,30,8,4,27,1,8,1,25,7,14,9,2,7,5,11
