,TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%,W_RANK,L_RANK,OFFRTG_RANK,DEFRTG_RANK,NETRTG_RANK,AST%_RANK,AST/TO_RANK,AST_RATIO_RANK,OREB%_RANK,DREB%_RANK,REB%_RANK,TOV%_RANK,EFG%_RANK,TS%_RANK,PACE_RANK,PIE_RANK,WIN%_RANK,PTS_RANK,FGM_RANK,FGA_RANK,FG%_RANK,3PM_RANK,3PA_RANK,3P%_RANK,FTM_RANK,FTA_RANK,FT%_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,+/-_RANK
0,San Antonio Spurs,2013,82,62,20,0.756,48.2,105.4,40.6,83.5,48.6,8.5,21.4,39.7,15.7,20.0,78.5,9.3,34.0,43.3,25.2,14.4,7.4,5.1,4.6,18.2,19.3,7.7,62.1,1.75,19.0,101.4,72.5,53.7,8.1,109.5,26.1,95.87,55.5,"7,887",50.3,15.0,57.1,1,30,5,27,1,5,3,1,26,2,15,21,2,2,11,1,1,6,1,12,2,12,16,1,27,30,4,26,4,12,1,20,20,8,16,29,25,1
1,Oklahoma City Thunder,2013,82,59,23,0.72,48.3,106.2,39.0,82.7,47.1,8.1,22.4,36.1,20.2,25.0,80.6,10.8,33.9,44.7,21.9,15.3,8.3,6.1,3.6,22.7,20.4,6.3,56.2,1.43,16.6,103.0,72.2,52.0,6.4,109.4,29.4,96.33,54.3,"7,954",51.8,15.8,56.6,2,29,7,26,3,25,20,15,17,5,2,11,6,5,9,4,2,5,6,14,6,14,14,14,5,8,2,18,6,6,13,5,9,2,26,3,16,3
2,Los Angeles Clippers,2013,82,57,25,0.695,48.2,107.9,39.1,82.5,47.4,8.5,24.0,35.2,21.2,29.1,73.0,10.5,32.5,43.0,24.6,13.9,8.6,4.8,3.5,21.5,23.4,7.0,62.8,1.77,18.3,104.0,69.0,52.6,7.3,111.3,28.8,96.66,54.8,"7,954",49.6,14.3,56.7,3,28,1,22,2,4,1,3,20,25,21,25,4,4,8,2,3,1,4,16,3,13,8,22,3,2,26,21,10,13,3,23,4,12,27,11,3,2
3,Indiana Pacers,2013,82,56,26,0.683,48.2,96.7,36.0,80.2,44.9,6.7,18.8,35.7,18.1,23.3,77.9,10.2,34.5,44.7,20.1,15.1,6.7,5.4,4.6,20.4,21.9,4.4,56.0,1.33,15.9,98.9,72.1,49.0,4.7,103.6,29.6,92.89,54.5,"7,656",51.7,16.2,53.5,4,27,21,30,6,26,26,27,16,6,5,4,19,18,23,3,4,24,26,27,16,22,25,17,12,15,7,22,1,7,27,10,27,5,17,16,6,7
4,Houston Rockets,2013,82,54,28,0.659,48.4,107.7,38.0,80.5,47.2,9.5,26.6,35.8,22.1,31.1,71.2,11.2,34.1,45.3,21.4,16.1,7.6,5.6,5.6,20.4,24.3,4.6,56.3,1.33,16.1,105.2,70.0,53.1,4.6,109.8,30.6,97.27,53.4,"8,040",51.3,16.5,57.1,5,24,4,18,7,23,27,23,12,20,7,2,3,3,6,6,5,2,15,26,5,1,1,15,1,1,28,15,3,4,18,2,17,3,4,17,1,6
5,Miami Heat,2013,82,54,28,0.659,48.5,102.2,38.3,76.5,50.1,8.1,22.3,36.4,17.5,23.0,76.0,7.6,29.2,36.9,22.5,14.8,8.9,4.5,3.1,19.5,20.4,4.8,58.8,1.52,18.1,105.0,68.6,55.4,5.1,110.0,24.4,91.9,53.9,"7,615",47.6,15.9,59.0,6,25,3,20,4,13,14,4,29,26,28,8,1,1,27,5,6,12,12,30,1,15,15,12,15,17,14,30,30,30,11,15,2,18,30,23,17,4
6,Portland Trail Blazers,2013,82,54,28,0.659,48.4,106.7,39.1,87.0,45.0,9.4,25.3,37.2,19.1,23.5,81.5,12.5,34.0,46.4,23.2,13.7,5.5,4.7,3.7,19.2,20.7,4.0,59.4,1.69,17.2,106.2,71.3,50.4,4.2,110.4,32.0,95.9,52.4,"7,930",51.7,14.2,54.8,7,26,2,15,8,11,6,11,4,11,6,26,14,11,10,9,7,4,5,3,14,2,3,7,7,13,1,2,5,1,9,26,30,14,25,24,12,8
7,Golden State Warriors,2013,82,51,31,0.622,48.4,104.3,39.5,85.4,46.2,9.4,24.8,38.0,15.9,21.1,75.3,10.9,34.4,45.3,23.3,15.2,7.8,5.0,4.2,21.8,19.3,4.8,59.1,1.53,17.4,101.4,72.4,51.7,4.9,106.3,28.4,97.37,52.8,"8,045",50.8,15.5,55.0,8,23,12,28,5,12,13,9,22,4,9,15,8,10,5,7,8,10,3,6,9,3,6,4,25,23,18,17,2,5,7,8,13,10,21,9,26,5
8,Memphis Grizzlies,2013,82,50,32,0.61,48.3,96.1,38.1,82.0,46.4,4.9,14.0,35.3,15.1,20.3,74.1,11.6,30.8,42.4,21.9,13.7,7.7,4.6,5.0,19.1,18.9,1.6,57.4,1.59,17.1,103.8,71.8,49.4,1.7,105.5,32.6,90.58,51.8,"7,476",52.1,15.0,52.9,9,22,14,23,14,19,9,12,2,8,1,22,18,21,30,12,9,27,14,22,7,30,30,19,30,29,23,9,21,19,14,27,14,15,11,26,29,14
9,Dallas Mavericks,2013,82,49,33,0.598,48.4,104.8,39.6,83.6,47.4,8.8,22.9,38.4,16.8,21.1,79.5,10.2,30.7,40.9,23.6,13.5,8.6,4.3,3.5,20.0,19.9,2.4,59.6,1.74,18.0,107.2,69.4,52.6,2.3,109.5,27.6,94.94,52.1,"7,852",48.7,14.1,56.4,10,21,6,10,12,9,4,6,23,22,25,27,5,6,15,10,10,8,2,11,4,8,12,2,20,24,3,23,23,26,6,28,5,21,28,20,21,12
10,Chicago Bulls,2013,82,48,34,0.585,48.6,93.7,34.7,80.2,43.2,6.2,17.8,34.8,18.1,23.3,77.9,11.4,32.7,44.1,22.7,14.9,7.2,5.2,6.0,19.1,20.9,1.9,65.4,1.52,17.6,99.9,71.3,47.1,1.9,101.7,32.1,90.84,52.8,"7,549",51.8,16.2,51.8,11,18,28,29,13,2,15,7,3,12,3,5,30,26,29,8,11,30,30,28,30,26,28,24,13,16,8,11,9,10,10,13,21,7,3,27,9,13
11,Phoenix Suns,2013,82,48,34,0.585,48.2,105.2,38.7,83.5,46.3,9.3,25.1,37.2,18.5,24.4,75.8,11.3,31.7,43.0,19.1,15.3,8.4,4.6,4.0,21.9,21.3,2.6,49.3,1.24,14.7,105.6,69.9,51.9,2.6,108.2,29.8,96.83,50.9,"7,973",50.0,15.8,55.8,12,19,8,17,10,30,29,29,14,21,16,12,7,7,7,14,12,7,9,13,8,6,4,8,9,9,16,14,16,14,29,6,7,16,23,8,8,11
12,Toronto Raptors,2013,82,48,34,0.585,48.7,101.3,36.5,81.9,44.5,8.7,23.4,37.2,19.6,25.1,78.2,11.4,31.1,42.5,21.2,14.1,7.0,4.2,4.3,23.0,22.1,3.2,58.1,1.5,16.4,104.6,70.1,49.8,3.3,107.9,31.2,92.48,51.2,"7,696",50.5,15.1,54.5,13,20,9,21,9,16,16,18,9,19,12,20,15,12,24,13,13,13,23,23,21,9,10,9,6,7,5,12,20,17,20,22,25,23,19,1,5,9
13,Brooklyn Nets,2013,82,44,38,0.537,48.5,98.5,35.7,77.9,45.9,8.6,23.4,36.9,18.4,24.4,75.3,8.8,29.4,38.1,20.9,14.5,8.6,3.8,4.1,21.7,20.8,-1.0,58.5,1.44,16.7,106.7,68.6,51.4,-1.3,105.4,26.0,92.42,49.2,"7,663",47.5,15.5,55.5,14,16,15,12,19,14,18,14,27,27,29,16,10,8,25,18,14,21,29,29,10,10,11,11,10,10,19,28,28,29,24,18,6,28,22,10,11,19
