TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%
Miami Heat,2012,82,66,16,0.805,48.5,102.9,38.4,77.4,49.6,8.7,22.1,39.6,17.4,23.0,75.4,8.2,30.4,38.6,23.0,13.9,8.7,5.4,3.2,18.7,20.4,7.9,60.0,1.65,18.4,103.2,67.8,55.2,8.2,111.4,26.4,91.26,56.4,"7,572",48.5,15.1,58.8
Oklahoma City Thunder,2012,82,60,22,0.732,48.4,105.7,38.1,79.3,48.1,7.3,19.4,37.7,22.2,26.8,82.8,10.4,33.2,43.6,21.4,15.3,8.3,7.6,3.9,20.2,20.7,9.2,56.1,1.4,16.6,101.2,70.2,52.7,9.9,111.0,29.1,94.58,57.0,"7,808",51.3,16.0,58.0
San Antonio Spurs,2012,82,58,24,0.707,48.5,103.0,39.1,81.4,48.1,8.1,21.5,37.6,16.6,21.0,79.1,8.1,33.2,41.3,25.1,14.7,8.5,5.4,4.9,17.4,19.1,6.4,64.1,1.71,19.1,100.3,71.5,53.1,6.7,107.0,24.3,95.31,55.1,"7,892",49.3,15.3,56.8
Denver Nuggets,2012,82,57,25,0.695,48.5,106.1,40.7,85.2,47.8,6.4,18.5,34.3,18.4,26.2,70.1,13.3,31.7,45.0,24.4,15.3,9.3,6.5,6.8,20.5,21.6,5.1,60.0,1.6,17.8,104.2,67.5,51.5,5.1,109.3,34.5,95.92,53.8,"7,960",51.3,15.7,54.9
Los Angeles Clippers,2012,82,56,26,0.683,48.1,101.1,38.5,80.6,47.8,7.6,21.4,35.8,16.4,23.0,71.1,11.4,30.2,41.6,23.9,14.6,9.6,5.6,4.1,20.9,20.9,6.5,62.0,1.64,18.4,102.8,69.7,52.6,6.9,109.8,32.3,91.83,54.8,"7,552",51.2,15.9,55.7
Memphis Grizzlies,2012,82,56,26,0.683,48.3,93.4,36.1,81.5,44.4,4.7,13.5,34.5,16.5,21.3,77.3,12.9,29.8,42.7,20.9,14.0,8.6,5.3,5.5,20.2,20.0,4.1,57.9,1.5,16.5,99.1,70.2,47.2,4.5,103.6,34.4,89.56,53.1,"7,394",52.0,15.5,51.4
New York Knicks,2012,82,54,28,0.659,48.1,100.0,36.5,81.6,44.8,10.9,28.9,37.6,16.0,21.1,75.9,10.9,29.7,40.6,19.3,12.0,8.2,3.6,4.0,20.1,19.2,4.2,52.7,1.6,15.6,105.4,70.8,51.5,4.5,109.8,29.1,90.68,51.2,"7,462",49.4,13.2,55.0
Brooklyn Nets,2012,82,49,33,0.598,48.4,96.9,35.9,79.8,45.0,7.7,21.5,35.7,17.5,23.9,73.1,12.8,30.0,42.8,20.3,14.7,7.3,4.8,4.8,18.3,21.4,1.8,56.7,1.38,16.1,104.8,70.1,49.8,2.0,106.9,34.3,89.88,50.9,"7,433",52.0,16.2,53.6
Indiana Pacers,2012,81,49,32,0.605,48.4,94.7,35.1,80.6,43.6,6.9,19.7,34.7,17.6,23.6,74.6,12.9,33.0,45.9,20.3,15.1,7.2,6.3,5.7,20.0,21.9,4.0,57.8,1.34,16.0,99.0,70.1,47.9,4.4,103.4,33.6,90.9,53.7,"7,420",52.2,16.5,52.1
Golden State Warriors,2012,82,47,35,0.573,48.3,101.2,38.2,83.4,45.8,8.0,19.9,40.3,16.8,21.3,79.0,10.8,34.2,45.0,22.5,15.1,6.9,4.2,4.9,21.4,19.2,0.9,58.9,1.49,17.1,104.2,71.2,50.6,0.9,105.1,28.5,95.64,50.2,"7,893",50.6,15.7,54.5
Chicago Bulls,2012,82,45,37,0.549,48.4,93.2,35.7,81.7,43.7,5.4,15.4,35.3,16.4,21.2,77.3,12.5,30.7,43.2,23.0,14.3,7.2,5.1,5.8,19.7,19.6,0.3,64.5,1.61,17.8,101.9,69.9,47.0,0.5,102.4,33.2,90.35,51.4,"7,460",51.4,15.7,51.2
Houston Rockets,2012,82,45,37,0.549,48.2,106.0,38.1,82.7,46.1,10.6,28.9,36.6,19.2,25.5,75.4,11.1,32.3,43.4,23.2,16.4,8.3,4.4,6.1,20.3,20.4,3.5,60.9,1.41,17.3,105.3,71.0,52.5,3.5,108.8,30.5,96.89,51.0,"7,988",50.9,16.9,56.4
Los Angeles Lakers,2012,82,45,37,0.549,48.2,102.2,37.1,81.0,45.8,8.7,24.6,35.5,19.3,27.9,69.2,11.5,33.3,44.8,22.2,15.0,7.0,5.2,4.8,17.9,23.1,1.2,59.8,1.48,16.8,105.9,70.2,51.2,1.1,107.0,30.9,95.08,51.3,"7,830",51.0,15.7,54.8
Atlanta Hawks,2012,82,44,38,0.537,48.4,98.0,37.6,81.0,46.4,8.6,23.2,37.1,14.1,19.7,71.5,9.2,31.6,40.9,24.5,14.9,8.1,4.5,4.3,18.0,18.8,0.4,65.1,1.65,18.8,103.4,70.1,51.7,0.3,103.7,25.4,93.56,50.9,"7,744",48.2,15.7,54.6
