,TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%,W_RANK,L_RANK,OFFRTG_RANK,DEFRTG_RANK,NETRTG_RANK,AST%_RANK,AST/TO_RANK,AST_RATIO_RANK,OREB%_RANK,DREB%_RANK,REB%_RANK,TOV%_RANK,EFG%_RANK,TS%_RANK,PACE_RANK,PIE_RANK,WIN%_RANK,PTS_RANK,FGM_RANK,FGA_RANK,FG%_RANK,3PM_RANK,3PA_RANK,3P%_RANK,FTM_RANK,FTA_RANK,FT%_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,+/-_RANK
0,Chicago Bulls,1996,82,69,13,0.841,48.1,103.1,40.0,84.4,47.3,6.4,17.1,37.3,16.8,22.5,74.7,15.1,30.0,45.1,26.1,13.5,8.7,4.0,3.5,19.7,0.2,10.8,65.4,1.93,19.4,100.7,67.0,51.1,11.8,112.4,37.4,91.5,58.6,"7,522",52.4,14.7,54.7,1,29,1,26,1,6,1,2,2,9,2,28,5,7,17,2,1,1,1,3,3,11,11,6,26,27,12,3,4,2,2,28,7,25,28,27,4,1
1,Utah Jazz,1996,82,64,18,0.78,48.4,103.1,38.2,75.8,50.4,4.1,11.0,37.0,22.7,29.5,76.9,10.8,29.4,40.2,26.8,15.4,9.1,5.1,4.5,24.1,0.2,8.8,70.2,1.75,20.4,102.6,68.7,53.1,9.8,112.4,32.8,91.1,59.0,"7,520",51.8,16.7,58.1,2,28,2,20,2,1,2,1,18,4,4,19,1,1,18,1,2,2,4,27,1,27,29,8,1,2,3,28,7,18,1,18,3,12,20,2,5,2
2,Miami Heat,1996,82,61,21,0.744,48.3,94.8,34.4,76.0,45.3,8.3,22.7,36.4,17.7,24.7,71.9,11.7,29.3,41.0,21.2,15.9,7.9,5.4,4.8,23.4,0.3,5.5,61.5,1.33,16.9,99.2,67.8,50.7,6.0,105.2,32.4,89.54,53.6,"7,393",50.4,17.7,54.6,3,27,12,29,5,12,19,14,21,6,9,7,8,8,25,6,3,22,25,25,17,1,1,12,22,16,23,21,9,14,17,13,18,7,16,7,2,4
3,Houston Rockets,1996,82,57,25,0.695,48.4,100.6,37.0,79.1,46.8,8.2,22.4,36.5,18.3,24.3,75.5,11.3,31.3,42.6,24.5,16.6,8.4,4.2,4.5,19.6,0.2,4.5,66.3,1.47,18.7,102.8,69.2,52.0,4.7,107.5,31.8,92.73,53.6,"7,674",51.4,17.8,56.0,4,24,7,19,7,3,10,5,26,2,5,4,2,3,8,7,4,5,6,14,7,2,2,11,16,18,7,24,1,6,5,4,11,23,21,28,6,7
4,New York Knicks,1996,82,57,25,0.695,48.4,95.4,35.1,75.9,46.3,5.7,15.8,36.3,19.3,25.8,74.8,11.9,30.7,42.5,22.1,17.8,7.7,4.6,3.6,24.8,0.2,3.1,62.8,1.24,17.2,99.5,70.0,50.1,3.4,102.9,32.3,91.84,53.7,"7,598",51.9,19.2,54.6,5,25,20,28,10,11,28,12,23,1,3,1,11,9,15,5,5,19,20,26,11,18,20,13,11,11,11,20,2,7,13,1,21,17,27,1,7,10
5,Seattle SuperSonics,1996,82,57,25,0.695,48.2,100.9,36.5,78.2,46.7,6.8,19.3,35.3,21.0,28.0,75.2,12.3,27.7,40.0,23.5,15.0,11.0,4.7,5.2,22.0,0.2,7.7,64.4,1.57,18.1,101.0,65.7,51.0,8.5,109.6,34.1,91.68,56.2,"7,549",50.0,16.3,55.7,6,26,3,24,3,7,5,6,10,20,15,24,6,4,16,3,6,4,11,19,8,9,7,18,3,5,8,17,19,21,6,22,1,16,10,16,8,3
6,Atlanta Hawks,1996,82,56,26,0.683,48.3,94.8,34.3,76.9,44.6,8.0,22.4,36.0,18.2,23.8,76.3,12.5,28.7,41.1,19.0,15.0,8.5,5.2,4.0,19.4,0.1,5.4,55.4,1.27,15.5,100.3,67.0,49.8,6.2,106.4,33.4,88.54,53.9,"7,304",50.5,16.8,54.2,7,22,8,27,4,27,22,27,14,10,8,17,12,12,26,4,7,23,27,22,19,3,3,15,18,24,4,14,13,13,28,23,9,11,26,29,19,5
7,Los Angeles Lakers,1996,82,56,26,0.683,48.6,100.0,36.8,81.0,45.4,6.7,18.3,36.7,19.7,28.4,69.2,13.3,29.4,42.8,22.5,14.9,9.0,7.0,4.7,22.2,0.1,4.3,61.1,1.51,17.0,102.3,65.8,49.6,4.2,106.4,34.3,92.61,53.0,"7,705",50.1,15.9,53.5,8,23,9,22,8,14,6,13,9,18,13,26,13,16,11,8,8,8,7,9,15,10,8,10,8,4,29,7,8,5,11,24,4,1,19,13,20,8
8,Charlotte Hornets,1996,82,54,28,0.659,48.3,98.9,36.4,77.3,47.1,7.2,16.9,42.8,18.8,24.2,77.7,11.1,28.0,39.1,24.6,14.7,7.3,4.3,4.1,20.8,0.2,1.9,67.6,1.68,19.2,107.1,66.1,51.8,2.1,109.1,31.6,90.04,52.8,"7,429",49.5,16.2,56.2,9,20,4,8,11,2,4,3,27,16,20,25,3,2,22,10,9,12,15,21,4,5,13,1,13,21,2,26,17,26,4,25,26,21,24,24,9,11
9,Detroit Pistons,1996,82,54,28,0.659,48.4,94.2,34.5,74.3,46.4,7.1,18.3,38.8,18.1,24.3,74.5,10.5,28.0,38.4,19.0,12.7,7.7,3.5,3.4,20.1,0.2,5.2,55.0,1.49,16.1,102.6,67.5,51.2,5.9,108.5,30.2,86.09,53.0,"7,120",49.2,14.6,55.4,10,21,5,21,6,28,8,20,28,8,21,29,4,5,28,9,10,24,23,28,9,7,9,3,20,19,14,29,18,28,29,29,22,29,29,25,10,6
