TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%
Golden State Warriors,2016,82,67,15,0.817,48.2,115.9,43.1,87.1,49.5,12.0,31.2,38.3,17.8,22.6,78.8,9.4,35.0,44.4,30.4,14.8,9.6,6.8,3.8,19.3,19.4,11.6,70.5,2.06,21.2,103.4,70.9,56.3,11.4,114.8,27.2,100.37,57.9,"8,279",50.4,14.6,59.7
San Antonio Spurs,2016,82,61,21,0.744,48.3,105.3,39.3,83.7,46.9,9.2,23.5,39.1,17.6,22.0,79.7,10.0,33.9,43.9,23.8,13.4,8.0,5.9,4.1,18.3,19.8,7.2,60.6,1.77,18.1,102.9,73.0,52.4,7.4,110.3,28.2,94.86,55.1,"7,832",51.1,14.1,56.4
Houston Rockets,2016,82,55,27,0.671,48.2,115.3,40.3,87.2,46.2,14.4,40.3,35.7,20.3,26.5,76.6,10.9,33.5,44.4,25.2,15.1,8.2,4.3,5.0,19.9,20.4,5.8,62.6,1.67,18.1,108.4,71.7,54.5,5.7,114.1,28.1,100.55,51.6,"8,289",49.9,15.0,58.3
Boston Celtics,2016,82,53,29,0.646,48.2,108.0,38.6,85.1,45.4,12.0,33.4,35.9,18.7,23.2,80.7,9.1,32.9,42.0,25.2,13.3,7.5,4.1,5.2,20.6,20.3,2.6,65.3,1.9,18.8,108.0,70.5,52.5,2.6,110.6,25.9,97.21,51.4,"8,005",48.5,13.6,56.7
Cleveland Cavaliers,2016,82,51,31,0.622,48.5,110.3,39.9,84.9,47.0,13.0,33.9,38.4,17.5,23.3,74.8,9.3,34.4,43.7,22.7,13.7,6.6,4.0,4.3,18.1,20.6,3.2,56.7,1.66,17.1,109.7,72.2,54.7,3.1,112.8,26.4,96.74,51.0,"8,019",49.9,14.0,58.0
LA Clippers,2016,82,51,31,0.622,48.2,108.7,39.5,83.2,47.5,10.3,27.4,37.5,19.3,26.0,74.5,9.0,34.0,43.0,22.5,13.0,7.5,4.2,3.1,19.8,22.4,4.3,57.0,1.74,17.2,107.5,73.3,53.7,4.4,111.8,25.6,96.77,52.7,"7,968",50.1,13.3,57.4
Toronto Raptors,2016,82,51,31,0.622,48.2,106.9,39.2,84.4,46.4,8.8,24.3,36.3,19.7,24.7,79.6,10.6,32.6,43.3,18.5,12.7,8.3,4.9,4.8,20.8,20.3,4.2,47.2,1.46,14.5,107.1,71.7,51.7,4.3,111.4,29.1,95.41,51.6,"7,867",50.5,13.2,56.1
Utah Jazz,2016,82,51,31,0.622,48.2,100.7,37.0,79.5,46.6,9.6,26.0,37.2,17.1,22.9,74.7,9.4,33.8,43.2,20.1,13.6,6.7,5.0,3.8,18.8,20.2,3.9,54.4,1.48,16.2,104.7,74.3,52.6,4.3,109.0,27.0,92.09,53.4,"7,579",51.4,14.8,56.3
Washington Wizards,2016,82,49,33,0.598,48.4,109.2,41.3,87.0,47.5,9.2,24.8,37.2,17.3,22.1,78.4,10.3,32.6,42.9,23.9,14.2,8.5,4.1,4.6,21.3,19.8,1.8,57.7,1.68,17.6,108.8,71.6,52.8,1.7,110.4,28.6,97.94,51.1,"8,109",50.1,14.3,56.4
Oklahoma City Thunder,2016,82,47,35,0.573,48.3,106.6,39.5,87.4,45.2,8.4,25.8,32.7,19.2,25.8,74.5,12.2,34.4,46.6,21.0,15.0,7.9,5.0,5.5,20.9,20.7,0.8,53.2,1.4,15.5,107.1,74.2,50.0,0.8,107.9,32.3,98.18,49.9,"8,099",52.8,15.2,54.0
Atlanta Hawks,2016,82,43,39,0.524,48.5,103.2,38.1,84.4,45.1,8.9,26.1,34.1,18.1,24.9,72.8,10.3,34.1,44.3,23.6,15.8,8.2,4.8,5.2,18.2,21.6,-0.9,62.1,1.5,17.4,105.2,71.7,50.4,-0.7,104.5,28.2,97.76,50.6,"8,091",50.2,16.0,54.1
Memphis Grizzlies,2016,82,43,39,0.524,48.5,100.5,36.4,83.6,43.5,9.4,26.5,35.4,18.3,23.4,78.4,10.8,32.0,42.8,21.3,12.9,8.0,4.2,5.0,22.4,20.8,0.5,58.4,1.65,16.5,106.5,73.1,49.1,0.5,107.0,29.5,92.84,50.1,"7,702",50.7,13.7,53.5
Indiana Pacers,2016,82,42,40,0.512,48.4,105.1,39.3,84.5,46.5,8.6,23.0,37.6,17.9,22.1,81.0,9.0,33.0,42.0,22.5,13.8,8.2,5.0,5.0,19.5,19.5,-0.2,57.2,1.63,17.2,108.1,71.3,51.6,-0.2,107.9,25.5,96.59,50.5,"7,989",48.8,14.1,55.8
Milwaukee Bucks,2016,82,42,40,0.512,48.2,103.6,38.8,81.9,47.4,8.8,23.7,37.0,17.2,22.4,76.8,8.8,31.6,40.4,24.2,14.0,8.1,5.3,4.6,20.2,19.3,-0.2,62.4,1.73,18.5,108.7,70.6,52.7,-0.2,108.5,26.0,94.99,50.4,"7,828",48.7,14.6,56.5
Chicago Bulls,2016,82,41,41,0.5,48.2,102.9,38.6,87.1,44.4,7.6,22.3,34.0,18.0,22.5,79.8,12.2,34.1,46.3,22.6,13.6,7.8,4.8,4.6,17.7,18.8,0.4,58.4,1.66,16.8,106.2,73.3,48.7,0.3,106.5,31.1,96.02,50.4,"7,919",51.9,14.0,53.0
Miami Heat,2016,82,41,41,0.5,48.2,103.2,39.0,85.8,45.5,9.9,27.0,36.5,15.2,21.6,70.6,10.6,33.0,43.6,21.2,13.4,7.2,5.7,4.9,20.5,18.7,1.1,54.4,1.58,16.3,106.4,71.8,51.2,1.0,107.4,28.4,95.51,50.0,"7,875",49.9,14.0,54.1
Portland Trail Blazers,2016,82,41,41,0.5,48.6,107.9,39.5,86.1,45.9,10.4,27.7,37.5,18.5,23.7,78.0,10.1,33.5,43.7,21.1,13.7,7.0,5.0,5.3,21.2,19.8,-0.5,53.4,1.54,16.0,110.0,72.0,52.0,-0.6,109.4,26.9,97.38,49.3,"8,088",49.6,13.9,55.9
Denver Nuggets,2016,82,40,42,0.488,48.2,111.7,41.2,87.7,46.9,10.6,28.8,36.8,18.7,24.2,77.4,11.8,34.6,46.4,25.3,15.0,6.9,3.9,4.9,19.1,20.2,0.5,61.5,1.69,18.2,111.7,75.3,53.0,0.4,112.2,31.4,99.18,50.3,"8,167",53.2,15.0,56.8
Detroit Pistons,2016,82,37,45,0.451,48.3,101.3,39.9,88.8,44.9,7.7,23.4,33.0,13.9,19.3,71.9,11.1,34.6,45.7,21.1,11.9,7.0,3.8,4.1,17.9,17.5,-1.1,53.0,1.78,16.1,106.7,77.5,49.2,-1.4,105.3,28.6,95.52,48.2,"7,890",51.9,12.3,52.1
Charlotte Hornets,2016,82,36,46,0.439,48.4,104.9,37.7,85.4,44.2,10.0,28.6,35.1,19.4,23.8,81.5,8.8,34.8,43.6,23.1,11.5,7.0,4.8,5.5,16.6,19.9,0.2,61.1,2.01,17.6,108.4,74.9,50.1,0.0,108.4,24.7,95.92,50.5,"7,934",49.6,11.9,54.7
New Orleans Pelicans,2016,82,34,48,0.415,48.5,104.3,39.1,87.0,45.0,9.4,26.8,35.0,16.7,22.3,75.0,8.6,35.1,43.7,22.8,12.9,7.8,5.5,4.2,18.2,19.3,-2.1,58.2,1.77,17.1,106.8,72.8,50.4,-2.1,104.7,22.8,98.56,49.3,"8,173",48.0,12.9,53.9
Dallas Mavericks,2016,82,33,49,0.402,48.2,97.9,36.2,82.3,44.0,10.7,30.2,35.5,14.8,18.5,80.1,7.9,30.7,38.6,20.8,11.9,7.5,3.7,3.4,19.1,19.4,-2.9,57.4,1.75,16.8,107.7,73.3,50.5,-3.0,104.7,21.6,93.11,47.9,"7,668",46.5,12.7,54.1
Sacramento Kings,2016,82,32,50,0.39,48.5,102.8,37.9,82.1,46.1,9.0,23.9,37.6,18.1,23.3,77.5,8.7,32.3,41.1,22.5,14.6,7.6,4.0,5.1,20.3,20.1,-3.9,59.4,1.54,17.3,110.8,72.3,51.6,-4.2,106.6,25.8,95.42,47.8,"7,911",49.2,15.2,55.6
Minnesota Timberwolves,2016,82,31,51,0.378,48.3,105.6,39.5,84.4,46.7,7.3,21.0,34.9,19.3,24.2,79.9,11.4,31.0,42.4,23.7,14.0,8.0,4.5,5.0,20.1,20.5,-1.1,60.0,1.69,17.7,110.9,71.0,51.1,-0.9,110.0,30.9,95.48,50.1,"7,870",50.7,14.6,55.5
New York Knicks,2016,82,31,51,0.378,48.4,104.3,39.6,88.5,44.7,8.6,24.7,34.8,16.6,21.1,78.8,12.0,33.2,45.2,21.8,13.9,7.1,5.5,4.6,20.3,18.5,-3.7,55.1,1.57,16.3,110.7,69.8,49.6,-3.6,107.1,30.5,96.63,48.2,"7,990",50.0,14.3,53.4
Orlando Magic,2016,82,29,53,0.354,48.3,101.1,38.3,87.0,44.0,8.5,26.1,32.8,16.0,21.4,74.7,9.8,33.3,43.2,22.2,13.3,7.1,4.8,5.1,19.3,18.7,-6.6,58.0,1.67,16.8,110.3,72.6,48.9,-6.5,103.7,26.7,96.9,46.0,"7,989",49.1,13.7,52.4
Philadelphia 76ers,2016,82,28,54,0.341,48.4,102.4,37.7,85.3,44.2,10.1,29.8,34.0,17.0,22.0,77.1,9.8,33.0,42.8,23.8,16.7,8.4,5.1,5.4,21.9,19.6,-5.7,63.1,1.43,17.4,108.2,70.9,50.1,-5.5,102.7,27.3,99.07,47.0,"8,179",49.0,16.7,53.9
