TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%
Golden State Warriors,2014,82,67,15,0.817,48.1,110.0,41.6,87.0,47.8,10.8,27.0,39.8,16.0,20.8,76.8,10.4,34.3,44.7,27.4,14.5,9.3,6.0,3.6,19.9,18.8,10.1,65.9,1.9,19.7,100.4,70.3,54.0,9.9,110.4,27.3,99.28,56.9,"8,170",49.8,14.5,57.1
Atlanta Hawks,2014,82,60,22,0.732,48.1,102.5,38.1,81.7,46.6,10.0,26.2,38.0,16.5,21.2,77.8,8.7,31.8,40.6,25.7,14.2,9.1,4.6,4.9,17.8,19.6,5.4,67.6,1.81,19.5,102.3,69.7,52.7,5.9,108.2,26.4,94.66,54.0,"7,775",48.7,15.0,56.3
Houston Rockets,2014,82,56,26,0.683,48.3,103.9,37.0,83.3,44.4,11.4,32.7,34.8,18.6,26.0,71.5,11.7,32.0,43.7,22.2,16.7,9.5,5.0,5.3,22.0,21.1,3.4,60.0,1.33,16.5,102.6,68.6,51.2,3.4,106.0,30.5,97.36,50.9,"8,037",49.6,17.0,54.8
Los Angeles Clippers,2014,82,56,26,0.683,48.1,106.7,39.4,83.3,47.3,10.1,26.9,37.6,17.9,25.2,71.0,9.6,33.1,42.6,24.8,12.3,7.8,5.0,3.0,21.3,21.5,6.6,62.9,2.01,18.7,104.7,71.6,53.3,6.9,111.6,27.2,95.4,54.0,"7,844",49.7,12.9,56.5
Memphis Grizzlies,2014,82,55,27,0.671,48.5,98.3,37.8,82.5,45.8,5.2,15.2,33.9,17.6,22.8,77.3,10.4,32.1,42.6,21.7,13.3,8.5,4.2,5.2,19.1,20.3,3.2,57.4,1.62,16.9,101.2,71.6,48.9,3.5,104.8,28.8,92.82,53.0,"7,696",50.3,14.2,53.1
San Antonio Spurs,2014,82,55,27,0.671,48.7,103.2,39.1,83.6,46.8,8.3,22.5,36.7,16.7,21.4,78.0,9.8,33.8,43.6,24.4,14.0,8.0,5.4,4.4,19.1,19.7,6.2,62.3,1.75,18.4,101.4,73.0,51.7,6.3,107.6,27.2,94.45,54.5,"7,860",50.7,14.6,55.5
Cleveland Cavaliers,2014,82,53,29,0.646,48.2,103.1,37.7,82.2,45.8,10.1,27.5,36.7,17.7,23.6,75.1,11.1,31.9,43.0,22.1,14.3,7.4,4.1,4.5,18.4,20.5,4.5,58.7,1.55,17.1,105.3,71.1,52.0,4.8,110.1,31.1,93.23,51.4,"7,682",51.3,15.2,55.7
Portland Trail Blazers,2014,82,51,31,0.622,48.4,102.8,38.7,86.0,45.0,9.8,27.2,36.2,15.5,19.4,80.1,10.7,35.1,45.9,21.9,13.6,6.4,4.5,3.6,18.2,18.7,4.2,56.7,1.61,16.8,102.8,72.8,50.8,4.3,107.1,28.2,95.06,52.2,"7,868",51.0,14.2,54.4
Chicago Bulls,2014,82,50,32,0.61,48.5,100.8,36.6,82.9,44.2,7.9,22.3,35.3,19.7,25.2,78.3,11.7,34.0,45.7,21.7,14.0,6.3,5.8,5.4,18.2,21.2,3.0,59.3,1.56,16.6,103.3,70.9,48.9,3.0,106.3,31.2,93.8,52.9,"7,775",51.6,14.7,53.6
Dallas Mavericks,2014,82,50,32,0.61,48.5,105.2,39.7,85.8,46.3,8.9,25.4,35.2,16.9,22.5,75.2,10.5,31.8,42.3,22.5,13.0,8.1,4.5,3.8,20.0,22.1,2.9,56.7,1.74,17.0,104.9,68.1,51.5,3.2,108.2,26.9,96.4,52.1,"7,976",47.7,13.3,55.0
