TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%
San Antonio Spurs,2013,82,62,20,0.756,48.2,105.4,40.6,83.5,48.6,8.5,21.4,39.7,15.7,20.0,78.5,9.3,34.0,43.3,25.2,14.4,7.4,5.1,4.6,18.2,19.3,7.7,62.1,1.75,19.0,101.4,72.5,53.7,8.1,109.5,26.1,95.87,55.5,"7,887",50.3,15.0,57.1
Oklahoma City Thunder,2013,82,59,23,0.72,48.3,106.2,39.0,82.7,47.1,8.1,22.4,36.1,20.2,25.0,80.6,10.8,33.9,44.7,21.9,15.3,8.3,6.1,3.6,22.7,20.4,6.3,56.2,1.43,16.6,103.0,72.2,52.0,6.4,109.4,29.4,96.33,54.3,"7,954",51.8,15.8,56.6
Los Angeles Clippers,2013,82,57,25,0.695,48.2,107.9,39.1,82.5,47.4,8.5,24.0,35.2,21.2,29.1,73.0,10.5,32.5,43.0,24.6,13.9,8.6,4.8,3.5,21.5,23.4,7.0,62.8,1.77,18.3,104.0,69.0,52.6,7.3,111.3,28.8,96.66,54.8,"7,954",49.6,14.3,56.7
Indiana Pacers,2013,82,56,26,0.683,48.2,96.7,36.0,80.2,44.9,6.7,18.8,35.7,18.1,23.3,77.9,10.2,34.5,44.7,20.1,15.1,6.7,5.4,4.6,20.4,21.9,4.4,56.0,1.33,15.9,98.9,72.1,49.0,4.7,103.6,29.6,92.89,54.5,"7,656",51.7,16.2,53.5
Houston Rockets,2013,82,54,28,0.659,48.4,107.7,38.0,80.5,47.2,9.5,26.6,35.8,22.1,31.1,71.2,11.2,34.1,45.3,21.4,16.1,7.6,5.6,5.6,20.4,24.3,4.6,56.3,1.33,16.1,105.2,70.0,53.1,4.6,109.8,30.6,97.27,53.4,"8,040",51.3,16.5,57.1
Miami Heat,2013,82,54,28,0.659,48.5,102.2,38.3,76.5,50.1,8.1,22.3,36.4,17.5,23.0,76.0,7.6,29.2,36.9,22.5,14.8,8.9,4.5,3.1,19.5,20.4,4.8,58.8,1.52,18.1,105.0,68.6,55.4,5.1,110.0,24.4,91.9,53.9,"7,615",47.6,15.9,59.0
Portland Trail Blazers,2013,82,54,28,0.659,48.4,106.7,39.1,87.0,45.0,9.4,25.3,37.2,19.1,23.5,81.5,12.5,34.0,46.4,23.2,13.7,5.5,4.7,3.7,19.2,20.7,4.0,59.4,1.69,17.2,106.2,71.3,50.4,4.2,110.4,32.0,95.9,52.4,"7,930",51.7,14.2,54.8
Golden State Warriors,2013,82,51,31,0.622,48.4,104.3,39.5,85.4,46.2,9.4,24.8,38.0,15.9,21.1,75.3,10.9,34.4,45.3,23.3,15.2,7.8,5.0,4.2,21.8,19.3,4.8,59.1,1.53,17.4,101.4,72.4,51.7,4.9,106.3,28.4,97.37,52.8,"8,045",50.8,15.5,55.0
Memphis Grizzlies,2013,82,50,32,0.61,48.3,96.1,38.1,82.0,46.4,4.9,14.0,35.3,15.1,20.3,74.1,11.6,30.8,42.4,21.9,13.7,7.7,4.6,5.0,19.1,18.9,1.6,57.4,1.59,17.1,103.8,71.8,49.4,1.7,105.5,32.6,90.58,51.8,"7,476",52.1,15.0,52.9
Dallas Mavericks,2013,82,49,33,0.598,48.4,104.8,39.6,83.6,47.4,8.8,22.9,38.4,16.8,21.1,79.5,10.2,30.7,40.9,23.6,13.5,8.6,4.3,3.5,20.0,19.9,2.4,59.6,1.74,18.0,107.2,69.4,52.6,2.3,109.5,27.6,94.94,52.1,"7,852",48.7,14.1,56.4
