,TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%,W_RANK,L_RANK,OFFRTG_RANK,DEFRTG_RANK,NETRTG_RANK,AST%_RANK,AST/TO_RANK,AST_RATIO_RANK,OREB%_RANK,DREB%_RANK,REB%_RANK,TOV%_RANK,EFG%_RANK,TS%_RANK,PACE_RANK,PIE_RANK,WIN%_RANK,PTS_RANK,FGM_RANK,FGA_RANK,FG%_RANK,3PM_RANK,3PA_RANK,3P%_RANK,FTM_RANK,FTA_RANK,FT%_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,+/-_RANK
0,Sacramento Kings,2001,82,61,21,0.744,48.2,104.6,39.8,85.4,46.7,5.2,14.1,36.7,19.7,26.3,75.1,12.4,33.0,45.3,23.9,13.8,9.0,4.6,4.7,19.0,0.1,7.6,60.0,1.74,17.7,99.7,69.0,49.7,8.1,107.9,30.6,96.74,55.2,"7,951",50.2,14.2,53.9,1,29,3,25,1,17,4,7,17,6,13,27,5,5,1,2,1,2,1,1,2,12,16,9,6,4,16,15,1,2,4,22,3,21,22,28,8,1
1,Los Angeles Lakers,2001,82,58,24,0.707,48.2,101.3,38.4,83.4,46.1,6.2,17.5,35.4,18.2,26.1,69.9,12.5,31.8,44.3,23.0,12.7,7.6,5.8,4.3,22.2,0.1,7.1,59.7,1.81,17.5,100.4,68.6,49.8,7.6,108.0,31.1,93.32,54.9,"7,691",50.1,13.5,53.4,2,27,2,23,2,18,3,10,16,10,14,28,4,7,6,3,2,3,4,8,5,6,7,13,12,6,29,13,2,3,8,28,18,8,27,8,9,2
2,San Antonio Spurs,2001,82,58,24,0.707,48.4,96.7,35.5,77.6,45.8,5.3,14.8,36.2,20.3,27.4,74.2,11.1,31.3,42.4,20.0,14.4,7.6,6.5,5.2,19.2,0.1,6.2,56.4,1.39,16.0,98.5,68.5,49.2,6.9,105.4,30.1,91.06,55.4,"7,528",50.1,15.7,53.9,3,28,8,28,3,28,23,25,20,12,15,15,8,6,20,1,3,10,17,28,7,11,12,10,3,3,20,24,3,13,27,16,19,3,13,26,10,3
3,Dallas Mavericks,2001,82,57,25,0.695,48.5,105.2,39.0,84.5,46.2,7.6,20.1,37.8,19.6,24.3,80.6,11.2,31.3,42.5,22.1,12.1,7.1,4.8,4.6,22.5,0.1,4.3,56.6,1.83,16.9,106.0,68.3,50.7,4.3,110.3,28.5,94.36,51.7,"7,823",48.7,12.7,55.3,4,26,1,6,4,27,1,15,27,16,24,29,1,1,4,11,4,1,2,4,3,2,3,2,7,10,1,23,4,12,14,29,22,18,25,5,11,4
4,New Jersey Nets,2001,82,52,30,0.634,48.4,96.2,37.1,83.1,44.6,4.9,14.6,33.8,17.1,23.3,73.5,12.7,30.7,43.3,24.3,14.5,8.7,6.0,5.4,21.1,0.1,4.2,65.4,1.67,18.2,98.1,68.3,47.6,4.3,102.4,32.2,93.2,53.7,"7,707",50.3,15.4,51.5,5,25,17,29,5,2,6,4,13,17,11,19,13,17,8,4,5,13,8,9,14,16,13,22,19,17,24,12,11,8,2,13,4,6,11,18,12,5
5,Detroit Pistons,2001,82,50,32,0.61,48.0,94.3,34.7,76.8,45.2,6.9,18.4,37.6,18.0,23.8,75.6,9.9,28.9,38.7,21.5,14.5,7.9,6.9,4.1,20.7,0.1,2.1,62.0,1.48,17.3,100.9,67.6,49.7,2.3,103.2,27.7,91.38,52.3,"7,495",48.1,15.9,54.0,6,23,13,22,9,10,18,11,28,20,27,11,6,3,16,7,6,18,24,29,8,5,5,6,14,14,13,29,24,29,18,14,14,1,29,21,13,10
6,Minnesota Timberwolves,2001,82,50,32,0.61,48.3,99.3,38.7,84.0,46.1,4.8,12.8,37.8,17.1,21.4,79.8,12.9,31.2,44.2,24.3,13.4,6.4,5.2,5.0,21.2,0.1,3.4,62.8,1.82,18.4,104.1,70.3,49.0,3.4,107.5,34.3,91.72,52.9,"7,578",52.4,14.5,53.2,7,24,4,13,6,7,2,1,5,2,1,23,9,9,13,6,7,5,3,5,6,18,21,3,20,24,2,9,7,4,3,26,28,16,16,17,14,6
7,Boston Celtics,2001,82,49,33,0.598,48.4,96.4,34.8,82.1,42.4,8.5,23.7,35.9,18.3,23.9,76.4,10.9,31.3,42.2,21.0,13.6,9.7,3.6,5.8,21.7,0.0,2.2,60.4,1.55,16.4,99.9,69.5,47.6,2.2,102.1,27.2,93.6,50.0,"7,738",48.1,14.4,52.0,8,21,18,24,10,16,12,23,29,5,28,24,14,14,5,16,8,12,22,10,28,1,1,11,10,12,10,26,5,14,20,24,1,28,5,12,29,9
8,Portland Trail Blazers,2001,82,49,33,0.598,48.4,96.6,36.6,81.4,45.0,5.7,16.1,35.4,17.7,23.2,76.3,13.2,29.8,43.0,23.5,14.3,8.6,4.5,5.0,19.7,0.1,3.0,64.1,1.64,18.0,102.6,70.3,48.5,3.3,105.9,34.5,90.55,51.8,"7,482",52.2,15.7,52.8,9,22,6,17,7,5,7,5,4,3,3,16,10,11,23,10,9,11,10,13,9,10,9,14,15,18,11,6,17,9,5,17,5,22,17,25,15,7
9,Seattle SuperSonics,2001,82,45,37,0.549,48.4,97.7,38.2,81.5,46.9,6.0,15.8,37.8,15.4,20.4,75.5,11.8,28.5,40.3,23.5,13.7,8.5,4.4,4.9,21.1,0.1,3.0,61.5,1.71,18.3,104.1,65.6,50.5,3.3,107.3,32.0,90.35,52.2,"7,468",49.0,15.1,54.0,10,20,5,14,8,11,5,3,14,29,22,22,3,4,24,8,10,6,5,12,1,7,10,4,27,28,14,17,27,27,6,23,7,23,19,19,16,8
