TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%
Milwaukee Bucks,2018,82,60,22,0.732,48.2,118.1,43.4,91.1,47.6,13.5,38.2,35.3,17.9,23.2,77.3,9.3,40.4,49.7,26.0,13.9,7.5,5.9,4.8,19.6,20.2,8.9,60.1,1.88,18.3,104.9,75.7,55.0,8.6,113.5,25.0,103.57,55.3,"8,533",51.6,13.3,58.3
Toronto Raptors,2018,82,58,24,0.707,48.5,114.4,42.2,89.1,47.4,12.4,33.8,36.6,17.7,22.0,80.4,9.6,35.6,45.2,25.4,14.0,8.3,5.3,4.5,21.0,20.5,6.1,60.3,1.81,18.2,106.8,72.6,54.3,5.8,112.6,26.5,100.51,53.3,"8,334",50.2,13.8,57.9
Golden State Warriors,2018,82,57,25,0.695,48.3,117.7,44.0,89.8,49.1,13.3,34.4,38.5,16.3,20.4,80.1,9.7,36.5,46.2,29.4,14.3,7.6,6.4,3.6,21.4,19.5,6.5,66.8,2.06,20.4,108.6,72.7,56.5,6.5,115.0,25.7,101.74,54.6,"8,390",50.5,13.9,59.6
Denver Nuggets,2018,82,54,28,0.659,48.1,110.7,41.9,90.0,46.6,11.0,31.4,35.1,15.8,20.9,75.5,11.9,34.5,46.4,27.4,13.4,7.7,4.4,5.0,20.0,20.4,4.0,65.3,2.04,19.3,108.1,74.4,52.7,4.0,112.1,30.8,98.49,52.4,"8,096",52.4,13.6,55.8
Houston Rockets,2018,82,53,29,0.646,48.4,113.9,39.2,87.4,44.9,16.1,45.4,35.6,19.3,24.4,79.1,10.2,31.9,42.1,21.2,13.3,8.5,4.9,4.5,22.0,20.0,4.8,54.1,1.59,15.9,110.1,70.0,54.2,4.8,114.9,26.9,98.39,49.8,"8,130",48.1,13.5,58.1
Portland Trail Blazers,2018,82,53,29,0.646,48.4,114.7,42.3,90.6,46.7,11.0,30.7,35.9,19.0,23.3,81.4,11.8,36.2,48.0,23.0,13.8,6.7,5.0,5.1,20.4,20.7,4.2,54.4,1.66,16.6,109.5,73.9,52.8,4.2,113.7,30.8,99.96,52.1,"8,269",52.6,13.7,56.8
Philadelphia 76ers,2018,82,51,31,0.622,48.3,115.2,41.5,88.2,47.1,10.8,30.2,35.9,21.2,27.5,77.1,10.9,36.9,47.8,26.9,14.9,7.4,5.3,4.1,21.3,22.1,2.7,64.8,1.8,18.7,109.0,74.1,53.2,2.6,111.6,27.8,102.59,52.9,"8,467",51.7,14.4,57.4
Utah Jazz,2018,82,50,32,0.61,48.2,111.7,40.4,86.4,46.8,12.1,34.0,35.6,18.8,25.5,73.6,10.0,36.4,46.4,26.0,15.1,8.1,5.9,4.6,21.1,22.4,5.3,64.4,1.72,18.5,105.3,75.9,53.8,5.0,110.3,27.5,100.84,53.9,"8,308",52.2,14.9,57.2
Boston Celtics,2018,82,49,33,0.598,48.2,112.4,42.1,90.5,46.5,12.6,34.5,36.5,15.6,19.5,80.2,9.8,34.7,44.5,26.3,12.8,8.6,5.3,3.9,20.4,19.5,4.4,62.4,2.05,18.8,107.0,72.8,53.4,4.3,111.3,25.7,100.43,53.0,"8,282",49.5,12.7,56.7
Oklahoma City Thunder,2018,82,49,33,0.598,48.4,114.5,42.6,94.0,45.4,11.4,32.6,34.8,17.8,25.0,71.3,12.6,35.5,48.1,23.4,14.0,9.3,5.2,5.1,22.4,22.5,3.4,54.8,1.67,16.3,106.5,73.8,51.4,3.4,109.8,29.8,103.38,50.6,"8,549",50.9,13.4,54.5
Indiana Pacers,2018,82,48,34,0.585,48.1,108.0,41.3,87.0,47.5,9.5,25.4,37.4,15.8,21.1,75.2,9.3,33.7,43.0,26.0,13.7,8.7,4.9,5.2,19.4,20.0,3.3,62.8,1.9,18.9,106.0,72.2,53.0,3.4,109.4,26.9,98.64,52.7,"8,097",49.9,13.9,56.1
LA Clippers,2018,82,48,34,0.585,48.4,115.1,41.3,87.5,47.1,10.0,25.8,38.8,22.6,28.5,79.2,9.7,35.8,45.5,24.0,14.5,6.8,4.7,6.1,23.3,24.0,0.9,58.2,1.65,17.1,110.4,72.2,52.9,1.0,111.4,26.3,102.66,50.5,"8,475",50.0,14.1,57.5
San Antonio Spurs,2018,82,48,34,0.585,48.3,111.7,42.3,88.4,47.8,9.9,25.3,39.2,17.2,21.0,81.9,9.2,35.5,44.7,24.5,12.1,6.1,4.7,4.0,18.1,19.6,1.7,58.0,2.03,18.1,110.6,74.4,53.4,1.6,112.2,24.6,98.88,51.6,"8,162",50.1,12.2,57.2
Brooklyn Nets,2018,82,42,40,0.512,48.7,112.2,40.3,89.7,44.9,12.8,36.2,35.3,19.0,25.5,74.5,11.0,35.6,46.6,23.8,15.1,6.6,4.1,5.3,21.5,22.0,-0.1,59.2,1.58,16.9,109.0,72.0,52.0,-0.1,108.9,28.2,101.52,49.2,"8,452",50.1,14.6,55.6
Orlando Magic,2018,82,42,40,0.512,48.2,107.3,40.4,89.1,45.4,11.4,32.1,35.6,15.0,19.2,78.2,10.0,35.4,45.4,25.5,13.2,6.6,5.4,4.4,18.6,18.7,0.7,63.2,1.94,18.6,107.6,75.4,51.8,0.6,108.2,25.9,98.65,50.8,"8,133",50.4,13.3,55.0
Detroit Pistons,2018,82,41,41,0.5,48.4,107.0,38.8,88.3,44.0,12.1,34.8,34.8,17.3,23.1,74.7,11.4,33.6,45.0,22.5,13.8,6.9,4.0,5.1,22.1,21.3,-0.2,57.9,1.63,16.5,108.7,74.5,50.9,-0.3,108.4,29.1,97.88,48.2,"8,101",50.9,14.0,54.4
Charlotte Hornets,2018,82,39,43,0.476,48.4,110.7,40.2,89.8,44.8,11.9,33.9,35.1,18.4,23.1,79.7,9.9,33.9,43.8,23.2,12.2,7.2,4.9,6.0,18.9,20.6,-1.1,57.8,1.9,17.0,112.0,73.1,51.4,-1.3,110.7,26.8,99.18,48.6,"8,202",49.5,12.2,55.4
Miami Heat,2018,82,39,43,0.476,48.1,105.7,39.6,88.0,45.0,11.3,32.4,34.9,15.1,21.7,69.5,11.2,35.1,46.3,24.3,14.7,7.6,5.5,4.7,20.9,20.1,-0.2,61.2,1.65,17.6,107.1,73.1,51.5,-0.4,106.7,29.1,98.73,50.1,"8,122",50.9,14.9,54.2
Sacramento Kings,2018,82,39,43,0.476,48.1,114.2,43.2,93.1,46.4,11.3,29.9,37.8,16.5,22.7,72.6,11.0,34.4,45.4,25.4,13.4,8.3,4.4,5.1,21.4,21.4,-1.1,58.8,1.9,17.7,110.8,71.3,52.4,-1.2,109.6,26.8,103.88,49.5,"8,545",48.7,12.8,55.4
Los Angeles Lakers,2018,82,37,45,0.451,48.2,111.8,42.6,90.5,47.0,10.3,31.0,33.3,16.3,23.3,69.9,10.2,36.4,46.6,25.6,15.7,7.5,5.4,5.1,20.7,20.8,-1.7,60.0,1.63,17.8,108.9,72.5,52.7,-1.6,107.4,27.0,103.6,49.5,"8,534",50.2,15.0,55.4
Minnesota Timberwolves,2018,82,36,46,0.439,48.4,112.5,41.6,91.3,45.6,10.1,28.7,35.1,19.1,24.3,78.7,11.3,33.5,44.8,24.6,13.1,8.3,5.0,5.5,20.3,21.9,-1.5,59.1,1.88,17.4,112.2,70.9,51.1,-1.6,110.6,29.2,100.88,49.8,"8,341",49.7,12.9,55.2
Dallas Mavericks,2018,82,33,49,0.402,48.2,108.9,38.8,86.9,44.7,12.5,36.6,34.0,18.8,25.3,74.2,10.1,35.2,45.3,23.4,14.2,6.5,4.3,4.5,20.1,23.2,-1.3,60.3,1.64,17.0,110.1,73.4,51.9,-1.5,108.7,27.3,99.6,49.2,"8,216",50.3,14.2,55.5
Memphis Grizzlies,2018,82,33,49,0.402,48.5,103.5,38.0,84.4,45.0,9.9,28.9,34.2,17.7,23.0,77.2,8.8,33.0,41.8,23.9,14.0,8.3,5.5,4.9,22.0,21.4,-2.6,63.1,1.71,17.9,108.0,72.4,50.8,-2.4,105.6,24.7,97.15,49.0,"8,038",48.4,14.3,54.8
New Orleans Pelicans,2018,82,33,49,0.402,48.2,115.4,43.7,92.2,47.3,10.3,29.9,34.4,17.8,23.4,76.1,11.1,36.2,47.3,27.0,14.8,7.4,5.4,5.4,21.1,21.0,-1.3,61.9,1.82,18.6,112.0,72.9,52.9,-1.3,110.7,28.5,103.89,49.8,"8,553",50.9,14.2,56.3
Washington Wizards,2018,82,32,50,0.39,48.6,114.0,42.1,90.1,46.8,11.3,33.3,34.1,18.4,23.9,76.8,9.7,32.7,42.4,26.3,14.1,8.3,4.6,4.6,20.7,21.2,-2.9,62.3,1.87,18.4,112.9,70.6,53.1,-2.7,110.2,25.2,102.23,48.7,"8,486",47.7,13.6,56.7
Atlanta Hawks,2018,82,29,53,0.354,48.4,113.3,41.4,91.8,45.1,13.0,37.0,35.2,17.6,23.4,75.2,11.6,34.5,46.1,25.8,17.0,8.2,5.1,5.5,23.6,22.2,-6.0,62.4,1.52,17.7,113.1,71.8,52.2,-5.5,107.5,28.4,104.56,46.4,"8,642",49.6,16.2,55.5
Chicago Bulls,2018,82,22,60,0.268,48.5,104.9,39.8,87.9,45.3,9.1,25.9,35.1,16.2,20.7,78.3,8.8,34.1,42.9,21.9,14.1,7.4,4.3,5.8,20.3,18.7,-8.4,55.0,1.55,16.3,112.8,72.7,50.5,-8.3,104.5,24.2,99.3,45.3,"8,232",48.3,14.1,54.1
Cleveland Cavaliers,2018,82,19,63,0.232,48.2,104.5,38.9,87.6,44.4,10.3,29.1,35.5,16.4,20.7,79.2,10.7,31.9,42.7,20.7,13.5,6.5,2.4,5.6,20.0,19.4,-9.6,53.2,1.54,15.6,116.8,73.2,50.3,-10.0,106.8,28.2,97.37,43.6,"8,021",49.6,13.8,54.0
Phoenix Suns,2018,82,19,63,0.232,48.5,107.5,40.1,87.4,45.9,9.6,29.3,32.9,17.6,22.7,77.9,9.1,31.3,40.4,23.9,15.6,9.0,5.1,5.0,23.6,20.7,-9.3,59.5,1.53,17.3,114.2,68.3,51.4,-8.9,105.3,24.7,101.15,45.0,"8,371",46.4,15.3,55.2
New York Knicks,2018,82,17,65,0.207,48.2,104.6,38.2,88.3,43.3,10.0,29.5,34.0,18.1,23.9,75.9,10.5,34.3,44.7,20.1,14.0,6.8,5.1,5.6,20.9,20.8,-9.2,52.5,1.43,14.9,112.9,71.7,49.0,-8.9,104.0,26.4,100.16,44.2,"8,244",48.6,14.0,52.9
