TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%
Chicago Bulls,2011,66,50,16,0.758,48.3,96.3,37.4,82.8,45.2,6.3,16.9,37.5,15.2,21.1,72.2,13.9,32.8,46.7,23.1,14.0,6.9,5.9,5.2,17.3,17.7,8.2,61.9,1.65,17.7,97.5,70.3,49.0,8.8,106.3,36.1,89.98,56.1,"5,982",53.6,15.4,52.3
San Antonio Spurs,2011,66,50,16,0.758,48.3,103.7,39.6,82.8,47.8,8.4,21.3,39.3,16.2,21.6,74.8,10.3,32.6,43.0,23.2,13.6,7.4,4.4,5.0,17.3,18.8,7.2,58.5,1.71,17.8,102.3,72.0,52.8,7.7,110.0,28.2,93.67,54.6,"6,220",50.7,14.4,56.2
Oklahoma City Thunder,2011,66,47,19,0.712,48.5,103.1,37.3,79.2,47.1,7.2,20.0,35.8,21.3,26.4,80.6,11.0,32.7,43.7,18.5,16.3,7.5,8.2,4.9,20.5,20.0,6.1,49.7,1.13,14.6,102.1,68.7,51.6,6.3,108.4,30.4,94.11,54.2,"6,273",50.9,17.2,56.7
Miami Heat,2011,66,46,20,0.697,48.6,98.5,37.1,79.0,46.9,5.6,15.6,35.9,18.8,24.2,77.5,10.4,31.2,41.6,20.0,15.2,8.9,5.4,4.2,19.4,20.5,6.0,53.8,1.31,15.9,99.2,69.3,50.5,6.4,105.6,29.9,92.07,55.3,"6,154",50.4,16.3,54.9
Indiana Pacers,2011,66,42,24,0.636,48.5,97.7,35.7,81.4,43.8,5.9,16.1,36.8,20.4,26.1,78.2,12.5,31.4,43.9,18.6,14.0,7.9,5.4,6.0,21.7,21.6,3.3,52.2,1.33,14.7,102.1,68.9,47.4,3.3,105.5,33.3,91.68,52.1,"6,115",51.1,15.1,52.6
Los Angeles Lakers,2011,66,41,25,0.621,48.7,97.3,36.8,80.6,45.7,5.5,16.8,32.6,18.2,24.1,75.6,12.1,34.1,46.2,22.5,15.1,5.9,5.3,4.6,16.8,20.2,1.4,61.1,1.49,17.3,103.2,71.9,49.1,1.3,104.5,32.7,91.72,52.4,"6,145",53.2,16.2,53.4
Memphis Grizzlies,2011,66,41,25,0.621,48.3,95.0,36.7,82.2,44.7,4.2,12.9,32.6,17.3,22.8,75.9,12.6,29.5,42.0,19.5,14.5,9.6,5.2,5.5,19.9,19.3,2.0,53.2,1.35,15.4,100.6,68.8,47.3,2.2,102.8,33.5,91.82,51.4,"6,099",50.8,15.7,51.5
Atlanta Hawks,2011,66,40,26,0.606,49.0,96.6,36.8,81.0,45.4,7.5,20.2,37.0,15.5,21.0,74.0,9.9,31.3,41.2,22.4,14.0,8.1,4.6,4.7,17.8,19.1,3.4,61.0,1.61,17.6,100.4,70.3,50.0,3.8,104.2,27.9,90.88,52.6,"6,117",49.3,15.1,53.5
Los Angeles Clippers,2011,66,40,26,0.606,48.4,97.5,37.0,81.3,45.5,7.8,21.8,35.7,15.8,23.3,68.0,12.1,29.4,41.6,21.0,13.3,8.4,4.8,4.5,21.2,21.2,2.6,56.8,1.58,16.6,104.8,69.2,50.2,2.7,107.5,33.1,89.98,51.7,"5,989",50.7,14.7,53.3
Boston Celtics,2011,66,39,27,0.591,48.3,91.8,35.5,77.1,46.0,5.5,15.0,36.7,15.4,19.8,77.8,7.7,31.1,38.8,23.6,14.8,7.5,5.5,4.6,19.9,18.4,2.5,66.5,1.59,18.8,97.5,68.6,49.6,2.6,100.1,24.5,91.11,53.5,"6,055",47.8,16.2,53.5
Denver Nuggets,2011,66,38,28,0.576,48.6,104.1,39.0,81.9,47.6,6.6,19.9,33.2,19.6,26.7,73.5,11.2,31.9,43.1,24.0,15.4,8.2,5.0,6.7,19.7,22.0,2.9,61.5,1.56,17.9,105.1,70.5,51.6,3.2,108.3,31.6,95.03,52.7,"6,346",51.5,16.0,55.6
Orlando Magic,2011,66,37,29,0.561,48.4,94.2,34.5,78.2,44.1,10.2,27.0,37.5,15.1,22.8,66.0,11.2,31.2,42.5,20.0,14.9,6.8,4.2,4.1,17.7,19.8,0.8,58.1,1.34,16.1,103.4,72.0,50.6,0.6,104.0,30.6,89.75,49.3,"5,978",51.0,16.5,53.3
Dallas Mavericks,2011,66,36,30,0.545,48.7,95.8,36.3,82.0,44.3,7.5,22.2,33.9,15.6,20.2,77.1,10.1,32.7,42.8,20.9,14.0,8.6,5.1,4.0,18.6,18.4,1.0,57.5,1.49,16.5,100.9,71.4,48.9,1.1,102.1,26.8,92.61,51.0,"6,195",49.3,14.9,52.7
New York Knicks,2011,66,36,30,0.545,48.3,97.8,35.8,80.8,44.3,7.8,23.3,33.6,18.3,24.8,74.1,11.3,30.5,41.7,20.1,16.0,9.4,4.2,5.1,21.1,21.8,3.2,56.2,1.26,15.6,100.2,70.2,49.2,3.2,103.5,30.9,93.91,52.0,"6,242",50.3,16.9,53.3
Utah Jazz,2011,66,36,30,0.545,49.0,99.7,38.2,83.8,45.6,4.1,12.8,32.3,19.1,25.3,75.4,13.0,31.1,44.2,21.8,14.2,8.3,5.8,5.7,21.8,20.7,0.6,57.0,1.54,16.6,104.9,70.3,48.1,0.5,105.5,34.0,92.53,50.9,"6,236",51.9,15.0,52.5
Philadelphia 76ers,2011,66,35,31,0.53,48.2,93.6,37.4,83.6,44.8,5.3,14.6,36.2,13.5,18.2,74.2,10.7,32.5,43.2,22.0,11.2,8.0,5.2,4.8,17.5,16.2,4.2,58.8,1.97,17.5,98.2,71.2,48.0,4.6,102.7,27.7,90.68,53.2,"6,016",49.5,12.3,51.1
Houston Rockets,2011,66,34,32,0.515,48.7,98.1,37.7,84.0,44.9,7.2,20.2,35.9,15.4,19.7,78.2,11.7,30.5,42.2,21.3,14.5,7.5,4.8,5.2,20.4,18.4,0.2,56.4,1.47,16.4,104.0,69.2,49.2,0.2,104.2,30.9,92.82,49.7,"6,215",49.9,15.4,52.9
Phoenix Suns,2011,66,33,33,0.5,48.0,98.4,37.8,82.5,45.8,6.7,19.6,34.3,16.0,21.2,75.7,10.9,30.8,41.7,22.5,14.1,6.5,5.5,4.4,18.7,19.6,-0.2,59.6,1.6,17.4,105.2,68.7,49.9,-0.1,105.2,29.4,93.61,50.2,"6,173",49.3,15.0,53.6
Milwaukee Bucks,2011,66,31,35,0.47,48.1,99.0,37.9,85.6,44.3,6.6,19.2,34.5,16.6,21.4,77.4,12.4,30.0,42.5,23.5,14.1,8.3,5.1,4.5,19.3,19.4,0.3,62.0,1.67,17.6,104.1,67.5,48.1,0.4,104.5,31.4,94.68,50.3,"6,256",49.0,14.8,52.1
Portland Trail Blazers,2011,66,28,38,0.424,48.4,97.2,36.4,82.1,44.3,7.2,20.9,34.6,17.2,21.6,79.6,11.1,29.5,40.7,20.4,14.2,8.0,4.9,4.8,19.0,19.8,-0.6,56.2,1.44,16.1,105.3,69.1,48.8,-0.9,104.4,30.3,92.24,49.4,"6,143",49.3,15.2,53.1
Minnesota Timberwolves,2011,66,26,40,0.394,48.3,97.9,35.7,82.3,43.3,7.2,21.6,33.2,19.4,25.2,77.1,12.1,31.7,43.7,19.5,15.2,6.6,4.4,5.7,18.4,21.7,-2.2,54.8,1.29,15.1,105.3,69.3,47.7,-2.2,103.1,31.1,94.44,48.3,"6,268",50.2,16.0,52.4
Detroit Pistons,2011,66,25,41,0.379,48.4,90.9,34.7,79.3,43.8,4.8,13.9,34.6,16.6,22.1,75.2,11.7,28.5,40.3,18.7,15.7,7.0,4.2,5.3,19.6,19.4,-4.8,53.8,1.19,15.1,105.0,68.9,46.8,-5.0,100.0,32.2,90.31,44.8,"6,000",50.0,17.2,51.0
Golden State Warriors,2011,66,23,43,0.348,48.2,97.8,37.7,82.5,45.7,7.9,20.5,38.8,14.4,18.7,77.0,9.7,29.5,39.2,22.3,13.9,8.0,5.5,5.0,21.4,16.6,-3.4,59.1,1.61,17.4,107.3,65.8,50.5,-3.4,103.9,25.6,93.78,47.2,"6,212",46.0,14.7,53.9
Toronto Raptors,2011,66,23,43,0.348,48.4,90.7,34.4,78.1,44.0,5.5,16.3,34.0,16.4,21.4,77.0,10.6,31.4,42.0,20.9,15.2,6.5,4.9,4.9,23.2,18.4,-3.3,60.9,1.38,16.8,103.6,70.8,47.5,-3.9,99.6,29.4,90.19,47.8,"6,008",50.3,16.7,51.8
New Jersey Nets,2011,66,22,44,0.333,48.2,93.1,34.3,80.6,42.5,7.7,22.4,34.2,16.9,21.7,77.7,11.9,28.5,40.3,19.9,15.1,7.5,3.9,5.0,19.2,19.3,-6.0,58.0,1.32,15.8,108.1,67.7,47.3,-6.3,101.8,31.4,91.26,44.8,"6,036",48.9,16.5,51.6
Sacramento Kings,2011,66,22,44,0.333,48.2,98.8,37.7,86.5,43.6,6.2,19.7,31.6,17.1,23.2,73.6,13.4,29.5,42.9,19.3,14.4,8.5,4.9,6.4,19.5,19.9,-5.7,51.0,1.34,14.7,108.7,67.0,47.2,-5.8,102.9,32.1,95.56,45.1,"6,333",48.7,15.0,51.0
Cleveland Cavaliers,2011,66,21,45,0.318,48.4,93.0,34.3,81.2,42.2,6.7,19.3,34.6,17.8,24.9,71.6,12.7,29.5,42.3,19.8,15.4,7.1,4.0,6.2,20.0,20.9,-7.2,57.9,1.29,15.4,107.6,68.3,46.3,-7.6,100.0,32.3,92.34,43.9,"6,140",49.6,16.6,50.5
New Orleans Hornets,2011,66,21,45,0.318,48.3,89.6,34.8,77.3,45.1,3.9,11.8,33.3,16.0,21.2,75.7,11.0,30.2,41.1,20.7,15.5,7.4,4.8,5.8,20.1,18.7,-3.8,59.5,1.34,16.8,103.9,69.6,47.6,-4.0,99.9,31.0,89.27,48.2,"5,924",50.6,17.3,51.7
Washington Wizards,2011,66,20,46,0.303,48.1,93.6,36.6,83.0,44.1,5.2,16.3,32.0,15.3,21.0,72.7,11.7,29.9,41.7,19.1,15.3,8.0,6.3,4.5,21.3,18.7,-4.8,52.3,1.25,15.1,104.9,67.8,47.2,-5.0,100.0,30.8,93.59,46.0,"6,182",48.9,16.3,50.8
Charlotte Bobcats,2011,66,7,59,0.106,48.2,87.0,33.2,80.2,41.4,4.0,13.5,29.5,16.5,22.2,74.6,10.3,28.7,39.0,20.1,14.5,6.0,5.5,5.7,18.9,20.3,-13.9,60.5,1.39,16.0,109.4,67.8,43.9,-15.0,94.4,28.5,91.86,41.1,"6,080",47.4,15.7,48.3
