TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%
Indiana Pacers,2003,82,61,21,0.744,48.3,91.4,33.6,77.1,43.5,5.5,15.6,35.1,18.8,24.6,76.4,11.8,29.9,41.7,21.6,14.4,8.9,5.0,6.2,20.8,0.1,5.8,64.4,1.5,17.3,96.2,70.6,47.1,6.3,102.5,32.0,88.54,53.9,"7,311",51.1,16.2,52.0
Minnesota Timberwolves,2003,82,58,24,0.707,48.2,94.5,37.0,80.1,46.2,4.0,10.9,36.3,16.6,21.3,78.1,10.7,32.3,42.9,23.0,12.7,6.8,5.6,3.6,21.1,0.1,5.5,62.3,1.81,18.2,98.5,69.1,48.6,5.7,104.2,30.3,90.24,55.4,"7,441",50.7,14.0,52.8
San Antonio Spurs,2003,82,57,25,0.695,48.2,91.5,34.7,78.5,44.2,5.0,13.9,35.8,17.2,25.2,68.1,12.5,32.5,45.1,20.4,14.7,8.1,6.5,4.6,20.3,0.0,7.2,59.0,1.39,16.3,93.1,71.0,47.3,7.9,101.0,31.9,90.23,56.6,"7,428",51.6,16.2,51.1
Los Angeles Lakers,2003,82,56,26,0.683,48.4,98.2,36.9,81.4,45.4,4.5,13.6,32.7,19.9,28.7,69.3,12.2,30.9,43.1,23.8,13.8,8.3,4.6,3.8,21.1,0.1,3.9,64.3,1.72,17.9,100.1,70.1,48.1,4.1,104.2,31.3,93.39,53.8,"7,729",50.6,14.6,52.2
Sacramento Kings,2003,82,55,27,0.671,48.2,102.8,37.8,81.8,46.2,7.3,18.3,40.1,19.8,24.9,79.5,10.8,30.4,41.2,26.2,13.9,8.7,4.0,5.0,19.3,0.0,5.0,69.4,1.89,19.6,103.2,67.6,50.7,5.4,108.6,29.2,94.25,54.4,"7,765",48.8,14.6,55.4
Detroit Pistons,2003,82,54,28,0.659,48.2,90.1,33.5,77.0,43.5,4.1,11.8,34.4,19.0,25.3,75.3,12.4,30.4,42.8,20.8,15.1,8.0,7.0,5.0,20.3,0.0,5.8,62.0,1.37,16.6,93.9,68.6,46.1,6.5,100.3,33.2,89.34,55.8,"7,365",51.2,16.8,51.1
Dallas Mavericks,2003,82,52,30,0.634,48.3,105.2,40.5,88.2,45.9,6.2,17.8,34.8,18.0,22.6,79.6,14.3,31.0,45.3,23.9,12.2,8.0,5.3,4.7,19.6,0.0,4.4,59.1,1.96,17.7,105.9,68.6,49.5,4.5,110.4,33.5,94.62,52.7,"7,814",50.7,12.8,53.6
Memphis Grizzlies,2003,82,50,32,0.61,48.5,96.7,36.1,81.2,44.5,5.5,16.0,34.0,19.0,26.1,72.7,12.8,29.0,41.8,23.4,15.0,9.7,6.9,5.6,23.2,0.0,2.4,64.6,1.56,17.7,100.8,65.5,47.9,2.6,103.4,32.5,92.6,52.2,"7,670",48.9,16.0,52.2
New Jersey Nets,2003,82,47,35,0.573,48.1,90.3,34.3,77.7,44.1,4.6,13.7,33.6,17.0,22.6,75.3,10.5,30.2,40.7,24.5,14.7,8.6,3.9,4.6,21.0,0.1,2.5,71.4,1.66,19.1,96.4,71.1,47.1,2.6,99.0,28.9,90.97,53.3,"7,475",50.1,16.2,51.5
Houston Rockets,2003,82,45,37,0.549,48.6,89.8,33.4,75.5,44.2,6.3,17.1,36.6,16.7,21.6,77.3,10.3,32.3,42.6,19.3,16.7,6.8,5.4,4.4,21.5,0.0,1.7,57.7,1.15,15.8,97.8,70.8,48.4,1.9,99.7,30.5,88.92,51.3,"7,384",51.6,18.6,52.8
Denver Nuggets,2003,82,43,39,0.524,48.1,97.2,36.5,82.5,44.3,4.0,12.0,33.6,20.2,26.3,76.7,13.2,29.1,42.3,21.9,15.6,9.1,6.3,5.8,22.0,0.1,1.1,59.9,1.4,16.5,101.4,66.4,46.7,1.0,102.4,33.7,94.64,50.5,"7,786",49.8,16.4,51.7
Miami Heat,2003,82,42,40,0.512,48.2,90.3,33.3,78.3,42.5,5.9,16.5,35.7,17.8,23.4,76.2,11.5,30.0,41.5,19.1,13.9,7.2,3.8,5.4,22.1,0.0,0.5,57.3,1.38,15.6,100.3,70.7,46.3,0.3,100.6,30.7,89.3,49.6,"7,361",50.4,15.4,51.0
Utah Jazz,2003,82,42,40,0.512,48.2,88.7,32.8,75.3,43.6,3.1,9.6,32.1,20.0,26.8,74.6,13.5,27.7,41.2,20.4,16.6,7.1,6.0,6.5,25.6,0.1,-1.2,62.1,1.22,16.3,101.3,69.1,45.6,-1.3,100.0,37.3,88.26,49.3,"7,271",52.9,18.8,50.9
