,TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%,W_RANK,L_RANK,OFFRTG_RANK,DEFRTG_RANK,NETRTG_RANK,AST%_RANK,AST/TO_RANK,AST_RATIO_RANK,OREB%_RANK,DREB%_RANK,REB%_RANK,TOV%_RANK,EFG%_RANK,TS%_RANK,PACE_RANK,PIE_RANK,WIN%_RANK,PTS_RANK,FGM_RANK,FGA_RANK,FG%_RANK,3PM_RANK,3PA_RANK,3P%_RANK,FTM_RANK,FTA_RANK,FT%_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,+/-_RANK
0,Dallas Mavericks,2002,82,60,22,0.732,48.2,103.0,38.5,85.1,45.3,7.8,20.3,38.1,18.1,21.9,82.9,11.1,31.0,42.1,22.4,11.6,8.1,5.5,3.9,21.1,0.1,7.8,58.1,1.94,17.3,101.0,67.7,49.8,8.3,109.3,27.7,93.75,54.6,"7,726",47.8,12.3,54.3,1,28,1,19,1,20,1,10,28,22,27,29,3,1,8,4,1,1,3,2,7,2,2,3,15,26,1,24,8,17,9,29,11,13,27,21,2,1
1,San Antonio Spurs,2002,82,60,22,0.732,48.4,95.8,35.5,76.8,46.2,5.5,15.5,35.4,19.4,26.8,72.5,11.5,31.2,42.6,20.0,15.8,7.7,6.5,5.1,20.4,0.0,5.4,56.3,1.26,15.9,98.1,68.7,49.7,5.8,103.9,31.1,91.46,54.9,"7,558",50.8,17.1,54.1,2,29,8,27,3,25,24,20,16,16,12,6,4,3,20,3,2,12,14,27,4,11,11,11,9,5,26,20,5,11,22,6,17,1,12,25,22,3
2,Sacramento Kings,2002,82,59,23,0.72,48.4,101.7,39.5,85.2,46.4,6.0,15.7,38.1,16.7,22.3,74.6,11.0,33.5,44.5,24.8,14.5,9.0,5.6,4.3,20.3,0.0,6.5,62.7,1.71,18.3,97.8,67.8,49.9,6.6,104.4,28.9,96.63,55.1,"7,987",49.3,14.9,53.5,3,27,6,28,2,6,4,3,25,20,21,24,2,5,1,1,3,3,1,1,3,7,8,4,24,24,18,25,1,3,3,17,2,10,24,26,23,2
3,Minnesota Timberwolves,2002,82,51,31,0.622,48.3,98.1,38.7,83.0,46.6,3.6,9.8,36.8,17.1,22.3,77.0,11.7,31.9,43.6,25.2,13.7,6.7,5.3,4.9,20.8,0.0,2.1,65.3,1.84,19.0,102.5,69.5,48.8,2.2,104.8,31.0,93.08,52.9,"7,681",50.8,14.6,52.8,4,26,5,14,11,3,2,2,17,9,13,27,6,7,9,7,4,7,2,5,2,24,27,6,23,25,10,16,3,7,2,24,29,15,19,23,24,11
4,Detroit Pistons,2002,82,50,32,0.61,48.5,91.4,32.9,76.5,43.0,6.5,18.1,35.8,19.0,24.6,77.1,10.8,29.8,40.6,19.8,13.5,6.8,5.7,4.3,21.3,0.2,3.7,60.0,1.47,16.2,98.2,70.7,47.3,4.2,102.4,29.4,88.26,52.5,"7,318",49.9,15.1,52.3,5,23,15,26,5,14,14,17,24,2,15,20,14,14,29,8,5,25,26,28,24,6,6,8,12,12,9,26,18,25,23,25,28,7,25,20,1,5
5,Los Angeles Lakers,2002,82,50,32,0.61,48.6,100.4,37.7,83.6,45.1,5.9,16.7,35.6,19.0,26.0,73.4,13.1,31.1,44.3,23.3,14.5,7.8,5.7,3.8,22.9,0.1,2.3,61.8,1.6,17.4,103.4,69.3,48.6,2.2,105.6,32.8,93.78,52.0,"7,797",50.9,15.3,52.8,6,24,4,11,12,10,6,8,8,11,9,19,8,8,7,9,6,4,4,4,9,8,7,10,13,8,25,5,7,4,4,18,15,8,28,5,3,9
6,Portland Trail Blazers,2002,82,50,32,0.61,48.4,95.2,36.4,79.2,46.0,4.6,14.0,33.0,17.7,23.7,74.5,12.1,29.0,41.1,22.7,15.2,8.8,3.9,4.8,19.9,0.1,2.6,62.3,1.49,17.7,101.5,68.9,48.9,2.7,104.2,33.8,90.44,51.5,"7,486",51.5,16.7,53.1,7,25,7,15,7,7,12,4,5,13,5,9,5,6,24,12,7,15,10,22,5,19,16,24,19,17,19,13,24,22,8,11,3,24,20,28,4,7
7,New Jersey Nets,2002,82,49,33,0.598,48.2,95.4,35.4,80.3,44.1,4.2,12.7,33.2,20.3,26.8,75.7,12.1,30.8,42.9,23.0,14.8,8.7,4.6,5.2,21.6,0.1,5.2,64.9,1.56,17.6,96.6,70.2,46.8,5.4,102.1,31.7,93.0,54.4,"7,661",51.0,15.8,51.8,8,22,20,29,4,4,9,6,13,4,8,14,21,18,11,5,8,14,17,18,14,22,22,22,5,6,15,14,12,10,7,12,5,21,8,16,5,4
8,Indiana Pacers,2002,82,48,34,0.585,48.5,96.8,35.5,80.6,44.1,4.6,13.6,33.9,21.2,27.7,76.6,12.2,32.0,44.2,23.3,14.8,8.5,5.4,6.3,22.1,0.1,3.5,65.6,1.58,17.7,99.6,69.4,46.9,3.5,103.2,31.8,92.71,53.8,"7,696",50.9,15.7,52.2,9,20,12,25,6,2,7,5,11,10,10,17,20,15,12,6,9,9,15,16,15,20,19,20,4,3,13,12,2,5,5,13,8,14,3,10,6,6
9,Philadelphia 76ers,2002,82,48,34,0.585,48.4,96.8,36.3,81.0,44.8,3.0,9.6,31.1,21.3,27.5,77.5,12.7,29.5,42.2,21.6,14.8,10.3,3.5,6.4,22.0,0.1,2.3,59.5,1.46,16.5,100.6,70.4,46.6,2.6,103.2,32.4,93.07,51.6,"7,694",50.9,15.8,52.0,10,21,13,21,8,17,16,14,9,3,11,15,23,17,10,11,10,10,11,15,10,27,28,28,2,4,8,7,20,16,14,14,1,28,2,11,7,10
10,New Orleans Hornets,2002,82,47,35,0.573,48.5,93.9,35.5,81.6,43.5,4.9,13.1,37.6,17.9,23.3,76.8,13.4,30.2,43.6,22.0,14.8,8.0,4.8,5.2,21.6,0.1,2.1,62.0,1.49,17.0,100.0,69.7,46.5,2.4,102.4,34.5,90.72,51.7,"7,522",51.8,16.1,51.1,11,18,16,24,10,9,13,13,3,6,2,12,24,25,23,10,11,19,16,12,23,15,21,5,18,20,11,4,13,8,11,15,13,18,9,17,8,12
11,Utah Jazz,2002,82,47,35,0.573,48.2,94.7,35.3,75.5,46.8,2.7,7.8,34.9,21.3,28.6,74.5,12.5,29.0,41.5,25.6,16.8,8.6,5.7,5.2,22.4,0.1,2.4,72.7,1.53,19.5,101.1,67.3,48.6,2.6,103.7,35.3,90.78,55.1,"7,483",51.9,18.4,53.7,12,19,9,18,9,1,10,1,2,23,1,3,9,4,22,2,12,17,18,29,1,29,29,15,3,2,20,8,25,20,1,4,7,9,10,8,9,8
12,Boston Celtics,2002,82,44,38,0.537,48.4,92.7,32.9,79.4,41.5,8.8,26.3,33.4,18.0,24.3,74.2,10.4,30.1,40.5,19.2,14.0,8.8,3.7,4.5,21.4,0.0,-0.4,58.3,1.37,15.5,100.5,69.1,47.0,-0.6,100.0,26.6,91.95,48.0,"7,602",47.4,15.1,51.4,13,16,24,22,18,19,19,24,29,12,29,21,19,20,18,22,13,22,27,21,27,1,1,21,17,16,22,28,14,26,27,22,4,25,22,19,25,18
13,Phoenix Suns,2002,82,44,38,0.537,48.3,95.5,36.6,82.6,44.3,4.8,14.0,34.3,17.4,23.5,74.2,12.8,29.8,42.5,21.0,14.7,8.1,4.9,5.5,22.0,0.1,1.1,57.2,1.42,16.2,101.3,67.2,47.3,1.3,102.6,32.3,92.59,49.8,"7,637",49.6,15.8,51.4,14,17,14,16,14,21,17,18,10,25,18,16,15,21,15,15,14,13,8,6,13,17,17,18,21,19,23,6,19,13,17,16,12,17,6,12,10,14
14,Houston Rockets,2002,82,43,39,0.524,48.6,93.8,34.6,78.8,44.0,5.4,15.5,34.6,19.1,24.9,76.8,12.5,31.3,43.8,18.4,15.6,7.2,6.0,4.6,19.5,0.1,1.5,53.0,1.18,14.7,100.9,69.8,47.4,1.5,102.4,33.1,90.36,51.1,"7,508",51.8,17.0,52.2,15,15,17,20,13,29,27,29,7,5,3,7,13,16,25,13,15,20,23,24,18,12,12,16,11,11,12,9,4,6,28,9,23,5,21,29,11,13
