TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%
Chicago Bulls,1997,82.0,62.0,20.0,0.756,48.4,96.7,37.4,82.9,45.1,3.8,11.7,32.3,18.2,24.5,74.3,15.2,29.7,44.9,23.8,14.4,8.5,4.3,4.3,20.6,0.2,7.1,63.7,1.66,18.0,98.4,67.6,47.3,7.8,106.2,38.1,90.3,56.0,"7,471",52.7,15.8,51.6
Utah Jazz,1997,82.0,62.0,20.0,0.756,48.2,101.0,36.5,74.5,49.0,3.0,8.2,37.2,24.9,32.2,77.3,11.7,29.3,41.1,25.2,15.4,7.9,5.0,5.2,23.9,0.3,6.5,69.2,1.64,19.4,103.8,68.4,51.0,7.2,110.9,35.2,90.55,57.1,"7,464",52.9,16.9,56.9
Los Angeles Lakers,1997,82.0,61.0,21.0,0.744,48.4,105.5,38.4,79.7,48.1,6.1,17.3,35.1,22.7,33.5,67.9,13.2,30.1,43.3,24.5,15.3,9.0,6.8,5.2,22.7,0.1,7.7,63.9,1.6,18.1,102.3,65.6,51.9,8.1,110.4,33.9,94.85,55.8,"7,836",50.3,16.0,55.9
Seattle SuperSonics,1997,82.0,61.0,21.0,0.744,48.2,100.6,37.2,78.8,47.3,7.6,19.2,39.5,18.5,25.7,72.1,11.4,27.1,38.5,24.2,14.0,9.8,4.6,4.9,22.1,0.2,7.2,65.1,1.73,18.7,102.3,63.5,52.1,7.9,110.1,32.1,90.96,54.4,"7,487",48.1,15.3,55.8
Indiana Pacers,1997,82.0,58.0,24.0,0.707,48.4,96.0,35.6,75.9,46.9,4.9,12.5,39.0,19.9,26.0,76.4,10.7,28.6,39.3,23.0,14.2,7.9,4.5,4.5,22.7,0.1,6.1,64.7,1.62,18.3,99.5,65.7,50.2,6.8,106.3,30.5,89.69,55.3,"7,410",49.0,15.8,55.0
Phoenix Suns,1997,82.0,56.0,26.0,0.683,48.7,99.6,38.3,81.8,46.8,5.3,14.8,35.6,17.8,23.8,74.9,12.1,29.9,42.0,25.9,15.1,9.2,5.2,3.9,21.5,0.2,5.2,67.7,1.72,19.3,100.6,66.4,50.0,5.6,106.3,32.1,92.47,54.7,"7,685",49.7,16.1,54.0
San Antonio Spurs,1997,82.0,56.0,26.0,0.683,48.4,92.5,35.3,75.5,46.8,3.7,10.5,35.0,18.2,26.4,68.8,12.0,32.2,44.2,22.4,16.1,6.3,6.9,4.6,21.1,0.2,4.0,63.5,1.4,17.7,98.0,69.6,49.3,4.4,102.4,32.6,89.65,55.1,"7,407",52.4,17.8,53.1
Miami Heat,1997,82.0,55.0,27.0,0.671,48.2,95.0,34.8,77.2,45.0,6.7,18.8,35.5,18.8,25.4,73.9,12.5,29.5,42.0,21.4,15.0,8.1,5.2,4.5,24.2,0.2,4.9,61.7,1.43,17.0,100.5,66.9,49.4,5.2,105.7,33.9,89.35,53.5,"7,367",50.8,16.6,53.8
Charlotte Hornets,1997,82.0,51.0,31.0,0.622,48.2,96.6,36.2,77.4,46.8,4.2,11.0,38.3,20.0,26.7,75.1,12.0,28.5,40.6,23.7,15.2,8.4,3.8,4.5,21.4,0.3,2.0,65.4,1.56,18.3,103.3,69.1,49.5,2.2,105.5,32.6,91.13,52.6,"7,511",51.0,16.6,54.2
Atlanta Hawks,1997,82.0,50.0,32.0,0.61,48.5,95.9,35.2,77.5,45.5,4.1,12.4,33.2,21.3,28.2,75.6,13.5,29.5,43.0,19.1,14.8,7.9,6.0,4.5,20.4,0.2,3.5,54.3,1.29,15.3,102.5,66.9,48.1,4.0,106.5,35.6,89.1,53.2,"7,377",51.8,16.5,53.3
