TEAM,YEAR,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST_RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Cleveland Cavaliers,2009,82,61,21,3956.0,110.6,103.8,6.8,59.2,1.61,17.7,29.3,72.5,51.9,15.0,53.2,57.0,91.77,55.2,"7,573"
Orlando Magic,2009,82,59,23,3946.0,110.7,102.8,7.9,53.7,1.40,15.8,28.0,72.6,51.2,15.2,53.6,57.3,92.54,55.1,"7,614"
Los Angeles Lakers,2009,82,57,25,3966.0,107.6,102.7,4.9,55.0,1.58,16.2,31.4,70.8,51.2,14.1,49.6,53.8,93.73,52.9,"7,749"
Dallas Mavericks,2009,82,55,27,3976.0,107.8,105.0,2.8,61.1,1.81,18.0,27.9,69.7,49.3,13.7,50.6,55.2,93.60,53.4,"7,757"
Phoenix Suns,2009,82,54,28,3946.0,113.9,109.1,4.8,57.3,1.58,17.5,31.1,67.3,50.3,15.2,54.6,58.5,96.43,53.6,"7,937"
Atlanta Hawks,2009,82,53,29,3971.0,111.0,106.0,4.9,56.2,1.83,17.1,32.0,68.5,50.2,13.0,50.6,54.5,90.77,52.3,"7,515"
Denver Nuggets,2009,82,53,29,3956.0,110.8,106.5,4.4,55.0,1.51,16.1,30.4,68.7,49.8,14.4,50.9,56.1,95.61,52.4,"7,876"
Utah Jazz,2009,82,53,29,3951.0,109.7,104.0,5.7,67.8,1.76,19.8,31.3,71.8,52.0,16.0,52.4,56.5,94.68,55.0,"7,791"
Boston Celtics,2009,82,50,32,3956.0,106.9,103.2,3.7,63.5,1.58,18.5,27.4,69.7,49.3,16.0,52.2,56.4,92.22,54.0,"7,609"
Oklahoma City Thunder,2009,82,50,32,3961.0,107.0,103.5,3.5,53.5,1.34,15.5,32.0,69.4,51.1,15.8,49.4,54.7,94.13,53.2,"7,774"
Portland Trail Blazers,2009,82,50,32,3971.0,109.6,106.1,3.5,56.3,1.65,16.6,32.0,70.2,51.0,13.8,49.9,54.7,88.64,52.5,"7,339"
San Antonio Spurs,2009,82,50,32,3956.0,109.3,103.9,5.4,58.1,1.64,17.4,30.3,72.0,51.5,14.7,51.5,55.2,92.26,53.2,"7,605"
Miami Heat,2009,82,47,35,3976.0,105.7,103.4,2.4,51.9,1.43,15.4,29.4,70.1,50.0,14.4,49.6,53.7,90.30,52.2,"7,485"
Milwaukee Bucks,2009,82,46,36,3996.0,104.0,101.9,2.1,57.0,1.60,16.4,29.8,72.6,50.1,14.1,48.2,51.8,92.60,49.5,"7,698"
Charlotte Bobcats,2009,82,44,38,3976.0,103.9,102.0,1.9,58.0,1.29,16.1,31.5,69.8,51.0,17.2,49.0,53.8,90.91,51.8,"7,519"
Houston Rockets,2009,82,42,40,3981.0,106.8,106.8,0.0,57.9,1.51,16.5,30.9,69.9,49.8,15.1,49.4,53.7,94.91,48.9,"7,857"
Chicago Bulls,2009,82,41,41,3981.0,102.6,104.2,-1.6,55.3,1.45,16.0,30.3,70.9,50.9,15.1,47.7,52.0,94.02,50.0,"7,794"
Memphis Grizzlies,2009,82,40,42,3981.0,107.5,109.0,-1.5,47.9,1.24,14.4,35.5,69.8,52.3,16.0,49.4,53.6,94.29,48.6,"7,816"
Toronto Raptors,2009,82,40,42,3956.0,110.2,112.2,-2.0,56.4,1.64,17.1,28.8,69.2,49.5,14.2,52.1,56.4,93.94,48.9,"7,746"
New Orleans Hornets,2009,82,37,45,3966.0,106.5,108.9,-2.4,57.5,1.66,17.3,28.2,69.6,48.6,14.3,50.6,54.3,93.53,48.4,"7,721"
Indiana Pacers,2009,82,32,50,3941.0,103.0,106.0,-3.0,57.3,1.40,16.1,25.5,69.0,47.3,15.4,49.1,53.6,97.77,47.6,"8,024"
Los Angeles Clippers,2009,82,29,53,3941.0,102.3,109.1,-6.8,60.3,1.41,17.1,30.5,69.7,50.0,16.8,49.1,52.9,93.44,46.5,"7,670"
New York Knicks,2009,82,29,53,3976.0,106.4,110.3,-4.0,56.7,1.54,16.6,26.8,69.1,47.6,14.6,50.9,54.7,95.03,47.4,"7,872"
Detroit Pistons,2009,82,27,55,3956.0,104.5,110.3,-5.9,54.1,1.45,15.5,34.6,69.7,51.0,14.9,47.4,51.5,89.46,44.8,"7,379"
Philadelphia 76ers,2009,82,27,55,3961.0,104.8,108.9,-4.1,55.8,1.45,16.4,31.0,69.3,49.8,15.6,49.6,53.4,92.72,47.8,"7,648"
Golden State Warriors,2009,82,26,56,3946.0,107.0,110.3,-3.3,55.2,1.53,16.5,25.4,65.9,45.3,14.4,51.4,55.7,101.52,47.0,"8,338"
Washington Wizards,2009,82,26,56,3966.0,103.1,108.3,-5.3,51.8,1.28,15.0,31.7,69.1,50.1,15.9,48.1,52.4,92.60,46.2,"7,656"
Sacramento Kings,2009,82,25,57,3976.0,104.4,109.1,-4.7,53.4,1.37,15.7,31.5,70.0,50.4,15.6,49.1,52.8,94.78,46.7,"7,855"
Minnesota Timberwolves,2009,82,15,67,3956.0,100.6,110.4,-9.8,52.4,1.22,15.0,30.8,70.5,50.1,16.7,47.8,51.8,97.12,43.2,"8,002"
New Jersey Nets,2009,82,12,70,3956.0,99.3,108.9,-9.6,54.7,1.30,15.1,28.5,68.6,47.8,15.5,45.8,50.9,92.65,42.9,"7,628"
