TEAM,YEAR,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST_RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Golden State Warriors,2016,82,67,15,3956.0,114.8,103.4,11.4,70.5,2.06,21.2,27.2,70.9,50.4,14.6,56.3,59.7,100.37,57.9,"8,279"
San Antonio Spurs,2016,82,61,21,3961.0,110.3,102.9,7.4,60.6,1.77,18.1,28.2,73.0,51.1,14.1,52.4,56.4,94.86,55.1,"7,832"
Houston Rockets,2016,82,55,27,3956.0,114.1,108.4,5.7,62.6,1.67,18.1,28.1,71.7,49.9,15.0,54.5,58.3,100.55,51.6,"8,289"
Boston Celtics,2016,82,53,29,3951.0,110.6,108.0,2.6,65.3,1.90,18.8,25.9,70.5,48.5,13.6,52.5,56.7,97.21,51.4,"8,005"
Cleveland Cavaliers,2016,82,51,31,3976.0,112.8,109.7,3.1,56.7,1.66,17.1,26.4,72.2,49.9,14.0,54.7,58.0,96.74,51.0,"8,019"
LA Clippers,2016,82,51,31,3951.0,111.8,107.5,4.4,57.0,1.74,17.2,25.6,73.3,50.1,13.3,53.7,57.4,96.77,52.7,"7,968"
Toronto Raptors,2016,82,51,31,3956.0,111.4,107.1,4.3,47.2,1.46,14.5,29.1,71.7,50.5,13.2,51.7,56.1,95.41,51.6,"7,867"
Utah Jazz,2016,82,51,31,3951.0,109.0,104.7,4.3,54.4,1.48,16.2,27.0,74.3,51.4,14.8,52.6,56.3,92.09,53.4,"7,579"
Washington Wizards,2016,82,49,33,3971.0,110.4,108.8,1.7,57.7,1.68,17.6,28.6,71.6,50.1,14.3,52.8,56.4,97.94,51.1,"8,109"
Oklahoma City Thunder,2016,82,47,35,3961.0,107.9,107.1,0.8,53.2,1.40,15.5,32.3,74.2,52.8,15.2,50.0,54.0,98.18,49.9,"8,099"
Atlanta Hawks,2016,82,43,39,3976.0,104.5,105.2,-0.7,62.1,1.50,17.4,28.2,71.7,50.2,16.0,50.4,54.1,97.76,50.6,"8,091"
Memphis Grizzlies,2016,82,43,39,3981.0,107.0,106.5,0.5,58.4,1.65,16.5,29.5,73.1,50.7,13.7,49.1,53.5,92.84,50.1,"7,702"
Indiana Pacers,2016,82,42,40,3971.0,107.9,108.1,-0.2,57.2,1.63,17.2,25.5,71.3,48.8,14.1,51.6,55.8,96.59,50.5,"7,989"
Milwaukee Bucks,2016,82,42,40,3956.0,108.5,108.7,-0.2,62.4,1.73,18.5,26.0,70.6,48.7,14.6,52.7,56.5,94.99,50.4,"7,828"
Chicago Bulls,2016,82,41,41,3956.0,106.5,106.2,0.3,58.4,1.66,16.8,31.1,73.3,51.9,14.0,48.7,53.0,96.02,50.4,"7,919"
Miami Heat,2016,82,41,41,3956.0,107.4,106.4,1.0,54.4,1.58,16.3,28.4,71.8,49.9,14.0,51.2,54.1,95.51,50.0,"7,875"
Portland Trail Blazers,2016,82,41,41,3986.0,109.4,110.0,-0.6,53.4,1.54,16.0,26.9,72.0,49.6,13.9,52.0,55.9,97.38,49.3,"8,088"
Denver Nuggets,2016,82,40,42,3951.0,112.2,111.7,0.4,61.5,1.69,18.2,31.4,75.3,53.2,15.0,53.0,56.8,99.18,50.3,"8,167"
Detroit Pistons,2016,82,37,45,3961.0,105.3,106.7,-1.4,53.0,1.78,16.1,28.6,77.5,51.9,12.3,49.2,52.1,95.52,48.2,"7,890"
Charlotte Hornets,2016,82,36,46,3966.0,108.4,108.4,0.0,61.1,2.01,17.6,24.7,74.9,49.6,11.9,50.1,54.7,95.92,50.5,"7,934"
New Orleans Pelicans,2016,82,34,48,3981.0,104.7,106.8,-2.1,58.2,1.77,17.1,22.8,72.8,48.0,12.9,50.4,53.9,98.56,49.3,"8,173"
Dallas Mavericks,2016,82,33,49,3956.0,104.7,107.7,-3.0,57.4,1.75,16.8,21.6,73.3,46.5,12.7,50.5,54.1,93.11,47.9,"7,668"
Sacramento Kings,2016,82,32,50,3976.0,106.6,110.8,-4.2,59.4,1.54,17.3,25.8,72.3,49.2,15.2,51.6,55.6,95.42,47.8,"7,911"
Minnesota Timberwolves,2016,82,31,51,3961.0,110.0,110.9,-0.9,60.0,1.69,17.7,30.9,71.0,50.7,14.6,51.1,55.5,95.48,50.1,"7,870"
New York Knicks,2016,82,31,51,3971.0,107.1,110.7,-3.6,55.1,1.57,16.3,30.5,69.8,50.0,14.3,49.6,53.4,96.63,48.2,"7,990"
Orlando Magic,2016,82,29,53,3961.0,103.7,110.3,-6.5,58.0,1.67,16.8,26.7,72.6,49.1,13.7,48.9,52.4,96.90,46.0,"7,989"
Philadelphia 76ers,2016,82,28,54,3966.0,102.7,108.2,-5.5,63.1,1.43,17.4,27.3,70.9,49.0,16.7,50.1,53.9,99.07,47.0,"8,179"
Los Angeles Lakers,2016,82,26,56,3941.0,105.3,112.0,-6.7,53.2,1.38,15.6,28.4,71.7,49.4,15.3,50.1,53.7,99.26,44.6,"8,143"
Phoenix Suns,2016,82,24,58,3966.0,106.1,111.3,-5.2,49.1,1.27,14.4,29.9,71.8,50.3,15.2,49.3,53.8,100.85,46.2,"8,320"
Brooklyn Nets,2016,82,20,62,3951.0,103.6,110.1,-6.5,56.6,1.29,15.9,24.1,71.6,48.3,16.2,50.7,55.1,101.75,46.0,"8,371"
