,TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%,W_RANK,L_RANK,OFFRTG_RANK,DEFRTG_RANK,NETRTG_RANK,AST%_RANK,AST/TO_RANK,AST_RATIO_RANK,OREB%_RANK,DREB%_RANK,REB%_RANK,TOV%_RANK,EFG%_RANK,TS%_RANK,PACE_RANK,PIE_RANK,WIN%_RANK,PTS_RANK,FGM_RANK,FGA_RANK,FG%_RANK,3PM_RANK,3PA_RANK,3P%_RANK,FTM_RANK,FTA_RANK,FT%_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,+/-_RANK
0,Chicago Bulls,1997,82,62,20,0.756,48.4,96.7,37.4,82.9,45.1,3.8,11.7,32.3,18.2,24.5,74.3,15.2,29.7,44.9,23.8,14.4,8.5,4.3,4.3,20.6,0.2,7.1,63.7,1.66,18.0,98.4,67.6,47.3,7.8,106.2,38.1,90.3,56.0,"7,471",52.7,15.8,51.6,1,28,8,27,3,10,4,8,2,7,2,23,19,19,22,2,1,9,5,7,15,17,14,23,19,24,14,3,6,2,7,23,10,23,27,25,6,3
1,Utah Jazz,1997,82,62,20,0.756,48.2,101.0,36.5,74.5,49.0,3.0,8.2,37.2,24.9,32.2,77.3,11.7,29.3,41.1,25.2,15.4,7.9,5.0,5.2,23.9,0.3,6.5,69.2,1.64,19.4,103.8,68.4,51.0,7.2,110.9,35.2,90.55,57.1,"7,464",52.9,16.9,56.9,2,29,1,10,4,1,5,1,7,5,1,14,3,1,21,1,2,3,10,29,1,26,29,4,1,2,1,26,11,18,2,14,17,16,10,3,1,4
2,Los Angeles Lakers,1997,82,61,21,0.744,48.4,105.5,38.4,79.7,48.1,6.1,17.3,35.1,22.7,33.5,67.9,13.2,30.1,43.3,24.5,15.3,9.0,6.8,5.2,22.7,0.1,7.7,63.9,1.6,18.1,102.3,65.6,51.9,8.1,110.4,33.9,94.85,55.8,"7,836",50.3,16.0,55.9,3,26,2,18,1,9,8,7,12,19,13,21,2,2,2,3,3,1,2,13,2,5,5,12,2,1,29,11,4,5,4,15,7,3,11,11,22,1
3,Seattle SuperSonics,1997,82,61,21,0.744,48.2,100.6,37.2,78.8,47.3,7.6,19.2,39.5,18.5,25.7,72.1,11.4,27.1,38.5,24.2,14.0,9.8,4.6,4.9,22.1,0.2,7.2,65.1,1.73,18.7,102.3,63.5,52.1,7.9,110.1,32.1,90.96,54.4,"7,487",48.1,15.3,55.8,4,27,3,19,2,7,2,3,25,27,26,26,1,3,20,7,4,4,7,15,3,1,2,1,18,19,23,28,24,29,5,28,3,18,15,18,7,2
4,Indiana Pacers,1997,82,58,24,0.707,48.4,96.0,35.6,75.9,46.9,4.9,12.5,39.0,19.9,26.0,76.4,10.7,28.6,39.3,23.0,14.2,7.9,4.5,4.5,22.7,0.1,6.1,64.7,1.62,18.3,99.5,65.7,50.2,6.8,106.3,30.5,89.69,55.3,"7,410",49.0,15.8,55.0,5,25,6,25,5,8,7,5,29,17,22,24,4,4,24,4,5,12,16,26,4,9,12,2,13,17,6,29,13,27,11,26,18,20,21,12,23,5
5,Phoenix Suns,1997,82,56,26,0.683,48.7,99.6,38.3,81.8,46.8,5.3,14.8,35.6,17.8,23.8,74.9,12.1,29.9,42.0,25.9,15.1,9.2,5.2,3.9,21.5,0.2,5.2,67.7,1.72,19.3,100.6,66.4,50.0,5.6,106.3,32.1,92.47,54.7,"7,685",49.7,16.1,54.0,6,23,7,23,6,2,3,2,26,13,19,20,5,7,12,6,6,5,3,9,5,6,7,9,24,26,11,21,5,10,1,19,6,11,28,22,8,6
6,San Antonio Spurs,1997,82,56,26,0.683,48.4,92.5,35.3,75.5,46.8,3.7,10.5,35.0,18.2,26.4,68.8,12.0,32.2,44.2,22.4,16.1,6.3,6.9,4.6,21.1,0.2,4.0,63.5,1.4,17.7,98.0,69.6,49.3,4.4,102.4,32.6,89.65,55.1,"7,407",52.4,17.8,53.1,7,24,15,28,8,11,14,11,22,2,4,6,9,10,25,5,7,23,18,28,6,19,23,14,20,11,27,22,1,3,12,9,29,2,19,24,9,8
7,Miami Heat,1997,82,55,27,0.671,48.2,95.0,34.8,77.2,45.0,6.7,18.8,35.5,18.8,25.4,73.9,12.5,29.5,42.0,21.4,15.0,8.1,5.2,4.5,24.2,0.2,4.9,61.7,1.43,17.0,100.5,66.9,49.4,5.2,105.7,33.9,89.35,53.5,"7,367",50.8,16.6,53.8,8,22,11,24,7,14,11,14,13,10,8,16,8,8,27,8,8,16,24,25,17,3,3,10,17,21,16,19,9,11,18,20,15,12,22,2,10,7
8,Charlotte Hornets,1997,82,51,31,0.622,48.2,96.6,36.2,77.4,46.8,4.2,11.0,38.3,20.0,26.7,75.1,12.0,28.5,40.6,23.7,15.2,8.4,3.8,4.5,21.4,0.3,2.0,65.4,1.56,18.3,103.3,69.1,49.5,2.2,105.5,32.6,91.13,52.6,"7,511",51.0,16.6,54.2,9,21,12,14,12,5,9,6,23,3,7,17,7,6,18,11,9,10,11,24,7,12,19,3,11,9,10,23,14,21,8,17,11,26,23,23,2,12
9,Atlanta Hawks,1997,82,50,32,0.61,48.5,95.9,35.2,77.5,45.5,4.1,12.4,33.2,21.3,28.2,75.6,13.5,29.5,43.0,19.1,14.8,7.9,6.0,4.5,20.4,0.2,3.5,54.3,1.29,15.3,102.5,66.9,48.1,4.0,106.5,35.6,89.1,53.2,"7,377",51.8,16.5,53.3,10,20,4,17,9,27,22,25,4,11,5,18,12,9,28,9,10,13,19,23,11,13,13,20,3,5,7,9,10,6,26,21,19,4,24,26,11,9
