,TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%,W_RANK,L_RANK,OFFRTG_RANK,DEFRTG_RANK,NETRTG_RANK,AST%_RANK,AST/TO_RANK,AST_RATIO_RANK,OREB%_RANK,DREB%_RANK,REB%_RANK,TOV%_RANK,EFG%_RANK,TS%_RANK,PACE_RANK,PIE_RANK,WIN%_RANK,PTS_RANK,FGM_RANK,FGA_RANK,FG%_RANK,3PM_RANK,3PA_RANK,3P%_RANK,FTM_RANK,FTA_RANK,FT%_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,+/-_RANK
0,San Antonio Spurs,2000,82,58,24,0.707,48.4,96.2,35.2,76.4,46.1,5.4,13.3,40.7,20.4,28.5,71.5,11.0,33.1,44.1,21.7,14.0,6.9,7.0,5.2,18.9,0.0,7.8,61.7,1.55,17.2,96.6,70.3,49.6,8.3,105.0,29.7,90.87,57.3,"7,514",51.1,15.2,54.1,1,29,6,29,1,11,9,11,22,4,7,23,6,4,24,1,1,12,18,27,4,10,15,1,4,1,25,24,1,9,16,23,24,1,15,29,21,1
1,Los Angeles Lakers,2000,82,56,26,0.683,48.5,100.6,37.9,81.5,46.5,5.4,15.5,34.4,19.4,28.5,68.3,13.2,31.5,44.7,23.0,14.4,6.9,6.0,4.0,22.8,0.1,3.4,60.7,1.59,17.4,103.6,69.1,49.8,3.5,107.0,33.8,92.9,53.2,"7,710",51.7,15.4,53.5,2,27,1,8,8,14,7,9,3,10,4,21,2,7,15,6,2,3,4,11,3,11,9,20,10,2,29,4,7,5,9,21,25,5,28,13,1,8
2,Philadelphia 76ers,2000,82,56,26,0.683,48.4,94.7,35.4,79.1,44.7,3.2,9.8,32.6,20.7,27.8,74.5,13.1,31.7,44.8,20.6,15.8,8.4,5.0,5.6,20.4,0.0,4.3,58.3,1.31,16.0,97.3,70.4,46.8,4.6,101.9,33.4,92.09,53.6,"7,619",52.3,17.0,51.8,3,28,14,25,4,21,23,21,4,3,1,7,18,14,19,5,3,15,16,19,12,28,28,26,3,3,18,5,5,4,21,6,5,17,10,26,22,4
3,Sacramento Kings,2000,82,55,27,0.671,49.0,101.7,38.2,85.0,44.9,5.8,16.5,35.4,19.5,25.3,77.1,12.0,33.0,45.0,22.6,14.9,9.7,5.3,5.8,19.5,0.0,5.8,59.1,1.52,16.8,98.5,67.9,48.4,5.7,104.2,30.7,95.61,54.0,"8,010",49.7,15.2,52.9,4,26,10,23,2,19,10,15,16,22,18,24,9,9,3,4,4,1,2,2,10,7,6,13,8,11,5,14,2,3,10,17,1,13,8,28,23,2
4,Dallas Mavericks,2000,82,53,29,0.646,48.3,100.5,37.6,81.9,45.9,6.3,16.5,38.1,18.9,23.8,79.4,10.1,31.4,41.5,21.2,13.9,7.5,6.0,4.6,23.3,0.1,4.3,56.4,1.52,16.5,101.2,67.8,49.8,4.4,105.6,27.2,94.52,52.3,"7,803",48.1,14.6,54.4,5,24,4,17,5,24,11,17,29,23,26,27,3,2,4,8,5,4,5,10,5,3,7,3,13,21,2,27,9,21,18,24,19,6,23,8,2,5
5,Utah Jazz,2000,82,53,29,0.646,48.2,97.1,36.1,76.7,47.1,4.0,10.4,38.1,20.9,27.8,75.2,11.5,29.1,40.6,25.7,15.8,8.1,5.6,5.5,25.7,0.1,4.7,71.3,1.63,19.6,100.9,70.1,49.7,5.2,106.1,33.2,91.08,54.8,"7,503",51.9,17.3,54.6,6,25,3,19,3,1,5,1,6,6,3,4,4,1,22,2,6,10,11,26,1,21,26,4,1,4,16,19,24,23,1,7,11,9,11,1,3,3
6,Milwaukee Bucks,2000,82,52,30,0.634,48.2,100.7,38.0,82.9,45.8,6.9,18.1,37.9,18.0,22.9,78.7,11.9,30.5,42.4,22.5,13.7,8.2,4.7,4.3,23.5,0.1,3.9,59.3,1.64,17.2,102.6,68.3,49.9,4.2,106.8,30.1,93.89,51.9,"7,733",49.4,14.5,54.2,7,23,2,12,6,17,4,12,21,18,22,28,1,3,9,13,7,2,3,8,6,2,2,5,17,25,3,15,15,15,11,27,7,21,26,6,4,7
7,Phoenix Suns,2000,82,51,31,0.622,48.3,94.0,35.9,82.4,43.6,4.0,12.9,31.5,18.2,24.1,75.5,11.8,30.8,42.7,23.2,15.3,9.5,5.2,5.1,22.7,0.1,2.2,64.7,1.52,17.5,96.7,70.2,46.0,2.3,98.9,30.5,94.41,52.1,"7,792",50.0,16.1,50.6,8,22,23,28,11,9,12,8,18,5,15,16,21,23,5,11,8,17,12,9,20,22,18,28,15,19,15,16,11,14,6,12,2,15,18,14,5,13
8,Miami Heat,2000,82,50,32,0.61,48.5,88.9,32.9,76.3,43.0,5.8,16.9,34.5,17.4,22.9,75.9,9.9,29.7,39.6,19.9,13.7,7.7,3.7,5.2,21.0,0.1,2.3,60.5,1.45,16.4,97.1,70.0,46.9,2.3,99.4,28.0,88.39,52.3,"7,331",49.0,15.3,51.5,9,20,20,26,12,15,14,18,26,7,23,22,17,15,28,9,9,27,29,28,24,8,5,19,23,26,10,28,21,27,23,28,16,29,16,25,6,10
9,Portland Trail Blazers,2000,82,50,32,0.61,48.2,95.4,36.6,78.3,46.8,4.5,12.9,34.9,17.6,23.2,76.2,11.7,30.3,42.0,23.9,15.3,8.2,5.1,4.0,21.3,0.1,4.2,65.3,1.56,18.6,100.5,70.0,49.7,4.2,104.7,33.3,90.53,54.4,"7,475",52.2,16.8,53.9,10,21,7,20,7,8,8,3,5,8,2,8,5,5,26,3,10,14,9,24,2,16,19,16,22,23,9,17,17,18,5,13,8,16,29,20,7,6
10,New York Knicks,2000,82,48,34,0.585,48.5,88.7,33.6,75.6,44.4,4.8,13.6,35.1,16.8,21.1,79.6,9.4,30.8,40.2,18.5,14.5,6.6,4.2,4.1,22.7,0.1,2.6,55.2,1.28,15.6,97.0,70.7,47.6,3.0,100.0,27.6,87.74,52.0,"7,276",49.8,16.3,52.3,11,19,18,27,9,26,24,24,28,2,16,15,11,10,29,12,11,28,27,29,13,13,13,14,27,29,1,29,12,25,29,20,28,27,27,15,8,9
11,Minnesota Timberwolves,2000,82,47,35,0.573,48.4,97.3,38.4,83.8,45.8,3.9,11.0,35.7,16.6,21.2,78.5,12.2,30.1,42.3,25.4,13.9,8.3,5.6,4.4,23.2,0.1,1.4,66.2,1.83,19.0,102.4,68.2,48.2,1.6,103.9,31.5,92.99,51.8,"7,679",49.8,14.8,52.3,12,17,11,13,15,4,2,2,13,19,17,25,10,11,14,14,12,7,1,6,7,25,25,9,29,28,4,12,18,16,2,25,6,10,25,10,9,15
12,Toronto Raptors,2000,82,47,35,0.573,48.7,97.6,37.2,85.0,43.7,5.2,14.2,36.9,18.1,24.2,74.7,13.6,30.8,44.5,24.4,13.2,7.3,6.3,5.4,21.3,0.1,2.3,65.7,1.86,18.2,102.0,70.0,46.8,2.3,104.4,33.9,92.22,52.2,"7,671",51.5,14.1,51.0,13,18,8,16,13,7,1,4,2,9,5,29,19,20,18,10,13,5,6,3,19,12,11,6,16,17,17,2,13,6,3,29,21,3,12,21,10,11
13,Charlotte Hornets,2000,82,46,36,0.561,48.5,91.9,34.1,79.3,43.1,4.1,12.0,34.6,19.5,26.2,74.5,12.6,31.8,44.4,23.2,14.4,8.1,5.5,4.6,21.4,0.1,2.1,67.9,1.61,17.8,97.6,71.0,45.7,2.1,99.7,31.5,91.24,52.7,"7,565",51.3,15.6,50.6,14,16,19,24,14,2,6,7,14,1,6,20,24,24,21,7,14,24,24,17,22,19,20,17,9,8,19,8,4,7,7,22,12,11,24,19,11,14
14,Houston Rockets,2000,82,45,37,0.549,48.4,97.2,35.9,79.2,45.3,6.1,17.2,35.7,19.3,25.4,75.8,11.2,30.8,42.0,19.7,14.7,7.2,4.4,4.9,20.2,0.0,2.3,54.8,1.34,15.7,102.8,69.1,49.2,2.4,105.2,30.5,91.66,50.9,"7,575",50.2,15.9,53.8,15,15,5,11,10,27,20,23,19,11,12,17,7,6,20,16,15,9,13,18,9,5,4,10,11,10,14,21,14,19,25,18,22,25,20,27,24,12
15,Seattle SuperSonics,2000,82,44,38,0.537,48.3,97.3,36.9,81.1,45.6,5.7,14.3,39.9,17.7,24.2,73.2,12.2,29.5,41.7,21.9,15.3,8.0,5.0,6.2,21.1,0.1,0.0,59.2,1.43,16.9,104.2,66.8,49.1,0.2,104.4,32.1,92.69,49.4,"7,643",49.6,16.4,53.0,16,14,9,5,17,18,16,13,11,28,21,12,8,8,16,18,16,8,7,13,8,9,10,2,20,18,23,13,23,20,14,14,13,18,4,22,12,17
16,Orlando Magic,2000,82,43,39,0.524,48.7,97.5,36.7,83.8,43.8,6.0,16.4,36.4,18.0,25.2,71.4,13.0,29.9,42.9,22.0,15.2,8.2,5.9,5.4,25.3,0.1,1.0,59.8,1.45,16.6,101.1,66.2,47.4,1.0,102.1,32.1,94.14,49.5,"7,828",48.9,15.9,51.3,17,13,13,18,16,16,15,16,12,29,24,18,13,18,6,17,17,6,8,7,18,6,8,7,18,12,26,6,19,10,13,15,9,7,13,2,13,16
17,Indiana Pacers,2000,82,41,41,0.5,48.7,92.6,34.5,78.4,44.0,4.8,14.1,34.2,18.8,24.5,76.6,11.2,31.6,42.9,21.5,15.2,6.9,5.9,4.7,23.5,0.1,-0.2,62.3,1.42,16.9,100.5,68.5,47.1,-0.2,100.3,29.7,90.89,51.0,"7,566",49.7,16.4,51.9,18,12,15,21,18,10,17,14,23,16,19,13,15,13,23,15,18,19,22,23,15,14,12,22,14,16,7,22,6,11,17,16,26,8,22,7,14,18
