,TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%,W_RANK,L_RANK,OFFRTG_RANK,DEFRTG_RANK,NETRTG_RANK,AST%_RANK,AST/TO_RANK,AST_RATIO_RANK,OREB%_RANK,DREB%_RANK,REB%_RANK,TOV%_RANK,EFG%_RANK,TS%_RANK,PACE_RANK,PIE_RANK,WIN%_RANK,PTS_RANK,FGM_RANK,FGA_RANK,FG%_RANK,3PM_RANK,3PA_RANK,3P%_RANK,FTM_RANK,FTA_RANK,FT%_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,+/-_RANK
18,Denver Nuggets,2000,82,40,42,0.488,48.2,96.6,36.3,83.9,43.3,6.2,17.6,35.5,17.7,24.0,73.7,12.7,31.5,44.2,24.0,13.9,6.7,6.6,6.1,22.2,0.0,-2.5,66.1,1.73,18.0,104.9,69.0,47.0,-2.8,102.2,30.6,93.98,48.0,"7,751",49.7,14.7,51.1,19,11,12,4,21,6,3,5,17,14,20,26,16,19,7,19,19,11,10,4,21,4,3,12,21,20,22,7,8,8,4,26,27,2,6,17,25,21
19,Boston Celtics,2000,82,36,46,0.439,48.4,94.6,33.8,79.1,42.8,7.2,19.9,36.3,19.8,26.7,74.0,10.9,28.9,39.8,20.8,15.7,9.4,4.1,5.4,23.8,0.0,-2.1,61.6,1.33,16.2,102.3,69.0,47.3,-2.2,100.1,28.0,93.81,46.8,"7,748",47.8,16.6,52.1,20,10,17,15,20,12,21,19,27,15,28,10,14,12,10,23,20,16,26,20,25,1,1,8,6,7,20,25,26,26,19,10,3,28,14,4,26,20
20,Detroit Pistons,2000,82,32,50,0.39,48.4,95.6,35.6,83.9,42.4,4.7,13.6,35.0,19.6,27.2,72.1,13.5,32.0,45.5,19.9,15.9,7.5,5.5,4.8,23.8,0.1,-1.7,55.8,1.25,14.9,100.3,69.1,45.3,-1.8,98.5,32.5,96.15,48.0,"7,955",50.5,16.4,49.8,21,9,24,22,19,25,26,28,9,12,9,14,26,27,1,20,21,13,15,5,27,15,14,15,7,6,24,3,3,1,24,4,20,12,21,5,15,19
21,Los Angeles Clippers,2000,82,31,51,0.378,48.9,92.5,35.3,78.9,44.8,4.4,13.0,33.9,17.4,25.1,69.3,11.7,31.2,42.9,19.3,15.8,6.0,6.3,5.0,21.6,0.0,-2.9,54.7,1.23,15.3,103.2,68.2,47.6,-2.9,100.3,32.2,90.67,47.6,"7,559",50.6,17.1,51.4,22,8,16,10,22,28,27,27,10,20,8,6,12,16,25,21,22,20,17,21,11,17,17,23,24,13,28,18,10,12,27,8,29,4,19,18,27,22
22,Cleveland Cavaliers,2000,82,30,52,0.366,48.4,92.2,35.2,79.7,44.2,2.7,8.0,33.4,19.0,24.9,76.5,12.4,29.8,42.1,20.8,16.5,7.8,5.3,6.6,23.2,0.1,-4.2,59.1,1.27,16.2,103.5,67.8,45.9,-4.2,99.3,33.1,92.32,46.9,"7,613",50.5,17.7,50.9,23,7,22,9,23,20,25,20,7,24,10,3,23,22,17,22,23,22,19,15,14,29,29,24,12,14,8,10,20,17,20,3,15,14,1,11,16,23
23,New Jersey Nets,2000,82,26,56,0.317,48.1,92.1,33.9,79.9,42.5,4.4,13.2,33.3,19.9,26.2,75.9,11.1,28.5,39.6,19.5,14.7,7.9,5.0,6.4,24.2,0.0,-5.0,57.6,1.33,15.4,103.8,67.3,45.2,-5.4,98.4,29.2,93.35,44.6,"7,674",47.7,15.7,50.4,24,6,25,7,24,23,22,26,25,26,29,19,27,25,12,27,24,23,25,14,26,18,16,25,5,9,11,23,28,28,26,19,14,19,2,3,28,24
24,Atlanta Hawks,2000,82,25,57,0.305,48.1,91.0,35.1,81.3,43.1,4.1,11.4,35.7,16.8,22.1,75.9,12.5,30.4,42.9,19.0,16.7,7.7,4.7,6.3,22.7,0.1,-5.2,54.2,1.14,14.9,102.4,69.1,45.6,-5.5,96.9,31.3,93.63,45.2,"7,695",50.1,17.8,50.0,25,5,27,14,25,29,29,29,15,13,14,2,25,26,11,26,25,26,20,12,23,20,24,11,28,27,12,9,16,13,28,2,17,22,3,16,17,25
25,Vancouver Grizzlies,2000,82,23,59,0.28,48.2,91.7,35.0,79.7,43.9,4.0,11.5,34.3,17.8,23.1,77.0,10.9,29.6,40.5,23.2,15.7,7.1,4.4,5.8,21.1,0.1,-5.7,66.2,1.47,17.9,104.2,67.5,46.4,-6.0,98.2,29.3,93.03,46.5,"7,662",48.4,16.8,51.0,26,4,26,6,26,5,13,6,24,25,25,9,20,21,13,24,26,25,21,16,16,23,23,21,19,24,6,26,22,24,8,11,23,26,9,23,18,26
26,Washington Wizards,2000,82,19,63,0.232,48.0,93.2,34.5,78.7,43.9,3.4,10.3,32.4,20.8,27.4,75.9,12.4,28.9,41.3,20.1,17.0,7.7,4.7,6.2,23.3,0.1,-6.7,58.1,1.18,15.6,106.2,68.4,46.0,-6.8,99.4,32.8,93.97,45.3,"7,695",50.2,18.1,51.4,27,3,21,1,27,22,28,25,8,17,13,1,22,17,8,25,27,18,23,22,17,26,27,27,2,5,13,11,27,22,22,1,18,23,5,9,19,27
27,Golden State Warriors,2000,82,17,65,0.207,48.2,92.5,35.8,87.5,40.9,3.4,11.8,29.3,17.4,24.7,70.6,16.4,29.1,45.5,21.8,15.9,9.0,5.0,6.0,21.1,0.1,-9.0,60.9,1.37,15.9,105.5,68.0,42.9,-9.2,96.3,35.7,95.7,42.7,"7,879",50.4,16.5,47.0,28,2,28,3,28,13,19,22,1,21,11,11,29,29,2,29,28,21,14,1,29,27,21,29,25,15,27,1,25,2,15,5,4,20,7,24,20,28
28,Chicago Bulls,2000,82,15,67,0.183,48.4,87.6,33.2,78.2,42.4,4.0,11.6,34.6,17.2,23.3,73.9,11.3,27.6,38.9,22.1,15.8,8.2,4.6,5.2,23.2,0.0,-9.1,66.5,1.4,17.4,105.9,67.3,45.0,-10.0,95.9,30.2,90.47,43.2,"7,486",48.0,17.3,49.5,29,1,29,2,29,3,18,10,20,27,27,5,28,28,27,28,29,29,28,25,28,24,22,18,26,22,21,20,29,29,12,9,10,24,17,12,29,29
