,TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%,W_RANK,L_RANK,OFFRTG_RANK,DEFRTG_RANK,NETRTG_RANK,AST%_RANK,AST/TO_RANK,AST_RATIO_RANK,OREB%_RANK,DREB%_RANK,REB%_RANK,TOV%_RANK,EFG%_RANK,TS%_RANK,PACE_RANK,PIE_RANK,WIN%_RANK,PTS_RANK,FGM_RANK,FGA_RANK,FG%_RANK,3PM_RANK,3PA_RANK,3P%_RANK,FTM_RANK,FTA_RANK,FT%_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,+/-_RANK
0,Los Angeles Lakers,1999,82,67,15,0.817,48.3,100.8,38.3,83.4,45.9,4.2,12.8,32.9,20.1,28.9,69.6,13.6,33.4,47.0,23.4,13.9,7.5,6.5,4.2,22.5,2.5,8.5,61.2,1.68,17.4,96.4,70.5,48.4,9.0,105.4,32.4,95.04,57.3,"7,840",51.8,14.6,52.5,1,29,5,29,1,13,3,9,12,2,2,27,14,14,13,1,1,6,6,11,7,17,17,24,5,3,28,5,1,1,10,25,18,4,26,20,11,1
1,Portland Trail Blazers,1999,82,59,23,0.72,48.2,97.5,36.8,78.4,47.0,5.0,13.8,36.1,18.8,24.7,76.0,11.8,31.2,43.0,23.5,15.2,7.7,4.8,4.3,22.7,1.7,6.4,63.7,1.55,18.2,99.5,69.3,50.1,6.9,106.5,33.5,91.03,55.9,"7,505",52.3,16.6,54.6,2,28,2,23,2,9,10,6,3,11,1,9,2,3,26,2,2,16,13,25,1,14,14,12,17,18,11,20,10,13,8,16,15,16,24,19,28,2
2,Indiana Pacers,1999,82,56,26,0.683,48.1,101.3,37.2,81.0,45.9,7.1,18.1,39.2,19.9,24.5,81.1,10.3,31.9,42.1,22.6,14.1,6.8,5.1,3.9,21.8,2.3,4.6,60.9,1.6,17.5,101.7,69.1,50.3,5.1,106.8,27.6,94.7,53.4,"7,777",49.2,14.9,55.2,3,27,1,17,5,14,8,8,29,12,25,23,1,1,15,8,3,4,10,20,8,1,4,1,7,20,1,28,5,20,13,23,26,14,29,22,16,5
3,Utah Jazz,1999,82,55,27,0.671,48.2,96.5,36.1,77.8,46.4,4.0,10.4,38.5,20.3,26.2,77.3,11.4,29.6,41.0,24.9,14.9,7.7,5.4,5.0,24.5,2.8,4.5,68.9,1.67,19.1,101.1,69.8,49.0,4.6,105.7,32.9,90.84,55.1,"7,488",51.6,16.3,54.0,4,26,4,19,6,1,5,2,7,6,3,12,8,4,28,4,4,20,23,27,4,23,26,3,3,8,9,22,23,24,3,20,16,10,18,6,4,6
4,Phoenix Suns,1999,82,53,29,0.646,48.3,98.9,37.7,82.6,45.7,5.6,15.2,36.8,17.9,23.6,75.9,12.5,31.2,43.7,25.6,16.7,9.1,5.3,5.2,24.1,2.7,5.2,67.8,1.53,18.8,97.3,67.6,49.1,5.4,102.7,31.6,95.67,54.2,"7,895",50.0,17.3,53.2,5,24,15,27,4,4,11,3,17,21,16,6,7,9,10,6,5,12,8,14,10,8,10,10,23,24,12,14,11,10,2,6,4,12,14,10,7,4
5,San Antonio Spurs,1999,82,53,29,0.646,48.4,96.2,36.0,78.0,46.2,4.0,10.8,37.4,20.1,27.0,74.6,11.3,32.5,43.8,22.2,15.0,7.5,6.7,5.2,20.9,2.0,5.9,61.6,1.48,17.3,97.1,70.3,48.8,6.4,103.5,30.1,92.11,55.6,"7,620",51.2,16.2,53.5,6,25,11,28,3,12,15,10,22,4,5,15,10,7,24,3,6,21,24,26,5,24,24,6,6,5,16,24,2,8,16,17,19,2,15,27,23,3
6,Miami Heat,1999,82,52,30,0.634,48.4,94.4,36.3,78.8,46.0,5.4,14.7,37.1,16.4,22.3,73.6,11.2,31.9,43.2,23.5,15.0,7.1,6.4,4.4,23.7,2.1,3.1,64.9,1.57,18.3,99.4,69.6,49.5,3.1,102.5,30.4,91.22,54.3,"7,548",50.8,16.3,53.3,7,23,17,25,7,7,9,5,21,8,6,13,3,8,25,5,7,24,19,23,6,9,12,8,29,25,21,25,6,12,9,18,24,5,23,13,22,7
7,Minnesota Timberwolves,1999,82,50,32,0.61,48.5,98.5,39.3,84.3,46.7,3.0,8.7,34.6,16.8,21.6,78.0,12.4,30.1,42.5,26.9,13.9,7.6,5.4,4.2,23.3,2.3,2.5,68.4,1.94,19.8,101.7,69.6,48.5,2.5,104.2,31.8,93.37,53.1,"7,751",50.7,14.7,52.5,8,21,8,18,10,3,1,1,16,9,8,25,13,15,22,9,8,13,2,6,2,28,28,17,26,28,7,15,16,19,1,26,17,11,27,15,17,10
8,New York Knicks,1999,82,50,32,0.61,48.4,92.1,35.3,77.7,45.5,4.3,11.4,37.5,17.2,22.0,78.1,9.8,30.7,40.5,19.4,14.6,6.3,4.3,4.3,24.2,2.8,1.5,54.8,1.32,15.8,99.5,69.9,48.2,1.5,100.9,27.7,90.54,50.7,"7,485",49.6,16.0,52.7,9,22,22,24,11,26,23,23,28,5,21,17,15,12,29,12,9,27,26,28,11,16,20,5,24,27,5,29,13,29,27,22,28,24,25,9,5,11
9,Charlotte Hornets,1999,82,49,33,0.598,48.2,98.4,35.8,79.7,44.9,4.1,12.2,33.9,22.7,30.0,75.8,10.8,32.1,42.9,24.7,14.7,8.9,5.9,5.1,20.4,2.2,2.7,68.9,1.68,18.4,99.7,71.2,47.5,2.8,102.5,28.3,95.58,54.1,"7,876",50.1,15.3,53.0,10,19,18,22,9,2,4,4,26,1,14,22,18,11,11,7,10,14,25,22,17,20,19,18,2,2,13,27,3,16,4,21,6,7,16,28,19,9
10,Philadelphia 76ers,1999,82,49,33,0.598,48.4,94.8,36.5,82.6,44.2,2.5,7.8,32.3,19.2,27.1,70.8,14.0,30.1,44.1,22.2,15.7,9.6,4.7,6.5,23.6,2.5,1.3,60.7,1.42,16.6,98.3,68.0,45.7,1.5,99.9,33.5,94.25,50.8,"7,782",50.4,16.5,50.1,11,20,25,26,12,15,17,17,4,18,12,10,27,26,20,11,11,23,17,15,21,29,29,26,12,4,26,2,17,7,17,11,2,18,1,14,12,13
11,Seattle SuperSonics,1999,82,45,37,0.549,48.2,99.1,37.9,84.7,44.7,6.7,19.6,33.9,16.6,23.9,69.5,12.7,30.3,43.0,22.9,14.0,8.0,4.2,5.3,21.7,2.2,1.0,60.4,1.63,17.2,103.1,67.3,48.7,1.0,104.0,31.2,94.74,49.6,"7,809",49.1,14.8,52.0,12,17,9,13,14,16,6,12,18,24,26,24,11,18,14,17,12,10,7,5,19,3,3,19,27,23,29,11,15,14,12,24,13,26,11,23,20,14
12,Toronto Raptors,1999,82,45,37,0.549,48.2,97.2,36.3,83.9,43.3,5.2,14.3,36.3,19.3,25.2,76.5,13.4,29.9,43.3,23.7,13.9,8.1,6.6,5.3,24.3,2.0,-0.2,65.3,1.71,17.7,102.8,68.6,46.4,-0.1,102.7,32.4,94.3,50.0,"7,760",49.9,14.7,51.1,13,18,16,14,17,5,2,7,13,15,17,26,24,24,18,14,13,17,20,8,25,11,13,11,11,15,10,7,19,11,6,27,11,3,12,8,24,17
13,Sacramento Kings,1999,82,44,38,0.537,48.3,105.0,40.0,88.9,45.0,6.5,20.2,32.2,18.5,24.6,75.4,12.9,32.1,45.0,23.8,16.2,9.6,4.6,4.9,21.1,2.6,2.9,59.6,1.47,17.0,100.7,67.9,48.6,2.9,103.6,30.8,100.66,51.3,"8,306",49.3,16.0,52.6,14,16,10,20,8,17,16,15,19,19,24,18,12,13,1,10,14,1,1,1,15,4,1,28,19,19,14,10,4,4,5,7,3,21,19,25,9,8
14,Detroit Pistons,1999,82,42,40,0.512,48.4,103.5,37.1,80.9,45.9,5.4,14.9,35.9,23.9,30.6,78.1,11.2,30.0,41.2,20.8,15.7,8.1,3.3,4.8,24.5,3.5,1.4,56.1,1.33,15.7,103.8,69.4,49.2,1.4,105.2,29.5,97.56,50.6,"8,063",49.5,16.0,54.8,15,14,6,12,13,25,22,26,24,10,23,19,6,2,3,13,15,2,12,21,9,10,11,14,1,1,6,26,18,22,22,12,12,29,21,7,2,12
15,Milwaukee Bucks,1999,82,42,40,0.512,48.4,101.2,38.7,83.3,46.5,4.8,13.0,36.9,19.0,24.2,78.6,12.4,28.9,41.3,22.6,15.0,8.2,4.6,4.1,24.6,2.2,0.2,58.3,1.51,17.1,106.2,66.7,49.4,0.3,106.5,32.7,94.27,49.8,"7,796",49.7,15.8,53.9,16,15,3,4,16,21,12,14,9,27,20,21,4,5,19,15,16,5,4,12,3,15,15,9,16,21,3,16,26,21,14,19,10,22,28,5,21,16
16,Orlando Magic,1999,82,41,41,0.5,48.2,100.1,38.6,85.5,45.2,3.6,10.6,33.8,19.2,26.1,73.5,14.0,31.0,44.9,20.8,17.6,9.1,5.7,5.8,24.0,2.8,0.7,53.9,1.18,15.3,100.3,66.9,47.3,0.8,101.1,34.4,98.68,49.7,"8,120",50.6,17.8,51.6,17,13,21,21,15,27,27,27,2,26,9,4,21,22,2,16,17,7,5,4,13,26,25,21,13,11,22,3,12,5,23,2,5,8,6,11,6,15
17,Dallas Mavericks,1999,82,40,42,0.488,48.1,101.4,39.0,85.9,45.3,6.3,16.2,39.1,17.2,21.4,80.4,11.4,29.8,41.2,22.1,13.7,7.2,5.1,5.1,21.6,3.8,-0.6,56.7,1.61,16.7,105.2,64.7,49.0,-0.5,104.7,28.1,96.64,49.3,"7,941",46.6,14.2,53.2,18,12,7,6,18,23,7,16,27,29,29,29,9,10,6,18,18,3,3,3,12,5,7,2,25,29,2,23,20,23,18,28,22,15,17,24,1,18
18,Boston Celtics,1999,82,35,47,0.427,48.1,99.3,37.2,83.9,44.4,5.1,15.4,33.1,19.8,26.5,74.5,13.5,29.5,43.0,21.2,15.4,9.7,3.5,5.8,27.1,2.3,-0.8,57.0,1.38,15.9,103.9,70.5,47.4,-1.1,102.9,32.7,96.19,47.6,"7,918",50.6,15.9,52.0,19,10,13,10,20,22,19,22,10,3,10,20,19,19,7,22,19,9,11,9,20,13,9,23,8,7,18,6,24,15,21,14,1,28,7,1,18,19
19,Denver Nuggets,1999,82,35,47,0.427,48.4,99.0,37.3,84.3,44.2,5.7,17.0,33.6,18.7,25.8,72.4,13.1,31.6,44.7,23.3,15.6,6.8,7.5,5.6,23.9,2.5,-2.1,62.5,1.49,17.2,104.5,68.8,47.6,-2.3,102.2,32.1,95.95,48.3,"7,944",50.4,16.1,51.7,20,11,19,8,22,10,14,13,14,14,13,16,16,20,8,20,20,11,9,7,22,7,5,22,18,12,24,8,7,6,11,13,27,1,9,12,13,22
20,Houston Rockets,1999,82,34,48,0.415,48.4,99.5,36.6,81.3,45.0,7.1,19.8,35.8,19.2,26.2,73.3,12.3,31.5,43.8,21.6,17.4,7.5,5.3,5.3,20.3,1.8,-0.9,59.1,1.24,16.3,104.2,69.1,49.4,-0.8,103.3,32.1,95.54,49.0,"7,892",50.8,18.1,53.6,21,9,12,9,19,18,24,19,15,13,7,2,5,6,12,19,21,8,15,19,16,2,2,15,14,9,23,17,8,9,19,3,20,13,13,29,27,20
21,Cleveland Cavaliers,1999,82,32,50,0.39,48.4,97.0,36.3,82.1,44.2,4.2,11.2,37.3,20.2,26.9,75.0,12.3,30.5,42.8,23.7,17.4,8.7,4.4,6.1,27.1,3.0,-3.5,65.2,1.36,17.3,102.2,68.5,46.8,-3.5,98.7,30.8,97.36,47.5,"8,051",49.6,17.7,51.6,22,8,26,16,24,6,20,11,20,17,22,5,22,23,4,23,22,18,21,17,23,18,21,7,4,6,15,18,14,17,7,4,9,23,3,2,3,24
22,New Jersey Nets,1999,82,31,51,0.378,48.4,98.0,36.3,83.9,43.3,5.8,16.8,34.7,19.5,24.9,78.4,12.7,28.2,40.9,20.6,13.6,8.8,4.8,5.7,23.3,2.4,-1.0,56.7,1.51,15.8,103.9,65.7,46.8,-1.1,102.8,29.8,94.63,47.9,"7,820",47.2,14.3,51.7,23,7,14,11,21,24,13,24,23,28,28,28,23,21,16,21,23,15,22,10,26,6,6,16,9,17,4,12,29,25,25,29,8,17,8,16,14,21
23,Washington Wizards,1999,82,29,53,0.354,48.3,96.6,36.7,81.5,45.1,4.1,10.9,37.6,19.1,25.7,74.3,13.0,29.7,42.7,21.6,16.1,7.2,4.7,6.1,26.2,2.7,-3.3,58.8,1.34,16.4,105.2,68.6,47.6,-3.4,101.8,32.9,94.33,47.1,"7,781",50.6,17.0,52.1,24,6,20,7,23,19,21,18,8,16,11,7,17,17,17,24,24,19,14,18,14,21,23,4,15,13,19,9,21,18,20,9,23,19,4,3,8,23
24,Atlanta Hawks,1999,82,28,54,0.341,48.4,94.3,36.6,83.0,44.1,3.1,9.9,31.7,18.0,24.2,74.3,14.0,31.3,45.3,18.9,15.4,6.1,5.6,4.9,21.0,1.6,-5.4,51.6,1.22,14.6,105.8,69.8,46.0,-5.7,100.1,33.4,93.55,46.2,"7,731",51.6,16.4,50.3,25,5,24,5,25,28,26,28,5,7,4,11,25,25,21,25,25,25,16,13,24,27,27,29,22,22,20,4,9,3,28,15,29,9,20,26,29,25
25,Vancouver Grizzlies,1999,82,22,60,0.268,48.4,93.9,35.3,78.5,44.9,4.0,11.0,36.1,19.4,25.1,77.4,12.3,28.3,40.6,20.7,16.8,7.4,4.2,6.3,22.9,2.4,-5.6,58.8,1.23,16.2,106.7,67.9,47.4,-6.0,100.7,32.6,92.46,45.7,"7,647",50.1,18.1,52.4,26,4,23,2,26,20,25,21,11,20,15,3,20,16,23,26,26,26,27,24,18,25,22,13,10,16,8,19,27,27,24,5,21,27,2,18,15,26
26,Golden State Warriors,1999,82,19,63,0.232,48.2,95.5,36.5,87.1,42.0,4.2,13.0,32.3,18.3,26.2,69.7,15.9,29.7,45.6,22.6,15.9,8.9,4.3,6.0,24.9,2.0,-8.3,61.8,1.42,16.3,106.5,67.3,44.4,-8.4,98.0,34.6,97.11,43.1,"7,991",49.9,16.3,48.4,27,3,27,3,27,11,18,20,1,25,18,14,28,29,5,27,27,22,18,2,28,19,16,27,20,10,27,1,22,2,15,10,7,25,5,4,25,27
