,TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%,W_RANK,L_RANK,OFFRTG_RANK,DEFRTG_RANK,NETRTG_RANK,AST%_RANK,AST/TO_RANK,AST_RATIO_RANK,OREB%_RANK,DREB%_RANK,REB%_RANK,TOV%_RANK,EFG%_RANK,TS%_RANK,PACE_RANK,PIE_RANK,WIN%_RANK,PTS_RANK,FGM_RANK,FGA_RANK,FG%_RANK,3PM_RANK,3PA_RANK,3P%_RANK,FTM_RANK,FTA_RANK,FT%_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,+/-_RANK
0,Utah Jazz,2020,72,52,20,0.722,48.2,116.4,41.3,88.1,46.8,16.7,43.0,38.9,17.2,21.5,79.9,10.6,37.6,48.3,23.7,14.2,6.6,5.2,3.9,18.5,19.0,9.3,57.3,1.66,17.3,107.5,75.7,56.3,9.0,116.5,28.4,99.37,54.2,"7,193",52.9,14.2,59.7,1,30,4,28,1,22,23,22,5,2,1,12,5,3,16,1,1,4,15,18,14,1,1,4,11,14,8,3,2,1,22,13,29,8,28,23,17,1
1,Phoenix Suns,2020,72,51,21,0.708,48.6,115.3,43.3,88.3,49.0,13.1,34.6,37.8,15.6,18.7,83.4,8.8,34.2,42.9,26.9,12.5,7.2,4.3,3.6,19.1,18.0,5.8,62.2,2.15,19.6,110.4,74.1,56.4,5.9,116.3,24.8,98.0,53.4,"7,137",50.0,12.6,59.7,2,29,6,25,3,9,1,1,25,11,14,27,3,4,24,3,2,6,2,16,2,12,15,7,28,29,2,28,17,23,3,27,19,25,30,15,28,4
2,Philadelphia 76ers,2020,72,49,23,0.681,48.4,113.6,41.4,86.9,47.6,11.3,30.1,37.4,19.6,25.5,76.7,10.0,35.0,45.1,23.7,14.4,9.1,6.2,4.7,20.2,21.0,5.6,57.2,1.64,17.2,107.0,73.7,54.1,5.5,112.5,27.7,100.12,53.6,"7,272",51.1,14.3,57.9,3,28,13,29,5,23,25,23,8,13,8,11,14,11,12,2,3,14,14,24,8,23,26,10,3,3,20,13,13,9,23,10,1,2,18,8,4,5
3,Brooklyn Nets,2020,72,48,24,0.667,48.3,118.6,43.1,87.3,49.4,14.2,36.1,39.2,18.1,22.5,80.4,8.9,35.5,44.4,26.8,13.5,6.7,5.3,4.6,19.0,18.9,4.5,62.1,1.98,19.3,113.1,72.6,57.5,4.2,117.3,25.2,100.27,53.2,"7,280",50.3,13.4,61.0,4,27,1,9,7,10,6,4,22,23,13,18,1,1,11,5,4,2,6,21,1,7,12,2,5,8,6,27,5,13,5,17,27,6,20,18,18,7
4,Denver Nuggets,2020,72,47,25,0.653,48.6,115.1,43.3,89.2,48.5,12.9,34.2,37.7,15.7,19.5,80.3,10.5,33.9,44.4,26.8,13.5,8.1,4.5,4.5,19.1,19.2,4.9,62.1,1.99,19.3,111.5,75.1,55.7,4.8,116.3,29.2,97.74,52.5,"7,123",52.2,13.6,58.8,5,25,7,19,6,11,5,5,2,6,3,16,6,6,27,7,5,8,3,8,4,14,16,8,27,27,7,8,19,14,6,18,7,20,23,16,15,6
5,LA Clippers,2020,72,47,25,0.653,48.0,114.0,41.8,86.7,48.2,14.3,34.7,41.1,16.2,19.3,83.9,9.4,34.7,44.2,24.4,13.2,7.1,4.1,4.2,19.2,18.1,6.2,58.4,1.85,18.1,110.6,75.4,56.4,6.1,116.7,27.0,97.63,53.0,"7,036",51.8,13.5,59.9,6,26,3,23,2,20,11,12,12,5,6,17,4,2,28,6,6,10,12,25,5,6,14,1,23,28,1,20,14,16,16,22,20,28,26,14,26,2
6,Milwaukee Bucks,2020,72,46,26,0.639,48.1,120.1,44.7,91.8,48.7,14.4,37.1,38.9,16.2,21.4,76.0,10.3,37.8,48.1,25.5,13.8,8.1,4.6,4.8,17.3,18.3,5.9,56.9,1.84,18.0,110.7,75.5,56.6,5.8,116.5,26.9,102.85,53.3,"7,423",51.9,13.4,59.3,7,24,5,21,4,25,12,13,13,3,4,19,2,5,2,4,7,1,1,1,3,5,8,5,24,15,23,12,1,2,12,16,8,19,15,29,24,3
7,Dallas Mavericks,2020,72,42,30,0.583,48.1,112.4,41.1,87.3,47.0,13.8,38.1,36.2,16.5,21.2,77.8,9.1,34.2,43.3,22.9,12.1,6.3,4.3,3.7,19.4,20.1,2.3,55.7,1.9,17.2,112.3,73.4,55.0,2.3,114.6,25.3,97.94,51.0,"7,062",49.6,12.3,58.2,8,21,8,10,10,28,9,24,20,17,16,28,8,8,26,11,8,17,18,22,13,8,6,18,17,20,15,25,18,21,26,28,30,26,29,11,7,9
8,Los Angeles Lakers,2020,72,42,30,0.583,48.5,109.5,40.6,86.1,47.2,11.1,31.2,35.4,17.2,23.3,73.9,9.7,34.6,44.2,24.7,15.2,7.8,5.4,4.5,19.1,21.3,2.8,60.7,1.62,18.0,106.8,74.8,53.6,2.9,109.8,26.9,98.85,51.7,"7,184",51.1,15.2,56.9,9,22,24,30,8,14,26,14,14,7,9,3,18,18,21,8,9,22,21,27,12,25,24,21,12,6,28,15,15,17,15,3,10,4,24,17,2,8
9,Portland Trail Blazers,2020,72,42,30,0.583,48.1,116.1,41.3,91.1,45.3,15.7,40.8,38.5,17.8,21.6,82.3,10.6,33.9,44.5,21.3,11.1,6.9,5.0,4.6,18.9,19.1,1.8,51.5,1.92,15.9,115.3,73.1,54.0,1.8,117.1,27.3,98.97,49.3,"7,137",49.5,11.2,57.7,10,23,2,2,12,30,7,30,10,20,18,30,15,13,19,20,10,5,16,4,23,2,2,6,6,13,3,4,20,12,30,30,25,13,21,19,16,12
