,TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%,W_RANK,L_RANK,OFFRTG_RANK,DEFRTG_RANK,NETRTG_RANK,AST%_RANK,AST/TO_RANK,AST_RATIO_RANK,OREB%_RANK,DREB%_RANK,REB%_RANK,TOV%_RANK,EFG%_RANK,TS%_RANK,PACE_RANK,PIE_RANK,WIN%_RANK,PTS_RANK,FGM_RANK,FGA_RANK,FG%_RANK,3PM_RANK,3PA_RANK,3P%_RANK,FTM_RANK,FTA_RANK,FT%_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,+/-_RANK
0,Dallas Mavericks,2006,82,67,15,0.817,48.2,100.0,36.7,78.6,46.7,6.5,17.1,38.1,20.1,24.9,80.5,11.2,30.7,41.9,19.9,13.9,6.8,5.0,3.8,22.4,22.1,7.2,54.2,1.43,16.0,102.1,71.9,50.9,7.6,109.7,32.0,90.68,55.2,"7,476",52.2,15.2,55.9,1,30,2,26,2,25,14,20,9,4,3,25,5,3,25,3,1,9,11,20,5,8,14,3,12,19,2,15,9,8,24,26,24,12,27,14,15,3
1,Phoenix Suns,2006,82,61,21,0.744,48.5,110.2,41.3,83.6,49.4,9.6,24.0,39.9,18.0,22.3,80.8,9.0,31.5,40.5,25.9,14.5,6.7,4.8,3.7,20.2,21.5,7.3,62.6,1.78,19.3,105.5,68.3,55.1,7.4,112.9,26.2,96.45,56.1,"8,002",48.4,14.9,59.0,2,29,1,16,3,3,1,1,29,20,26,27,1,1,3,2,2,1,1,2,1,1,1,1,26,30,1,30,3,18,1,22,26,14,29,28,21,2
2,San Antonio Spurs,2006,82,58,24,0.707,48.2,98.5,36.6,77.2,47.4,7.3,19.0,38.1,18.1,24.1,75.1,9.3,31.4,40.7,22.1,13.9,7.2,5.1,4.1,19.4,21.2,8.4,60.5,1.6,17.8,99.4,71.5,52.1,9.2,108.6,27.9,90.22,56.9,"7,440",50.5,15.3,56.1,3,28,4,29,1,8,5,4,25,6,11,23,2,2,28,1,3,14,12,27,2,6,7,4,24,24,17,28,4,16,11,27,13,9,23,30,24,1
3,Detroit Pistons,2006,82,53,29,0.646,48.5,96.0,35.9,79.1,45.4,5.5,15.9,34.4,18.8,24.2,77.4,11.6,29.0,40.5,21.6,12.2,7.1,5.8,3.5,20.4,20.3,4.2,60.1,1.77,17.3,102.6,67.8,48.8,4.8,107.4,30.7,88.56,53.3,"7,332",49.3,13.7,53.5,4,27,6,25,6,9,2,7,15,23,19,30,21,21,30,5,4,21,18,17,20,22,19,26,18,22,7,10,22,19,12,30,17,1,30,25,28,6
4,Houston Rockets,2006,82,52,30,0.634,48.4,97.0,35.4,79.6,44.5,8.6,23.1,37.2,17.5,23.2,75.3,10.7,32.6,43.3,20.8,14.2,7.1,4.1,4.3,20.9,19.9,4.9,58.6,1.47,16.5,99.7,72.5,49.9,4.9,104.7,28.7,91.7,52.9,"7,598",50.8,15.3,54.0,5,26,15,28,5,14,9,16,23,1,9,24,14,17,21,7,5,17,23,15,26,2,3,5,27,28,16,22,1,4,15,25,18,22,20,24,29,5
5,Utah Jazz,2006,82,51,31,0.622,48.3,101.5,37.4,78.9,47.4,4.3,12.9,33.5,22.3,30.0,74.3,12.6,30.0,42.5,24.7,15.6,7.0,4.1,5.3,25.2,24.5,2.9,65.9,1.58,18.5,105.6,72.1,50.2,3.0,108.6,35.2,92.81,53.1,"7,661",53.4,16.7,55.1,6,25,5,14,8,2,6,2,1,2,1,8,11,6,15,6,6,7,6,18,3,26,26,29,4,2,20,2,16,7,2,10,20,23,3,1,1,8
6,Cleveland Cavaliers,2006,82,50,32,0.61,48.5,96.8,36.3,81.2,44.7,6.0,17.1,35.2,18.1,26.0,69.6,12.7,30.8,43.5,20.8,14.4,7.6,4.3,4.3,21.7,22.0,3.8,57.4,1.45,16.2,100.6,72.1,48.4,3.8,104.4,32.7,91.59,52.0,"7,598",51.8,15.5,52.2,7,24,16,27,7,17,11,17,5,3,5,22,22,29,22,8,7,19,15,9,24,15,15,18,25,13,29,1,6,2,16,24,8,20,21,20,16,7
7,Chicago Bulls,2006,82,49,33,0.598,48.2,98.8,37.1,81.3,45.7,5.9,15.1,38.8,18.6,25.4,73.4,12.0,31.7,43.7,22.3,16.0,7.8,5.4,5.3,23.3,23.2,5.0,60.1,1.4,17.0,98.8,70.7,49.3,5.2,104.0,31.9,94.47,53.9,"7,790",51.4,16.8,53.4,8,23,20,30,4,10,18,12,10,11,6,7,17,22,8,4,8,13,9,7,16,16,23,2,20,18,22,8,2,1,9,7,4,5,4,8,9,4
8,Toronto Raptors,2006,82,47,35,0.573,48.2,99.5,37.0,79.8,46.3,6.5,17.9,36.3,19.0,24.2,78.8,9.2,30.2,39.5,22.2,13.5,7.1,3.9,3.9,20.4,21.8,1.0,60.1,1.65,17.5,104.4,71.1,50.4,1.2,105.7,25.0,93.86,51.4,"7,719",48.1,14.3,55.0,9,22,12,21,10,11,3,5,30,10,27,29,7,7,9,9,9,11,10,13,11,9,11,8,17,23,5,29,14,26,10,29,19,25,24,26,18,10
9,Denver Nuggets,2006,82,45,37,0.549,48.2,105.4,38.6,83.0,46.5,5.9,17.6,33.6,22.3,29.9,74.6,12.2,31.2,43.4,23.4,16.5,8.3,5.3,5.2,21.4,23.7,1.6,60.7,1.42,17.1,105.1,67.8,50.1,1.7,106.7,32.2,98.2,51.4,"8,093",50.2,16.7,54.8,10,21,8,18,9,7,16,9,7,24,13,9,12,8,2,10,10,3,3,4,7,17,13,28,5,3,19,5,5,3,5,3,2,8,7,21,4,9
