,TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%,W_RANK,L_RANK,OFFRTG_RANK,DEFRTG_RANK,NETRTG_RANK,AST%_RANK,AST/TO_RANK,AST_RATIO_RANK,OREB%_RANK,DREB%_RANK,REB%_RANK,TOV%_RANK,EFG%_RANK,TS%_RANK,PACE_RANK,PIE_RANK,WIN%_RANK,PTS_RANK,FGM_RANK,FGA_RANK,FG%_RANK,3PM_RANK,3PA_RANK,3P%_RANK,FTM_RANK,FTA_RANK,FT%_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,+/-_RANK
0,Milwaukee Bucks,2018,82,60,22,0.732,48.2,118.1,43.4,91.1,47.6,13.5,38.2,35.3,17.9,23.2,77.3,9.3,40.4,49.7,26.0,13.9,7.5,5.9,4.8,19.6,20.2,8.9,60.1,1.88,18.3,104.9,75.7,55.0,8.6,113.5,25.0,103.57,55.3,"8,533",51.6,13.3,58.3,1,30,4,30,1,15,9,10,26,2,5,24,2,2,5,1,1,1,3,6,3,2,2,14,12,15,14,25,1,1,7,18,16,2,19,26,21,1
1,Toronto Raptors,2018,82,58,24,0.707,48.5,114.4,42.2,89.1,47.4,12.4,33.8,36.6,17.7,22.0,80.4,9.6,35.6,45.2,25.4,14.0,8.3,5.3,4.5,21.0,20.5,6.1,60.3,1.81,18.2,106.8,72.6,54.3,5.8,112.6,26.5,100.51,53.3,"8,334",50.2,13.8,57.9,2,29,5,26,3,13,13,11,19,18,13,17,3,4,15,4,2,8,9,15,5,8,11,6,15,21,3,24,9,17,13,14,6,9,23,14,19,3
2,Golden State Warriors,2018,82,57,25,0.695,48.3,117.7,44.0,89.8,49.1,13.3,34.4,38.5,16.3,20.4,80.1,9.7,36.5,46.2,29.4,14.3,7.6,6.4,3.6,21.4,19.5,6.5,66.8,2.06,20.4,108.6,72.7,56.5,6.5,115.0,25.7,101.74,54.6,"8,390",50.5,13.9,59.6,3,28,1,20,2,1,1,1,23,16,10,15,1,1,10,2,3,2,1,12,1,3,8,3,23,28,5,21,3,11,1,10,14,1,30,9,26,2
3,Denver Nuggets,2018,82,54,28,0.659,48.1,110.7,41.9,90.0,46.6,11.0,31.4,35.1,15.8,20.9,75.5,11.9,34.5,46.4,27.4,13.4,7.7,4.4,5.0,20.0,20.4,4.0,65.3,2.04,19.3,108.1,74.4,52.7,4.0,112.1,30.8,98.49,52.4,"8,096",52.4,13.6,55.8,4,27,7,21,8,2,3,2,1,5,2,20,14,14,26,8,4,19,12,11,13,17,16,17,26,25,20,2,17,8,2,23,13,24,16,24,20,8
4,Houston Rockets,2018,82,53,29,0.646,48.4,113.9,39.2,87.4,44.9,16.1,45.4,35.6,19.3,24.4,79.1,10.2,31.9,42.1,21.2,13.3,8.5,4.9,4.5,22.0,20.0,4.8,54.1,1.59,15.9,110.1,70.0,54.2,4.8,114.9,26.9,98.39,49.8,"8,130",48.1,13.5,58.1,5,25,2,13,5,28,24,28,15,29,28,22,4,3,27,15,5,11,25,25,24,1,1,10,3,7,9,14,28,28,28,25,5,18,24,6,23,5
5,Portland Trail Blazers,2018,82,53,29,0.646,48.4,114.7,42.3,90.6,46.7,11.0,30.7,35.9,19.0,23.3,81.4,11.8,36.2,48.0,23.0,13.8,6.7,5.0,5.1,20.4,20.7,4.2,54.4,1.66,16.6,109.5,73.9,52.8,4.2,113.7,30.8,99.96,52.1,"8,269",52.6,13.7,56.8,6,26,3,15,7,27,18,24,2,8,1,19,13,9,18,9,6,6,7,7,12,18,18,8,5,13,2,3,6,3,25,19,25,16,11,19,16,7
6,Philadelphia 76ers,2018,82,51,31,0.622,48.3,115.2,41.5,88.2,47.1,10.8,30.2,35.9,21.2,27.5,77.1,10.9,36.9,47.8,26.9,14.9,7.4,5.3,4.1,21.3,22.1,2.7,64.8,1.8,18.7,109.0,74.1,53.2,2.6,111.6,27.8,102.59,52.9,"8,467",51.7,14.4,57.4,7,24,8,16,11,3,14,5,11,7,4,7,8,6,8,6,7,4,14,20,7,19,19,9,2,2,16,11,2,4,4,6,18,10,27,11,6,11
7,Utah Jazz,2018,82,50,32,0.61,48.2,111.7,40.4,86.4,46.8,12.1,34.0,35.6,18.8,25.5,73.6,10.0,36.4,46.4,26.0,15.1,8.1,5.9,4.6,21.1,22.4,5.3,64.4,1.72,18.5,105.3,75.9,53.8,5.0,110.3,27.5,100.84,53.9,"8,308",52.2,14.9,57.2,8,23,14,29,4,4,15,8,12,1,3,4,5,7,14,3,8,17,18,29,10,9,9,11,7,3,26,17,4,9,8,4,12,3,21,12,4,4
8,Boston Celtics,2018,82,49,33,0.598,48.2,112.4,42.1,90.5,46.5,12.6,34.5,36.5,15.6,19.5,80.2,9.8,34.7,44.5,26.3,12.8,8.6,5.3,3.9,20.4,19.5,4.4,62.4,2.05,18.8,107.0,72.8,53.4,4.3,111.3,25.7,100.43,53.0,"8,282",49.5,12.7,56.7,9,21,10,25,6,8,2,4,24,15,22,28,6,10,16,5,9,14,10,8,14,6,7,7,28,29,4,20,16,22,5,28,4,11,29,20,27,6
9,Oklahoma City Thunder,2018,82,49,33,0.598,48.4,114.5,42.6,94.0,45.4,11.4,32.6,34.8,17.8,25.0,71.3,12.6,35.5,48.1,23.4,14.0,9.3,5.2,5.1,22.4,22.5,3.4,54.8,1.67,16.3,106.5,73.8,51.4,3.4,109.8,29.8,103.38,50.6,"8,549",50.9,13.4,54.5,10,22,16,27,9,26,17,26,3,9,6,23,22,25,6,12,10,7,5,1,18,12,13,22,13,6,28,1,11,2,22,15,1,12,12,4,3,9
