,TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%,W_RANK,L_RANK,OFFRTG_RANK,DEFRTG_RANK,NETRTG_RANK,AST%_RANK,AST/TO_RANK,AST_RATIO_RANK,OREB%_RANK,DREB%_RANK,REB%_RANK,TOV%_RANK,EFG%_RANK,TS%_RANK,PACE_RANK,PIE_RANK,WIN%_RANK,PTS_RANK,FGM_RANK,FGA_RANK,FG%_RANK,3PM_RANK,3PA_RANK,3P%_RANK,FTM_RANK,FTA_RANK,FT%_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,+/-_RANK
0,Milwaukee Bucks,2019,73,56,17,0.767,48.2,118.7,43.3,90.9,47.6,13.8,38.9,35.5,18.3,24.7,74.2,9.5,42.2,51.7,25.9,15.1,7.2,5.9,4.5,19.6,21.7,10.1,59.8,1.71,18.0,102.5,77.5,55.2,9.4,111.9,24.1,105.51,56.2,"7,739",52.4,14.2,58.3,1,30,7,30,1,16,12,10,28,1,1,18,1,3,1,1,1,1,1,4,2,3,4,17,14,6,27,24,1,1,5,10,23,3,22,24,5,1
1,Toronto Raptors,2019,72,53,19,0.736,48.3,112.8,40.2,87.9,45.8,13.8,37.0,37.4,18.5,23.2,79.6,9.5,35.9,45.4,25.2,14.8,8.8,5.0,5.5,21.7,20.4,6.2,62.7,1.7,18.1,104.7,72.1,53.6,6.1,110.8,25.6,101.19,53.0,"7,328",49.6,14.6,57.4,2,28,13,29,4,9,13,9,24,22,17,12,8,8,12,5,2,13,21,23,19,4,6,5,12,16,6,25,6,10,11,14,2,13,5,9,19,4
2,Los Angeles Lakers,2019,71,52,19,0.732,48.1,113.4,42.3,88.3,48.0,11.0,31.6,34.9,17.7,24.3,72.9,10.7,35.1,45.7,25.4,15.2,8.6,6.6,3.7,20.7,21.7,5.8,60.0,1.67,18.0,106.1,73.7,54.2,5.6,111.7,28.3,101.2,53.9,"7,211",51.2,14.9,57.3,3,29,10,28,5,15,14,11,5,10,5,8,5,9,11,2,3,11,4,20,1,23,22,21,17,8,28,6,12,9,10,8,5,1,30,17,6,5
3,LA Clippers,2019,72,49,23,0.681,48.3,116.3,41.6,89.2,46.6,12.4,33.5,37.1,20.8,26.3,79.1,10.7,37.0,47.7,23.7,14.6,7.1,4.7,4.7,22.1,22.9,6.4,57.1,1.63,16.9,106.9,73.7,53.5,6.3,113.3,27.8,102.16,53.2,"7,396",51.5,14.2,57.7,4,27,2,26,2,24,18,20,10,11,3,19,9,6,8,3,4,4,10,14,12,13,16,6,1,1,8,7,3,3,22,17,24,17,18,5,1,2
4,Boston Celtics,2019,72,48,24,0.667,48.4,113.7,41.3,89.6,46.1,12.6,34.5,36.4,18.6,23.2,80.1,10.7,35.4,46.1,23.0,13.8,8.3,5.6,5.5,21.6,20.7,6.3,55.7,1.66,16.7,106.5,73.1,53.1,6.3,112.8,28.3,99.92,53.1,"7,255",50.9,13.7,57.0,5,26,4,27,3,26,15,25,6,16,10,23,16,12,17,4,5,9,12,11,16,12,13,12,10,17,5,8,10,8,25,23,6,5,6,11,15,3
5,Denver Nuggets,2019,73,46,27,0.63,48.6,111.3,42.0,88.9,47.3,11.0,30.6,35.9,16.2,20.9,77.7,10.8,33.4,44.1,26.7,13.8,8.0,4.6,4.4,20.3,20.5,2.1,63.6,1.94,19.1,110.4,72.5,53.5,2.2,112.6,29.4,97.64,51.7,"7,217",50.9,13.9,56.7,6,25,5,15,11,5,3,2,3,20,11,22,10,15,29,11,6,18,8,15,4,24,26,15,25,26,16,4,22,20,4,24,9,19,23,20,17,11
6,Indiana Pacers,2019,73,45,28,0.616,48.3,109.4,42.1,88.5,47.6,10.2,28.0,36.3,15.0,19.1,78.7,8.7,34.1,42.8,25.9,13.2,7.4,5.2,4.6,19.8,18.8,2.0,61.4,1.95,18.9,107.5,71.8,53.4,1.9,109.5,24.3,99.41,52.0,"7,299",48.7,13.2,56.5,7,21,18,25,13,10,2,3,27,24,24,26,11,18,22,9,7,23,7,18,3,29,30,14,30,30,12,28,20,24,6,26,20,10,19,22,30,12
7,Houston Rockets,2019,72,44,28,0.611,48.3,117.8,40.8,90.4,45.1,15.6,45.3,34.5,20.6,26.1,79.1,9.8,34.5,44.3,21.6,14.7,8.7,5.2,4.9,21.8,21.0,3.0,53.0,1.47,15.5,109.8,71.3,53.7,2.7,112.5,24.9,104.04,49.4,"7,539",48.0,14.0,57.8,8,22,6,16,7,29,29,29,26,26,29,21,7,5,2,19,8,2,16,8,22,1,1,24,2,2,9,20,16,18,29,16,3,11,14,7,12,7
8,Miami Heat,2019,73,44,29,0.603,48.6,112.0,39.5,84.4,46.8,13.4,35.4,37.9,19.7,25.2,78.3,8.5,35.9,44.4,25.9,14.9,7.5,4.5,4.1,20.6,21.7,2.9,65.7,1.74,18.8,109.3,75.3,54.7,2.7,111.9,25.7,98.7,52.5,"7,306",51.2,14.9,58.7,9,20,8,18,8,3,10,4,23,2,6,9,3,1,27,6,11,15,26,30,7,6,9,2,5,4,13,29,7,17,7,12,18,21,26,18,7,8
9,Oklahoma City Thunder,2019,72,44,28,0.611,48.4,110.4,40.0,85.5,46.8,10.7,30.2,35.5,19.8,24.8,79.6,8.2,34.7,42.9,21.7,13.7,7.6,4.9,4.0,19.3,22.8,2.0,54.3,1.58,16.3,108.1,72.8,53.0,2.1,110.1,24.1,99.42,51.9,"7,218",49.2,13.7,57.3,10,23,17,24,12,28,22,27,29,19,20,24,18,10,21,10,9,21,23,28,8,26,27,18,4,5,7,30,15,23,28,25,16,15,28,27,2,13
10,Utah Jazz,2019,72,44,28,0.611,48.2,111.3,40.1,85.1,47.1,13.4,35.2,38.0,17.8,22.8,77.9,9.1,35.8,44.9,22.4,15.1,6.1,4.1,4.6,20.4,20.8,2.5,56.0,1.48,16.8,109.3,74.6,54.9,2.5,111.8,26.1,99.15,51.3,"7,169",51.2,15.2,58.5,11,24,9,19,9,25,27,23,20,6,7,6,2,2,24,12,10,19,22,29,6,7,10,1,16,19,14,26,8,13,26,11,29,25,20,19,14,9
11,Dallas Mavericks,2019,75,43,32,0.573,48.5,117.0,41.7,90.3,46.1,15.1,41.3,36.7,18.6,23.8,77.9,10.5,36.4,46.9,24.7,12.7,6.1,4.8,4.1,19.5,21.3,4.9,59.2,1.94,17.7,111.2,74.0,54.5,4.8,115.9,27.5,99.89,52.1,"7,569",50.9,12.6,58.1,12,18,1,13,6,17,4,13,12,8,12,28,4,4,18,8,13,3,9,9,17,2,2,10,11,10,15,10,4,4,13,29,30,16,27,25,9,6
12,Philadelphia 76ers,2019,73,43,30,0.589,48.2,110.7,41.1,87.9,46.8,11.6,31.6,36.8,16.9,22.4,75.5,10.5,35.0,45.4,25.8,14.2,8.0,5.3,4.0,20.9,20.5,2.4,62.8,1.82,18.5,108.4,75.3,53.4,2.3,110.7,28.1,99.59,52.3,"7,304",51.6,14.2,56.6,13,19,14,23,10,8,7,6,7,3,2,20,12,16,20,7,12,20,14,24,9,19,23,8,21,21,21,11,14,11,8,21,10,9,29,16,18,10
13,Brooklyn Nets,2019,72,35,37,0.486,48.6,111.8,40.4,90.3,44.8,13.1,38.1,34.3,17.9,24.1,74.5,10.6,37.3,47.9,24.5,15.3,6.4,4.5,5.3,21.0,21.1,-0.6,60.6,1.6,17.3,109.2,73.6,52.0,-0.5,108.7,28.0,101.7,50.0,"7,404",51.1,14.8,55.4,14,17,21,20,15,13,21,19,8,12,9,10,23,22,10,16,14,16,18,10,24,9,5,25,15,9,25,9,2,2,15,5,27,22,9,15,10,15
14,Portland Trail Blazers,2019,74,35,39,0.473,48.2,115.0,42.2,91.2,46.3,12.9,34.1,37.7,17.7,22.1,80.4,10.2,35.1,45.3,20.6,12.8,6.3,6.1,4.9,21.7,20.1,-1.1,48.8,1.61,15.2,114.3,71.2,53.3,-1.1,113.2,26.6,101.17,48.6,"7,519",49.2,12.6,57.0,15,13,3,4,18,30,20,30,17,27,21,29,14,13,13,20,15,6,5,3,14,10,15,3,18,23,3,16,13,12,30,27,28,2,15,10,21,17
15,Memphis Grizzlies,2019,73,34,39,0.466,48.1,112.6,42.5,90.9,46.8,10.9,31.5,34.7,16.6,21.8,76.3,10.3,36.2,46.5,26.9,15.2,7.9,5.5,5.3,21.2,20.2,-1.1,63.3,1.77,18.7,109.7,73.3,52.8,-1.0,108.7,27.1,103.31,50.7,"7,562",50.6,14.7,56.1,16,14,22,17,17,6,8,5,13,15,14,11,20,20,6,14,16,14,3,5,10,25,24,23,22,24,19,14,5,5,2,9,12,6,10,13,20,18
16,Phoenix Suns,2019,73,34,39,0.466,48.2,113.6,41.2,88.1,46.8,11.4,31.8,35.8,19.9,23.8,83.4,9.8,33.8,43.5,27.2,14.8,7.7,4.0,5.5,22.0,22.6,0.2,66.1,1.84,19.2,110.8,73.4,53.2,0.5,111.3,26.1,101.74,51.2,"7,449",49.8,14.5,57.6,17,15,12,14,14,2,6,1,21,14,16,15,15,7,9,13,17,10,13,22,11,20,20,16,3,11,1,21,21,21,1,15,14,29,7,6,3,14
17,Orlando Magic,2019,73,33,40,0.452,48.1,107.3,39.3,88.6,44.4,11.1,32.2,34.3,17.6,22.7,77.4,10.3,34.2,44.5,23.9,12.8,8.2,5.4,4.6,18.3,19.5,-1.0,60.8,1.86,17.5,109.2,74.9,50.6,-1.3,107.9,26.7,98.99,49.6,"7,255",50.0,12.9,54.4,18,12,23,21,19,12,5,17,14,5,15,27,27,27,26,17,18,24,27,16,27,22,19,26,19,20,17,15,19,16,18,28,7,8,21,29,27,16
18,San Antonio Spurs,2019,71,32,39,0.451,48.5,114.1,42.2,89.4,47.2,10.7,28.5,37.6,19.0,23.4,81.0,9.0,35.6,44.6,24.7,12.6,7.3,5.5,4.3,19.4,20.1,-1.1,58.5,1.96,17.9,112.6,75.1,53.1,-0.9,111.7,23.3,101.14,50.2,"7,249",49.5,12.3,57.2,19,16,11,7,16,21,1,12,30,4,18,30,17,11,14,15,19,8,6,12,5,27,28,4,8,13,2,27,9,15,14,30,22,7,24,26,22,19
