TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%
Phoenix Suns,2004,82,62,20,0.756,48.2,110.4,40.9,85.6,47.7,9.7,24.7,39.3,19.0,25.4,74.8,11.8,32.3,44.1,23.5,13.7,7.0,5.5,4.2,19.1,0.0,7.1,57.5,1.71,17.4,105.7,65.6,53.4,7.0,112.7,30.4,97.35,54.6,"8,034",49.0,14.0,57.1
Miami Heat,2004,82,59,23,0.72,48.7,101.5,37.8,77.7,48.6,5.8,15.4,37.7,20.2,30.1,67.2,10.8,32.2,43.0,21.8,13.7,6.4,5.8,3.2,22.1,0.0,6.5,57.8,1.59,17.1,102.2,69.8,52.4,6.7,108.9,29.7,91.73,55.6,"7,647",50.8,14.7,55.9
San Antonio Spurs,2004,82,59,23,0.72,48.3,96.2,35.6,78.7,45.3,6.2,17.0,36.3,18.7,25.9,72.4,12.0,30.4,42.4,21.6,13.7,7.5,6.6,5.1,20.9,0.0,7.8,60.6,1.57,17.1,97.8,69.7,49.2,8.3,106.1,32.1,89.96,56.5,"7,435",51.0,15.1,53.4
Dallas Mavericks,2004,82,58,24,0.707,48.1,102.5,37.3,81.6,45.7,5.6,15.5,36.4,22.3,28.2,78.9,12.1,30.9,42.9,19.6,13.4,8.6,5.6,4.9,22.3,0.0,5.7,52.6,1.46,15.3,102.6,67.4,49.2,5.9,108.5,31.9,94.18,53.7,"7,749",50.0,14.2,54.5
Detroit Pistons,2004,82,54,28,0.659,48.7,93.3,34.8,78.3,44.4,4.4,12.8,34.5,19.4,26.2,73.9,12.9,30.6,43.4,21.8,13.8,7.0,6.1,4.5,20.0,0.0,3.9,62.7,1.58,17.2,99.6,69.3,47.2,4.3,103.9,34.0,88.59,54.2,"7,364",51.8,15.4,51.9
Seattle SuperSonics,2004,82,52,30,0.634,48.2,98.9,35.1,79.2,44.4,8.1,22.2,36.5,20.5,26.0,79.0,12.7,28.2,40.9,18.1,13.6,6.7,4.1,4.8,23.7,0.1,2.3,51.6,1.34,14.7,108.0,68.1,49.5,2.3,110.3,35.7,89.24,50.4,"7,353",51.7,15.1,54.6
Houston Rockets,2004,82,51,31,0.622,48.4,95.1,34.7,78.3,44.3,6.7,18.5,36.4,18.9,24.2,78.1,10.7,31.7,42.4,21.1,13.8,6.9,4.6,4.1,22.0,0.0,4.0,60.9,1.53,16.9,100.1,71.3,48.6,4.3,104.4,30.1,90.18,52.7,"7,467",51.2,15.2,53.4
Sacramento Kings,2004,82,50,32,0.61,48.4,103.7,39.1,85.1,45.9,6.4,17.0,37.4,19.2,24.4,78.7,12.5,29.9,42.4,24.5,13.1,8.2,3.9,4.5,20.5,0.0,2.2,62.6,1.87,18.2,106.5,66.7,49.6,2.3,108.8,31.5,94.52,52.2,"7,819",49.1,13.7,54.1
Denver Nuggets,2004,82,49,33,0.598,48.2,99.5,37.0,80.7,45.9,3.9,11.5,34.0,21.5,28.2,76.3,11.8,30.2,42.0,23.9,14.9,9.1,6.0,5.6,22.9,0.1,2.0,64.5,1.6,18.0,102.6,67.8,48.3,2.2,104.7,31.3,94.68,53.1,"7,792",49.7,15.7,53.5
Chicago Bulls,2004,82,47,35,0.573,48.4,94.5,34.7,80.4,43.2,6.2,17.5,35.7,18.7,25.0,75.0,12.2,31.6,43.8,21.3,16.7,7.0,4.5,5.3,24.7,0.1,1.1,61.2,1.27,16.4,99.1,69.1,47.1,1.4,100.5,31.7,93.41,49.8,"7,707",50.6,17.8,51.7
Boston Celtics,2004,82,45,37,0.549,48.5,101.3,37.1,79.4,46.8,5.3,15.3,34.9,21.6,28.3,76.4,11.1,29.7,40.8,22.1,15.8,8.1,5.2,4.9,24.4,0.0,0.9,59.4,1.4,16.9,105.1,67.1,50.1,0.8,105.9,30.5,94.61,50.5,"7,839",49.4,16.5,55.1
Memphis Grizzlies,2004,82,45,37,0.549,48.1,93.4,34.2,76.5,44.7,6.5,18.1,35.7,18.6,24.7,75.4,10.8,28.1,39.0,20.9,14.6,8.5,5.8,5.8,23.3,0.0,2.3,61.2,1.43,16.9,101.5,66.3,48.9,2.7,104.2,30.8,89.65,51.5,"7,355",48.7,16.3,53.5
Washington Wizards,2004,82,45,37,0.549,48.2,100.5,36.2,82.9,43.7,6.3,18.3,34.3,21.9,30.2,72.5,13.8,29.0,42.8,19.1,14.3,8.7,4.2,5.0,22.0,0.0,-0.3,52.7,1.33,14.6,105.9,66.7,47.4,-0.4,105.4,33.8,94.8,48.5,"7,816",49.7,15.0,52.3
Indiana Pacers,2004,82,44,38,0.537,48.5,93.0,32.5,75.2,43.2,6.6,19.2,34.4,21.3,26.9,79.2,10.6,29.5,40.1,18.2,14.3,7.5,4.4,4.9,23.0,0.1,0.8,55.8,1.27,15.1,102.7,68.7,47.6,1.0,103.7,29.6,88.71,50.4,"7,351",49.4,16.0,53.4
Minnesota Timberwolves,2004,82,44,38,0.537,48.2,96.8,37.1,80.8,45.9,4.8,14.0,34.5,17.7,22.2,79.6,11.5,31.5,43.0,23.4,13.2,5.6,5.5,3.9,21.6,0.0,1.5,63.0,1.78,18.3,105.0,68.2,48.9,1.6,106.6,32.1,90.39,51.8,"7,440",50.8,14.5,53.4
Philadelphia 76ers,2004,82,43,39,0.524,48.4,99.1,35.9,82.1,43.7,6.2,17.7,34.8,21.1,26.8,78.9,11.1,30.9,42.0,20.9,15.5,9.2,3.9,4.7,22.9,0.0,-0.7,58.0,1.34,15.9,102.5,70.3,47.5,-0.7,101.8,28.1,96.56,49.3,"7,985",49.1,16.0,52.8
Cleveland Cavaliers,2004,82,42,40,0.512,48.4,96.5,36.5,81.5,44.7,3.7,11.0,33.2,19.9,26.5,75.2,13.6,28.7,42.3,22.6,13.9,8.0,5.6,5.1,22.6,0.0,0.8,61.9,1.62,17.3,104.7,67.4,47.0,0.6,105.3,35.4,90.72,51.0,"7,516",51.0,15.2,51.8
New Jersey Nets,2004,82,42,40,0.512,48.5,91.4,33.6,78.3,42.9,5.3,14.7,36.2,19.0,24.9,76.3,10.4,29.1,39.5,21.6,14.2,7.9,3.8,4.9,24.2,0.0,-1.5,64.4,1.52,17.1,101.6,70.1,46.3,-1.7,99.9,29.8,90.41,49.0,"7,501",49.5,15.5,51.2
Los Angeles Clippers,2004,82,37,45,0.451,48.9,95.7,35.7,77.7,45.9,2.8,8.2,34.5,21.6,27.7,77.8,12.0,29.9,41.9,23.2,15.7,7.3,5.1,4.8,22.2,0.0,-0.8,65.0,1.47,17.9,104.5,68.7,47.7,-0.8,103.8,33.8,90.66,51.8,"7,564",51.8,17.1,53.3
Orlando Magic,2004,82,36,46,0.439,48.1,99.5,37.0,81.5,45.4,3.9,11.2,34.9,21.6,28.5,75.9,12.7,31.0,43.7,19.3,16.1,7.7,5.4,4.3,23.6,0.0,-2.2,52.2,1.2,14.8,105.7,68.2,47.8,-2.3,103.4,32.8,96.15,48.9,"7,891",50.7,16.8,52.9
Golden State Warriors,2004,82,34,48,0.415,48.5,98.7,36.9,85.8,43.0,7.6,21.6,35.2,17.2,23.8,72.2,13.0,29.7,42.7,22.1,13.6,7.8,5.1,5.1,22.4,0.0,-2.2,59.8,1.63,16.6,105.5,66.6,47.5,-2.2,103.4,30.3,94.45,47.3,"7,830",47.7,14.2,51.2
Los Angeles Lakers,2004,82,34,48,0.415,48.2,98.7,35.3,80.8,43.7,7.9,22.1,35.5,20.3,26.1,77.7,12.5,30.6,43.2,20.4,14.3,6.2,4.2,5.1,21.9,0.0,-3.0,57.8,1.42,15.9,109.6,68.0,48.5,-3.2,106.4,32.4,92.34,46.8,"7,610",50.3,15.5,53.5
New York Knicks,2004,82,33,49,0.402,48.5,97.3,36.3,80.5,45.1,5.4,15.1,35.6,19.3,25.1,76.7,11.8,29.2,41.0,20.3,14.7,7.7,3.2,4.7,23.7,0.1,-2.4,55.9,1.38,15.9,107.2,68.6,48.5,-2.7,104.5,31.6,92.12,47.5,"7,634",49.8,15.8,53.1
Toronto Raptors,2004,82,33,49,0.402,48.3,99.7,36.0,81.2,44.4,7.9,20.5,38.5,19.8,25.6,77.4,10.3,29.8,40.1,20.4,13.3,7.6,3.9,4.4,22.9,0.0,-1.6,56.6,1.54,16.0,107.2,68.2,49.2,-1.8,105.4,26.9,94.01,47.9,"7,762",47.3,14.0,53.9
Milwaukee Bucks,2004,82,30,52,0.366,48.2,97.2,36.1,80.2,45.0,4.0,11.3,35.1,21.0,27.2,77.2,12.0,29.3,41.3,21.0,13.8,6.5,3.5,4.5,21.9,0.1,-3.0,58.0,1.52,16.4,108.1,68.7,47.5,-3.0,105.1,32.2,92.14,47.8,"7,584",50.3,14.9,52.7
